Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
54.4%,45.3%,0.3%,Alameda,2021-04-16,2021-04-15,2021-04-16 18:31:31
47.0%,52.7%,0.2%,Alpine,2021-04-16,2021-04-15,2021-04-16 18:31:33
55.1%,44.8%,0.2%,Amador,2021-04-16,2021-04-15,2021-04-16 18:31:36
55.3%,44.6%,0.1%,Butte,2021-04-16,2021-04-15,2021-04-16 18:31:38
53.9%,45.4%,0.7%,Calaveras,2021-04-16,2021-04-15,2021-04-16 18:31:40
50.5%,48.9%,0.6%,Colusa,2021-04-16,2021-04-15,2021-04-16 18:31:43
54.6%,45.3%,0.1%,Contra Costa,2021-04-16,2021-04-15,2021-04-16 18:31:45
53.2%,46.7%,0.1%,Del Norte,2021-04-16,2021-04-15,2021-04-16 18:31:47
54.6%,45.3%,0.1%,El Dorado,2021-04-16,2021-04-15,2021-04-16 18:31:50
54.8%,45.2%,0.1%,Fresno,2021-04-16,2021-04-15,2021-04-16 18:31:52
54.3%,45.6%,0.1%,Glenn,2021-04-16,2021-04-15,2021-04-16 18:31:55
55.2%,44.5%,0.2%,Humboldt,2021-04-16,2021-04-15,2021-04-16 18:31:57
52.8%,47.1%,0.03%,Imperial,2021-04-16,2021-04-15,2021-04-16 18:31:59
51.9%,48.0%,0.1%,Inyo,2021-04-16,2021-04-15,2021-04-16 18:32:02
54.2%,45.3%,0.5%,Kern,2021-04-16,2021-04-15,2021-04-16 18:32:04
54.1%,45.5%,0.4%,Kings,2021-04-16,2021-04-15,2021-04-16 18:32:07
54.0%,45.9%,0.1%,Lake,2021-04-16,2021-04-15,2021-04-16 18:32:09
52.0%,47.8%,0.2%,Lassen,2021-04-16,2021-04-15,2021-04-16 18:32:11
54.4%,45.4%,0.2%,Los Angeles,2021-04-16,2021-04-15,2021-04-16 18:32:14
54.1%,45.8%,0.1%,Madera,2021-04-16,2021-04-15,2021-04-16 18:32:16
54.8%,45.2%,0.1%,Marin,2021-04-16,2021-04-15,2021-04-16 18:32:18
54.2%,45.4%,0.4%,Mariposa,2021-04-16,2021-04-15,2021-04-16 18:32:21
53.2%,46.4%,0.4%,Mendocino,2021-04-16,2021-04-15,2021-04-16 18:32:23
54.5%,45.0%,0.4%,Merced,2021-04-16,2021-04-15,2021-04-16 18:32:25
52.8%,47.2%,0.000%,Modoc,2021-04-16,2021-04-15,2021-04-16 18:32:28
47.8%,52.2%,0.01%,Mono,2021-04-16,2021-04-15,2021-04-16 18:32:30
52.7%,46.0%,1.4%,Monterey,2021-04-16,2021-04-15,2021-04-16 18:32:33
53.0%,46.9%,0.1%,Napa,2021-04-16,2021-04-15,2021-04-16 18:32:35
54.9%,45.0%,0.1%,Nevada,2021-04-16,2021-04-15,2021-04-16 18:32:37
54.0%,44.9%,1.1%,Orange,2021-04-16,2021-04-15,2021-04-16 18:32:40
55.8%,44.1%,0.1%,Placer,2021-04-16,2021-04-15,2021-04-16 18:32:42
53.3%,46.5%,0.1%,Plumas,2021-04-16,2021-04-15,2021-04-16 18:32:44
54.2%,45.7%,0.1%,Riverside,2021-04-16,2021-04-15,2021-04-16 18:32:47
56.0%,43.8%,0.2%,Sacramento,2021-04-16,2021-04-15,2021-04-16 18:32:49
54.0%,45.7%,0.2%,San Benito,2021-04-16,2021-04-15,2021-04-16 18:32:52
55.4%,44.5%,0.2%,San Bernardino,2021-04-16,2021-04-15,2021-04-16 18:32:54
55.3%,43.8%,0.9%,San Diego,2021-04-16,2021-04-15,2021-04-16 18:32:56
51.0%,48.7%,0.3%,San Francisco,2021-04-16,2021-04-15,2021-04-16 18:32:59
54.9%,44.2%,0.9%,San Joaquin,2021-04-16,2021-04-15,2021-04-16 18:33:01
55.1%,44.7%,0.2%,San Luis Obispo,2021-04-16,2021-04-15,2021-04-16 18:33:04
54.6%,45.3%,0.1%,San Mateo,2021-04-16,2021-04-15,2021-04-16 18:33:06
53.8%,46.1%,0.1%,Santa Barbara,2021-04-16,2021-04-15,2021-04-16 18:33:09
53.4%,46.5%,0.1%,Santa Clara,2021-04-16,2021-04-15,2021-04-16 18:33:11
54.6%,45.1%,0.3%,Santa Cruz,2021-04-16,2021-04-15,2021-04-16 18:33:13
56.5%,43.4%,0.1%,Shasta,2021-04-16,2021-04-15,2021-04-16 18:33:16
52.1%,47.8%,0.1%,Sierra,2021-04-16,2021-04-15,2021-04-16 18:33:18
54.2%,45.7%,0.1%,Siskiyou,2021-04-16,2021-04-15,2021-04-16 18:33:20
55.7%,43.8%,0.5%,Solano,2021-04-16,2021-04-15,2021-04-16 18:33:23
55.1%,44.8%,0.1%,Sonoma,2021-04-16,2021-04-15,2021-04-16 18:33:25
55.2%,44.3%,0.5%,Stanislaus,2021-04-16,2021-04-15,2021-04-16 18:33:28
54.8%,45.0%,0.2%,Sutter,2021-04-16,2021-04-15,2021-04-16 18:33:30
55.0%,44.9%,0.1%,Tehama,2021-04-16,2021-04-15,2021-04-16 18:33:33
50.1%,49.9%,0.1%,Trinity,2021-04-16,2021-04-15,2021-04-16 18:33:35
54.2%,45.7%,0.1%,Tulare,2021-04-16,2021-04-15,2021-04-16 18:33:37
54.3%,45.5%,0.1%,Tuolumne,2021-04-16,2021-04-15,2021-04-16 18:33:39
54.6%,45.4%,0.1%,Ventura,2021-04-16,2021-04-15,2021-04-16 18:33:42
55.0%,43.4%,1.6%,Yolo,2021-04-16,2021-04-15,2021-04-16 18:33:44
55.7%,44.1%,0.2%,Yuba,2021-04-16,2021-04-15,2021-04-16 18:33:46
