Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
54.9%,44.8%,0.3%,Alameda,2021-04-12,2021-04-11,2021-04-12 18:33:07
47.0%,52.7%,0.3%,Alpine,2021-04-12,2021-04-09,2021-04-12 18:33:10
55.2%,44.6%,0.2%,Amador,2021-04-12,2021-04-11,2021-04-12 18:33:12
55.4%,44.5%,0.1%,Butte,2021-04-12,2021-04-11,2021-04-12 18:33:15
54.1%,45.3%,0.7%,Calaveras,2021-04-12,2021-04-11,2021-04-12 18:33:18
50.4%,49.0%,0.6%,Colusa,2021-04-12,2021-04-11,2021-04-12 18:33:20
55.1%,44.8%,0.1%,Contra Costa,2021-04-12,2021-04-11,2021-04-12 18:33:23
53.6%,46.3%,0.1%,Del Norte,2021-04-12,2021-04-10,2021-04-12 18:33:26
54.7%,45.2%,0.1%,El Dorado,2021-04-12,2021-04-11,2021-04-12 18:33:29
54.9%,45.0%,0.1%,Fresno,2021-04-12,2021-04-11,2021-04-12 18:33:31
54.6%,45.0%,0.4%,Glenn,2021-04-12,2021-04-11,2021-04-12 18:33:34
55.8%,44.0%,0.2%,Humboldt,2021-04-12,2021-04-11,2021-04-12 18:33:37
53.0%,47.0%,0.04%,Imperial,2021-04-12,2021-04-11,2021-04-12 18:33:39
52.0%,47.9%,0.1%,Inyo,2021-04-12,2021-04-10,2021-04-12 18:33:42
54.3%,45.1%,0.6%,Kern,2021-04-12,2021-04-11,2021-04-12 18:33:45
54.1%,45.5%,0.4%,Kings,2021-04-12,2021-04-11,2021-04-12 18:33:47
54.0%,45.9%,0.1%,Lake,2021-04-12,2021-04-11,2021-04-12 18:33:50
54.6%,45.0%,0.4%,Lassen,2021-04-12,2021-04-11,2021-04-12 18:33:53
54.7%,45.1%,0.2%,Los Angeles,2021-04-12,2021-04-11,2021-04-12 18:33:55
54.3%,45.6%,0.1%,Madera,2021-04-12,2021-04-11,2021-04-12 18:33:58
55.1%,44.9%,0.1%,Marin,2021-04-12,2021-04-11,2021-04-12 18:34:00
53.6%,46.1%,0.3%,Mariposa,2021-04-12,2021-04-11,2021-04-12 18:34:03
54.6%,45.0%,0.4%,Mendocino,2021-04-12,2021-04-11,2021-04-12 18:34:06
54.6%,45.0%,0.4%,Merced,2021-04-12,2021-04-11,2021-04-12 18:34:08
52.6%,47.4%,0.000%,Modoc,2021-04-12,2021-04-09,2021-04-12 18:34:11
54.6%,45.0%,0.4%,Mono,2021-04-12,2021-04-11,2021-04-12 18:34:13
52.9%,45.5%,1.6%,Monterey,2021-04-12,2021-04-11,2021-04-12 18:34:16
53.0%,46.9%,0.1%,Napa,2021-04-12,2021-04-11,2021-04-12 18:34:19
54.6%,45.0%,0.4%,Nevada,2021-04-12,2021-04-11,2021-04-12 18:34:21
54.6%,45.0%,0.4%,Orange,2021-04-12,2021-04-11,2021-04-12 18:34:24
56.2%,43.8%,0.1%,Placer,2021-04-12,2021-04-11,2021-04-12 18:34:27
53.5%,46.4%,0.1%,Plumas,2021-04-12,2021-04-10,2021-04-12 18:34:29
54.6%,45.0%,0.4%,Riverside,2021-04-12,2021-04-11,2021-04-12 18:34:32
56.3%,43.5%,0.2%,Sacramento,2021-04-12,2021-04-11,2021-04-12 18:34:35
54.8%,44.9%,0.2%,San Benito,2021-04-12,2021-04-11,2021-04-12 18:34:37
55.6%,44.2%,0.2%,San Bernardino,2021-04-12,2021-04-11,2021-04-12 18:34:40
55.8%,43.4%,0.8%,San Diego,2021-04-12,2021-04-11,2021-04-12 18:34:43
51.4%,48.3%,0.3%,San Francisco,2021-04-12,2021-04-11,2021-04-12 18:34:45
55.2%,43.9%,0.9%,San Joaquin,2021-04-12,2021-04-11,2021-04-12 18:34:48
55.3%,44.5%,0.2%,San Luis Obispo,2021-04-12,2021-04-11,2021-04-12 18:34:51
55.0%,44.9%,0.1%,San Mateo,2021-04-12,2021-04-11,2021-04-12 18:34:53
54.4%,45.5%,0.1%,Santa Barbara,2021-04-12,2021-04-11,2021-04-12 18:34:56
54.2%,45.7%,0.1%,Santa Clara,2021-04-12,2021-04-11,2021-04-12 18:34:58
55.2%,44.4%,0.3%,Santa Cruz,2021-04-12,2021-04-11,2021-04-12 18:35:01
56.6%,43.3%,0.1%,Shasta,2021-04-12,2021-04-10,2021-04-12 18:35:04
52.3%,47.6%,0.1%,Sierra,2021-04-12,2021-04-10,2021-04-12 18:35:06
54.4%,45.6%,0.1%,Siskiyou,2021-04-12,2021-04-10,2021-04-12 18:35:09
55.8%,43.6%,0.5%,Solano,2021-04-12,2021-04-11,2021-04-12 18:35:11
55.4%,44.6%,0.1%,Sonoma,2021-04-12,2021-04-11,2021-04-12 18:35:14
55.4%,44.2%,0.5%,Stanislaus,2021-04-12,2021-04-11,2021-04-12 18:35:17
54.6%,45.0%,0.4%,Sutter,2021-04-12,2021-04-11,2021-04-12 18:35:19
55.1%,44.8%,0.1%,Tehama,2021-04-12,2021-04-10,2021-04-12 18:35:22
50.2%,49.8%,0.1%,Trinity,2021-04-12,2021-04-10,2021-04-12 18:35:25
54.3%,45.6%,0.1%,Tulare,2021-04-12,2021-04-11,2021-04-12 18:35:27
54.6%,45.0%,0.4%,Tuolumne,2021-04-12,2021-04-11,2021-04-12 18:35:30
54.8%,45.2%,0.05%,Ventura,2021-04-12,2021-04-11,2021-04-12 18:35:33
55.2%,43.1%,1.7%,Yolo,2021-04-12,2021-04-11,2021-04-12 18:35:35
55.9%,44.0%,0.1%,Yuba,2021-04-12,2021-04-11,2021-04-12 18:35:38
