American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,21.6%,5.8%,10.6%,11.6%,0.6%,27.6%,8.9%,13.1%,Alameda,2021-03-16,2021-03-15,2021-03-16 20:15:07
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Alpine,2021-03-16,2021-03-15,2021-03-16 20:15:15
0.9%,1.4%,0.4%,6.6%,5.1%,0.2%,67.1%,9.5%,8.7%,Amador,2021-03-16,2021-03-15,2021-03-16 20:15:22
1.2%,2%,0.7%,7.1%,18.2%,0.1%,57.5%,7.8%,5.4%,Butte,2021-03-16,2021-03-15,2021-03-16 20:15:28
0.3%,0.8%,0.4%,4.3%,1.8%,0.2%,49.9%,8.9%,33.4%,Calaveras,2021-03-16,2021-03-15,2021-03-16 20:15:34
1.2%,0.7%,0.5%,25.3%,6.5%,0.1%,35.7%,5%,24.9%,Colusa,2021-03-16,2021-03-15,2021-03-16 20:15:40
0.2%,11.5%,4.7%,11.9%,13%,0.6%,36.9%,8%,13.1%,Contra Costa,2021-03-16,2021-03-15,2021-03-16 20:15:48
7.6%,1.9%,0.5%,5.1%,8.8%,0.2%,61.9%,2.2%,11.9%,Del Norte,2021-03-16,2021-03-15,2021-03-16 20:15:55
0.3%,2.7%,0.5%,4.7%,15.5%,0.3%,53.2%,8.1%,14.8%,El Dorado,2021-03-16,2021-03-15,2021-03-16 20:16:01
0.5%,7.2%,2.1%,31.7%,11%,0.2%,29.5%,7.9%,10%,Fresno,2021-03-16,2021-03-15,2021-03-16 20:16:09
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Glenn,2021-03-16,2021-03-15,2021-03-16 20:16:17
3.5%,1.2%,0.6%,5.7%,15.7%,0.2%,64.6%,2.9%,5.6%,Humboldt,2021-03-16,2021-03-15,2021-03-16 20:16:24
0.1%,0.8%,0.5%,72.6%,2.9%,0.1%,10.3%,5.5%,7.3%,Imperial,2021-03-16,2021-03-15,2021-03-16 20:16:30
1.1%,0.8%,0.2%,8.8%,23.2%,0.1%,54.5%,4.8%,6.5%,Inyo,2021-03-16,2021-03-15,2021-03-16 20:16:36
0.3%,4.2%,2.3%,30.2%,13.3%,0.2%,30.7%,10.8%,7.9%,Kern,2021-03-16,2021-03-15,2021-03-16 20:16:44
0.9%,2.7%,1.9%,40.7%,8.2%,0.1%,28.2%,5.6%,11.8%,Kings,2021-03-16,2021-03-15,2021-03-16 20:16:51
0.7%,1%,1.1%,14.9%,17.8%,0.1%,58%,2.8%,3.6%,Lake,2021-03-16,2021-03-15,2021-03-16 20:16:57
1%,1.1%,0.8%,5.5%,9.1%,0.2%,62.4%,4%,15.9%,Lassen,2021-03-16,2021-03-15,2021-03-16 20:17:05
0.2%,12.6%,4.3%,24%,20.3%,0.4%,19.7%,13.5%,5%,Los Angeles,2021-03-16,2021-03-15,2021-03-16 20:17:12
1%,1.8%,1.5%,32.8%,7.7%,0.2%,36.9%,7.7%,10.5%,Madera,2021-03-16,2021-03-15,2021-03-16 20:17:18
0.1%,4.1%,1%,7.8%,13.1%,0.2%,54.2%,6.5%,13%,Marin,2021-03-16,2021-03-15,2021-03-16 20:17:25
1.9%,0.6%,0.3%,8%,3.1%,0.2%,63.5%,6.6%,15.9%,Mariposa,2021-03-16,2021-03-15,2021-03-16 20:17:33
0.8%,1.3%,0.3%,16.2%,14.5%,0.2%,50.2%,5.2%,11.4%,Mendocino,2021-03-16,2021-03-15,2021-03-16 20:17:41
0.3%,5.9%,1.6%,33.6%,0.7%,0.3%,29.2%,8.7%,19.7%,Merced,2021-03-16,2021-03-15,2021-03-16 20:17:49
2.3%,1.5%,0.9%,7.3%,4.9%,0.1%,73.8%,1.6%,7.6%,Modoc,2021-03-16,2021-03-15,2021-03-16 20:17:56
0.4%,1.1%,0.2%,21.7%,12.2%,0.2%,60.6%,1.2%,2.3%,Mono,2021-03-16,2021-03-15,2021-03-16 20:18:04
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Monterey,2021-03-16,2021-03-15,2021-03-16 20:18:10
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Napa,2021-03-16,2021-03-15,2021-03-16 20:18:17
0.7%,0.6%,0.2%,5.1%,18.5%,0.1%,63%,5.7%,6.1%,Nevada,2021-03-16,2021-03-15,2021-03-16 20:18:25
0.1%,19%,0.8%,12.9%,17.8%,0.3%,32.3%,9.3%,7.5%,Orange,2021-03-16,2021-03-15,2021-03-16 20:18:32
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Placer,2021-03-16,2021-03-15,2021-03-16 20:18:42
0.8%,0.6%,0.3%,1.8%,6.4%,0%,75%,3.6%,11.6%,Plumas,2021-03-16,2021-03-15,2021-03-16 20:18:49
0.3%,5.7%,3.5%,23.3%,15.9%,0.3%,34%,11.5%,5.7%,Riverside,2021-03-16,2021-03-15,2021-03-16 20:18:57
0.4%,11.1%,4.1%,8.4%,11.1%,1%,33.8%,11.8%,18.3%,Sacramento,2021-03-16,2021-03-15,2021-03-16 20:19:04
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,San Benito,2021-03-16,2021-03-15,2021-03-16 20:19:12
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,San Bernardino,2021-03-16,2021-03-15,2021-03-16 20:19:20
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,San Diego,2021-03-16,2021-03-15,2021-03-16 20:19:26
0.2%,31%,3.2%,10.6%,8.7%,0.3%,27.5%,5.9%,12.6%,San Francisco,2021-03-16,2021-03-15,2021-03-16 20:19:32
0.3%,10.3%,3.5%,13.5%,2.9%,0.9%,25.6%,16.3%,26.7%,San Joaquin,2021-03-16,2021-03-15,2021-03-16 20:19:40
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,San Luis Obispo,2021-03-16,2021-03-15,2021-03-16 20:19:47
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,San Mateo,2021-03-16,2021-03-15,2021-03-16 20:19:54
0.2%,2.6%,0.8%,19.5%,21.3%,0.2%,36%,13.3%,6.2%,Santa Barbara,2021-03-16,2021-03-15,2021-03-16 20:20:02
0.1%,26.4%,1.4%,11.6%,14.5%,0.4%,26%,8%,11.6%,Santa Clara,2021-03-16,2021-03-15,2021-03-16 20:20:09
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Santa Cruz,2021-03-16,2021-03-15,2021-03-16 20:20:17
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Shasta,2021-03-16,2021-03-15,2021-03-16 20:20:24
0.6%,0.8%,0.1%,8.1%,9.2%,0%,74.4%,3.1%,3.7%,Sierra,2021-03-16,2021-03-13,2021-03-16 20:20:32
1.8%,0.9%,0.5%,5.4%,9.4%,0%,61.8%,4.4%,15.8%,Siskiyou,2021-03-16,2021-03-15,2021-03-16 20:20:39
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Solano,2021-03-16,2021-03-15,2021-03-16 20:20:46
0.6%,2.1%,0.7%,13.4%,13.1%,0.2%,47.2%,9.1%,13.6%,Sonoma,2021-03-16,2021-03-15,2021-03-16 20:20:53
0.5%,5.1%,1.6%,21.5%,1.1%,0.7%,38.1%,9.2%,22.2%,Stanislaus,2021-03-16,2021-03-15,2021-03-16 20:21:01
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Sutter,2021-03-16,2021-03-15,2021-03-16 20:21:08
1.2%,0.7%,0.2%,10.7%,9.8%,0.1%,51.7%,9.7%,16%,Tehama,2021-03-16,2021-03-15,2021-03-16 20:21:15
1.2%,0.5%,0.2%,2.4%,10.8%,0.3%,67.1%,2.5%,15.1%,Trinity,2021-03-16,2021-03-15,2021-03-16 20:21:23
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Tulare,2021-03-16,2021-03-15,2021-03-16 20:21:29
0.4%,1.3%,0.3%,4.2%,1.4%,0.5%,80.2%,6.5%,5.4%,Tuolumne,2021-03-16,2021-03-15,2021-03-16 20:21:36
0.3%,12.2%,3%,18.6%,13.5%,0.4%,31.5%,10.5%,9.9%,Ventura,2021-03-16,2021-03-15,2021-03-16 20:21:42
0.4%,6.7%,1.1%,12.9%,9.1%,0.4%,35%,8.9%,25.4%,Yolo,2021-03-16,2021-03-15,2021-03-16 20:21:47
1.3%,4.3%,2%,17.5%,11.4%,0.3%,52.2%,4.4%,6.6%,Yuba,2021-03-16,2021-03-15,2021-03-16 20:21:55
