American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Alameda,2021-03-19,2021-03-18,2021-03-20 06:19:04
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Alpine,2021-03-19,2021-03-18,2021-03-20 06:19:08
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Amador,2021-03-19,2021-03-18,2021-03-20 06:19:11
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Butte,2021-03-19,2021-03-18,2021-03-20 06:19:15
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Calaveras,2021-03-19,2021-03-18,2021-03-20 06:19:19
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Colusa,2021-03-19,2021-03-18,2021-03-20 06:19:21
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Contra Costa,2021-03-19,2021-03-18,2021-03-20 06:19:27
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Del Norte,2021-03-19,2021-03-17,2021-03-20 06:19:29
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,El Dorado,2021-03-19,2021-03-18,2021-03-20 06:19:34
0.5%,7.1%,2.1%,31.5%,10.3%,0.2%,29.3%,7.7%,11.3%,Fresno,2021-03-19,2021-03-18,2021-03-20 06:19:36
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Glenn,2021-03-19,2021-03-18,2021-03-20 06:19:41
3.5%,1.3%,0.6%,5.7%,14.8%,0.2%,64.3%,3%,6.4%,Humboldt,2021-03-19,2021-03-18,2021-03-20 06:19:44
0.1%,0.8%,0.5%,69.6%,2.6%,0.1%,10.2%,5.8%,10.4%,Imperial,2021-03-19,2021-03-18,2021-03-20 06:19:46
1.1%,0.8%,0.2%,8.7%,22.6%,0.1%,54.2%,4.9%,7.3%,Inyo,2021-03-19,2021-03-18,2021-03-20 06:19:50
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Kern,2021-03-19,2021-03-18,2021-03-20 06:19:52
0.8%,2.7%,1.9%,41.3%,7.5%,0.2%,27.5%,5.8%,12.2%,Kings,2021-03-19,2021-03-18,2021-03-20 06:19:56
1.9%,1%,1.1%,15.6%,16.6%,0.2%,56.6%,2.9%,4.2%,Lake,2021-03-19,2021-03-18,2021-03-20 06:20:00
1%,1.3%,0.7%,6.2%,8.1%,0.2%,61.1%,3.7%,17.6%,Lassen,2021-03-19,2021-03-18,2021-03-20 06:20:03
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Los Angeles,2021-03-19,2021-03-18,2021-03-20 06:20:07
1%,1.8%,1.4%,32.8%,7.3%,0.2%,35.7%,7.7%,12%,Madera,2021-03-19,2021-03-18,2021-03-20 06:20:10
0.1%,4%,1%,7.9%,12.5%,0.2%,52.8%,6.5%,15.1%,Marin,2021-03-19,2021-03-18,2021-03-20 06:20:14
1.9%,0.8%,0.3%,7.4%,2.8%,0.1%,60.8%,5.6%,20.3%,Mariposa,2021-03-19,2021-03-18,2021-03-20 06:20:18
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Mendocino,2021-03-19,2021-03-18,2021-03-20 06:20:24
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Merced,2021-03-19,2021-03-18,2021-03-20 06:20:26
2.4%,1.5%,0.9%,7.2%,4.8%,0.1%,72.6%,1.7%,8.8%,Modoc,2021-03-19,2021-03-18,2021-03-20 06:20:32
0.4%,1.2%,0.2%,21.4%,11.4%,0.2%,59.8%,1.5%,4%,Mono,2021-03-19,2021-03-18,2021-03-20 06:20:36
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Monterey,2021-03-19,2021-03-18,2021-03-20 06:20:40
0.2%,4.4%,1%,16.9%,7.7%,0.4%,43.7%,6.3%,19.5%,Napa,2021-03-19,2021-03-18,2021-03-20 06:20:43
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Nevada,2021-03-19,2021-03-18,2021-03-20 06:20:47
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Orange,2021-03-19,2021-03-18,2021-03-20 06:20:50
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Placer,2021-03-19,2021-03-18,2021-03-20 06:20:54
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Plumas,2021-03-19,2021-03-18,2021-03-20 06:20:57
0.3%,5.7%,3.6%,23.4%,15%,0.3%,33.5%,11.8%,6.4%,Riverside,2021-03-19,2021-03-18,2021-03-20 06:21:01
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Sacramento,2021-03-19,2021-03-18,2021-03-20 06:21:04
0.2%,2.1%,0.6%,30.3%,5.2%,0.3%,23.6%,10.5%,27.2%,San Benito,2021-03-19,2021-03-18,2021-03-20 06:21:08
0.2%,9.1%,4.8%,26.9%,14.1%,0.4%,26.2%,11.5%,6.9%,San Bernardino,2021-03-19,2021-03-18,2021-03-20 06:21:11
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,San Diego,2021-03-19,2021-03-18,2021-03-20 06:21:14
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,San Francisco,2021-03-19,2021-03-18,2021-03-20 06:21:17
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,San Joaquin,2021-03-19,2021-03-18,2021-03-20 06:21:21
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,San Luis Obispo,2021-03-19,2021-03-18,2021-03-20 06:21:25
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,San Mateo,2021-03-19,2021-03-18,2021-03-20 06:21:27
0.2%,2.6%,0.8%,20.1%,19.9%,0.2%,35.4%,13.4%,7.4%,Santa Barbara,2021-03-19,2021-03-18,2021-03-20 06:21:32
0.1%,25.8%,1.4%,11.5%,13.8%,0.4%,25.4%,8.1%,13.4%,Santa Clara,2021-03-19,2021-03-18,2021-03-20 06:21:36
0.2%,2%,0.3%,19.4%,16.7%,0.1%,42%,9.8%,9.4%,Santa Cruz,2021-03-19,2021-03-18,2021-03-20 06:21:39
