American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,21.2%,5.7%,10.5%,11%,0.5%,26.4%,8.8%,15.6%,Alameda,2021-03-20,2021-03-19,2021-03-21 08:20:41
1.9%,0.6%,0%,0.3%,0.3%,0%,17.5%,1%,78.3%,Alpine,2021-03-20,2021-03-18,2021-03-21 08:20:44
0.9%,1.4%,0.3%,7.1%,4.5%,0.3%,66.9%,9.1%,9.6%,Amador,2021-03-20,2021-03-19,2021-03-21 08:20:47
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Butte,2021-03-20,2021-03-19,2021-03-21 08:20:51
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Calaveras,2021-03-20,2021-03-19,2021-03-21 08:20:54
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Colusa,2021-03-20,2021-03-19,2021-03-21 08:20:58
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Contra Costa,2021-03-20,2021-03-19,2021-03-21 08:21:01
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Del Norte,2021-03-20,2021-03-19,2021-03-21 08:21:04
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,El Dorado,2021-03-20,2021-03-19,2021-03-21 08:21:08
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Fresno,2021-03-20,2021-03-19,2021-03-21 08:21:11
2.3%,1.1%,0.2%,20.2%,9%,0.1%,46.4%,10.2%,10.6%,Glenn,2021-03-20,2021-03-19,2021-03-21 08:21:15
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Humboldt,2021-03-20,2021-03-19,2021-03-21 08:21:18
0.1%,0.7%,0.5%,68.9%,2.5%,0.1%,9.8%,5.9%,11.6%,Imperial,2021-03-20,2021-03-19,2021-03-21 08:21:22
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Inyo,2021-03-20,2021-03-19,2021-03-21 08:21:25
0.4%,4.1%,2.3%,30.2%,12.3%,0.2%,29.9%,11.1%,9.5%,Kern,2021-03-20,2021-03-19,2021-03-21 08:21:29
0.8%,2.7%,2%,41.3%,7.4%,0.2%,27.5%,5.8%,12.4%,Kings,2021-03-20,2021-03-19,2021-03-21 08:21:32
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Lake,2021-03-20,2021-03-19,2021-03-21 08:21:36
1.1%,1.3%,0.7%,6.1%,8%,0.3%,61%,3.7%,17.9%,Lassen,2021-03-20,2021-03-19,2021-03-21 08:21:39
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Los Angeles,2021-03-20,2021-03-19,2021-03-21 08:21:43
1%,1.8%,1.4%,32.9%,7.1%,0.2%,35.3%,7.8%,12.5%,Madera,2021-03-20,2021-03-19,2021-03-21 08:21:46
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Marin,2021-03-20,2021-03-19,2021-03-21 08:21:50
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Mariposa,2021-03-20,2021-03-19,2021-03-21 08:21:53
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Mendocino,2021-03-20,2021-03-19,2021-03-21 08:21:56
0.3%,5.5%,1.6%,32.4%,0.5%,0.3%,26.5%,8.4%,24.5%,Merced,2021-03-20,2021-03-19,2021-03-21 08:22:00
2.3%,1.5%,0.9%,7.2%,4.8%,0.1%,72.6%,1.7%,8.9%,Modoc,2021-03-20,2021-03-19,2021-03-21 08:22:03
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Mono,2021-03-20,2021-03-18,2021-03-21 08:22:07
0.2%,4.5%,1.1%,34.2%,11.9%,0.5%,28.8%,6.9%,11.8%,Monterey,2021-03-20,2021-03-19,2021-03-21 08:22:10
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Napa,2021-03-20,2021-03-19,2021-03-21 08:22:14
0.7%,0.6%,0.2%,5.1%,17.7%,0.1%,62.4%,6%,7.2%,Nevada,2021-03-20,2021-03-19,2021-03-21 08:22:17
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Orange,2021-03-20,2021-03-19,2021-03-21 08:22:21
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Placer,2021-03-20,2021-03-19,2021-03-21 08:22:24
0.8%,0.5%,0.3%,1.9%,6.4%,0%,74.5%,3.6%,11.9%,Plumas,2021-03-20,2021-03-19,2021-03-21 08:22:27
0.3%,5.7%,3.6%,23.5%,14.7%,0.3%,33.3%,11.9%,6.8%,Riverside,2021-03-20,2021-03-19,2021-03-21 08:22:30
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Sacramento,2021-03-20,2021-03-19,2021-03-21 08:22:34
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,San Benito,2021-03-20,2021-03-19,2021-03-21 08:22:37
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,San Bernardino,2021-03-20,2021-03-19,2021-03-21 08:22:41
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,San Diego,2021-03-20,2021-03-19,2021-03-21 08:22:44
0.2%,29.8%,3.1%,10.6%,8%,0.3%,27%,5.9%,15.2%,San Francisco,2021-03-20,2021-03-19,2021-03-21 08:22:48
0.3%,9.8%,3.2%,13.5%,2.4%,0.8%,23.4%,14.9%,31.6%,San Joaquin,2021-03-20,2021-03-19,2021-03-21 08:22:51
0.1%,1.1%,0.4%,5.9%,12.5%,0.1%,29.9%,15.3%,34.7%,San Luis Obispo,2021-03-20,2021-03-19,2021-03-21 08:22:54
0.2%,18.9%,1.2%,9.8%,14.8%,0.6%,29.7%,10%,14.9%,San Mateo,2021-03-20,2021-03-19,2021-03-21 08:22:58
0.2%,2.7%,0.8%,20.2%,19.3%,0.2%,35.4%,13.4%,7.8%,Santa Barbara,2021-03-20,2021-03-19,2021-03-21 08:23:01
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Santa Clara,2021-03-20,2021-03-19,2021-03-21 08:23:05
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Santa Cruz,2021-03-20,2021-03-19,2021-03-21 08:23:08
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Shasta,2021-03-20,2021-03-19,2021-03-21 08:23:12
0.6%,0.7%,0.1%,8.2%,9%,0%,74.1%,3.1%,4.2%,Sierra,2021-03-20,2021-03-18,2021-03-21 08:23:15
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Siskiyou,2021-03-20,2021-03-19,2021-03-21 08:23:19
0.3%,11.5%,6.8%,8.5%,7.7%,1%,28.8%,12%,23.4%,Solano,2021-03-20,2021-03-19,2021-03-21 08:23:22
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Sonoma,2021-03-20,2021-03-19,2021-03-21 08:23:26
0.4%,4.9%,1.6%,22.6%,1%,0.6%,36%,8.9%,23.9%,Stanislaus,2021-03-20,2021-03-19,2021-03-21 08:23:29
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Sutter,2021-03-20,2021-03-19,2021-03-21 08:23:32
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Tehama,2021-03-20,2021-03-19,2021-03-21 08:23:36
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Trinity,2021-03-20,2021-03-19,2021-03-21 08:23:39
0.2%,2.7%,0.7%,43.6%,6.7%,0.2%,30.7%,5.8%,9.4%,Tulare,2021-03-20,2021-03-19,2021-03-21 08:23:43
0.4%,1.3%,0.3%,4.3%,1.3%,0.4%,79.4%,6.3%,6.3%,Tuolumne,2021-03-20,2021-03-19,2021-03-21 08:23:46
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Ventura,2021-03-20,2021-03-19,2021-03-21 08:23:49
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Yolo,2021-03-20,2021-03-19,2021-03-21 08:23:53
1.2%,4.3%,2%,17.1%,10.5%,0.3%,50.5%,4.6%,9.6%,Yuba,2021-03-20,2021-03-19,2021-03-21 08:23:56
