American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,24.8%,6.2%,11.5%,11.6%,0.6%,27.4%,9.6%,8.1%,Alameda,2021-04-11,2021-04-10,2021-04-11 22:23:11
1.8%,0.6%,0.3%,1.0%,0.3%,0.000%,18.5%,0.8%,76.9%,Alpine,2021-04-11,2021-04-09,2021-04-11 22:23:14
0.8%,1.6%,0.5%,7.7%,3.9%,0.3%,70.7%,8.6%,5.8%,Amador,2021-04-11,2021-04-10,2021-04-11 22:23:16
1.1%,2.8%,0.8%,9.6%,16.9%,0.1%,57.8%,6.7%,4.1%,Butte,2021-04-11,2021-04-10,2021-04-11 22:23:19
0.4%,1.3%,0.5%,5.4%,1.8%,0.2%,58.1%,8.2%,24.0%,Calaveras,2021-04-11,2021-04-10,2021-04-11 22:23:21
0.8%,0.7%,0.5%,33.7%,6.6%,0.1%,30.6%,5.9%,21.1%,Colusa,2021-04-11,2021-04-10,2021-04-11 22:23:24
0.2%,12.6%,5.0%,14.9%,11.8%,0.6%,37.8%,8.5%,8.5%,Contra Costa,2021-04-11,2021-04-10,2021-04-11 22:23:26
6.3%,1.7%,0.5%,6.6%,11.0%,0.1%,58.9%,3.1%,11.8%,Del Norte,2021-04-11,2021-04-10,2021-04-11 22:23:28
0.3%,3.8%,0.6%,6.6%,13.9%,0.3%,60.4%,7.2%,6.8%,El Dorado,2021-04-11,2021-04-10,2021-04-11 22:23:31
0.5%,8.2%,2.3%,36.1%,10.6%,0.2%,28.5%,7.9%,5.8%,Fresno,2021-04-11,2021-04-10,2021-04-11 22:23:33
1.8%,1.5%,0.2%,27.4%,9.5%,0.1%,42.6%,10.8%,6.1%,Glenn,2021-04-11,2021-04-09,2021-04-11 22:23:36
3.0%,1.6%,0.8%,8.0%,13.8%,0.2%,65.8%,2.7%,4.1%,Humboldt,2021-04-11,2021-04-10,2021-04-11 22:23:38
0.2%,0.8%,0.4%,71.8%,2.7%,0.1%,10.0%,7.7%,6.4%,Imperial,2021-04-11,2021-04-10,2021-04-11 22:23:41
0.9%,1.2%,0.2%,11.0%,21.2%,0.1%,55.7%,3.4%,6.2%,Inyo,2021-04-11,2021-04-10,2021-04-11 22:23:43
0.3%,4.4%,2.5%,35.5%,12.1%,0.2%,29.0%,9.4%,6.5%,Kern,2021-04-11,2021-04-10,2021-04-11 22:23:46
0.6%,2.9%,2.2%,45.3%,7.7%,0.2%,27.3%,5.8%,7.8%,Kings,2021-04-11,2021-04-10,2021-04-11 22:23:48
1.8%,1.3%,1.3%,16.9%,15.4%,0.2%,57.2%,2.6%,3.3%,Lake,2021-04-11,2021-04-10,2021-04-11 22:23:51
1.0%,1.5%,0.8%,8.8%,7.9%,0.3%,63.1%,3.3%,13.1%,Lassen,2021-04-11,2021-04-09,2021-04-11 22:23:53
0.2%,13.0%,4.4%,28.8%,17.2%,0.3%,20.1%,12.1%,3.9%,Los Angeles,2021-04-11,2021-04-10,2021-04-11 22:23:56
0.8%,2.1%,1.6%,36.9%,7.7%,0.1%,34.6%,9.7%,6.5%,Madera,2021-04-11,2021-04-10,2021-04-11 22:23:58
0.1%,4.9%,1.1%,11.6%,12.7%,0.2%,57.8%,6.8%,4.8%,Marin,2021-04-11,2021-04-10,2021-04-11 22:24:00
1.7%,1.1%,0.4%,8.0%,3.2%,0.1%,65.2%,4.5%,15.7%,Mariposa,2021-04-11,2021-04-10,2021-04-11 22:24:03
0.8%,1.4%,0.3%,16.6%,16.1%,0.2%,50.8%,6.0%,7.7%,Mendocino,2021-04-11,2021-04-10,2021-04-11 22:24:05
0.4%,6.1%,1.6%,35.3%,0.7%,0.3%,24.6%,8.2%,22.9%,Merced,2021-04-11,2021-04-10,2021-04-11 22:24:08
2.4%,1.9%,1.1%,9.0%,5.4%,0.2%,72.3%,1.7%,6.0%,Modoc,2021-04-11,2021-04-09,2021-04-11 22:24:10
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Mono,2021-04-11,2021-04-10,2021-04-11 22:24:13
0.2%,4.3%,1.1%,44.8%,10.4%,0.5%,26.4%,5.3%,7.0%,Monterey,2021-04-11,2021-04-10,2021-04-11 22:24:15
0.2%,5.2%,1.1%,20.9%,8.1%,0.4%,47.3%,7.6%,9.0%,Napa,2021-04-11,2021-04-10,2021-04-11 22:24:18
0.7%,1.0%,0.2%,5.2%,17.2%,0.1%,65.6%,4.9%,5.1%,Nevada,2021-04-11,2021-04-10,2021-04-11 22:24:20
0.1%,19.0%,1.0%,14.9%,15.6%,0.3%,32.3%,9.2%,7.6%,Orange,2021-04-11,2021-04-10,2021-04-11 22:24:23
0.5%,6.7%,1.2%,8.6%,14.1%,0.4%,54.7%,8.0%,6.0%,Placer,2021-04-11,2021-04-10,2021-04-11 22:24:25
0.8%,0.7%,0.5%,3.1%,6.2%,0.05%,73.3%,3.5%,11.8%,Plumas,2021-04-11,2021-04-10,2021-04-11 22:24:27
0.2%,6.1%,3.9%,29.7%,14.1%,0.3%,31.5%,9.5%,4.7%,Riverside,2021-04-11,2021-04-10,2021-04-11 22:24:30
0.4%,14.5%,5.5%,9.8%,11.0%,1.1%,36.6%,12.5%,8.8%,Sacramento,2021-04-11,2021-04-10,2021-04-11 22:24:32
0.3%,2.8%,0.6%,34.6%,6.0%,0.3%,25.1%,10.9%,19.4%,San Benito,2021-04-11,2021-04-10,2021-04-11 22:24:35
0.2%,9.2%,5.0%,32.4%,13.0%,0.4%,25.0%,10.0%,4.8%,San Bernardino,2021-04-11,2021-04-10,2021-04-11 22:24:37
0.4%,12.5%,2.5%,21.7%,0.6%,0.6%,44.8%,8.8%,8.1%,San Diego,2021-04-11,2021-04-10,2021-04-11 22:24:40
0.2%,31.0%,3.3%,12.0%,9.1%,0.3%,30.6%,6.2%,7.3%,San Francisco,2021-04-11,2021-04-10,2021-04-11 22:24:42
0.4%,12.3%,4.0%,17.0%,2.3%,0.9%,23.9%,15.4%,23.7%,San Joaquin,2021-04-11,2021-04-10,2021-04-11 22:24:45
0.2%,1.7%,0.5%,10.2%,13.5%,0.2%,39.7%,10.9%,23.2%,San Luis Obispo,2021-04-11,2021-04-10,2021-04-11 22:24:47
0.2%,19.9%,1.2%,10.5%,19.2%,0.7%,29.4%,11.8%,7.2%,San Mateo,2021-04-11,2021-04-10,2021-04-11 22:24:50
0.2%,3.2%,0.9%,27.6%,17.5%,0.2%,35.4%,10.1%,5.0%,Santa Barbara,2021-04-11,2021-04-10,2021-04-11 22:24:52
0.2%,29.8%,1.5%,12.8%,14.0%,0.4%,25.3%,9.0%,7.1%,Santa Clara,2021-04-11,2021-04-10,2021-04-11 22:24:55
0.2%,2.4%,0.4%,22.1%,15.8%,0.1%,43.3%,9.5%,6.3%,Santa Cruz,2021-04-11,2021-04-10,2021-04-11 22:24:57
0.7%,1.9%,0.6%,4.7%,23.3%,0.2%,51.7%,8.6%,8.4%,Shasta,2021-04-11,2021-04-10,2021-04-11 22:25:00
0.5%,0.9%,0.1%,8.0%,9.5%,0.000%,74.6%,2.8%,3.6%,Sierra,2021-04-11,2021-04-10,2021-04-11 22:25:03
1.6%,1.0%,0.6%,7.4%,8.8%,0.05%,62.5%,4.0%,14.1%,Siskiyou,2021-04-11,2021-04-10,2021-04-11 22:25:05
0.4%,14.3%,8.7%,11.2%,9.0%,1.2%,33.5%,13.3%,8.4%,Solano,2021-04-11,2021-04-10,2021-04-11 22:25:08
0.5%,2.9%,0.9%,15.1%,12.5%,0.3%,53.0%,8.9%,6.0%,Sonoma,2021-04-11,2021-04-10,2021-04-11 22:25:10
0.5%,5.6%,1.8%,26.8%,0.9%,0.7%,36.7%,10.7%,16.4%,Stanislaus,2021-04-11,2021-04-10,2021-04-11 22:25:13
0.6%,14.8%,1.1%,19.3%,14.3%,0.2%,39.6%,6.1%,4.0%,Sutter,2021-04-11,2021-04-10,2021-04-11 22:25:15
1.0%,0.9%,0.3%,13.4%,9.8%,0.2%,53.6%,8.8%,11.9%,Tehama,2021-04-11,2021-04-10,2021-04-11 22:25:17
