American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Alameda,2021-03-29,2021-03-28,2021-03-30 02:40:33
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Alpine,2021-03-29,2021-03-25,2021-03-30 02:40:35
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Amador,2021-03-29,2021-03-28,2021-03-30 02:40:38
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Butte,2021-03-29,2021-03-28,2021-03-30 02:40:40
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Calaveras,2021-03-29,2021-03-28,2021-03-30 02:40:43
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Colusa,2021-03-29,2021-03-28,2021-03-30 02:40:45
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Contra Costa,2021-03-29,2021-03-28,2021-03-30 02:40:48
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Del Norte,2021-03-29,2021-03-28,2021-03-30 02:40:52
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,El Dorado,2021-03-29,2021-03-28,2021-03-30 02:40:54
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Fresno,2021-03-29,2021-03-28,2021-03-30 02:40:57
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Glenn,2021-03-29,2021-03-28,2021-03-30 02:41:00
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Humboldt,2021-03-29,2021-03-28,2021-03-30 02:41:02
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Imperial,2021-03-29,2021-03-28,2021-03-30 02:41:05
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Inyo,2021-03-29,2021-03-28,2021-03-30 02:41:07
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Kern,2021-03-29,2021-03-28,2021-03-30 02:41:10
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Kings,2021-03-29,2021-03-28,2021-03-30 02:41:12
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Lake,2021-03-29,2021-03-28,2021-03-30 02:41:15
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Lassen,2021-03-29,2021-03-28,2021-03-30 02:41:18
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Los Angeles,2021-03-29,2021-03-28,2021-03-30 02:41:20
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Madera,2021-03-29,2021-03-28,2021-03-30 02:41:23
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Marin,2021-03-29,2021-03-28,2021-03-30 02:41:25
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Mariposa,2021-03-29,2021-03-27,2021-03-30 02:41:28
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Mendocino,2021-03-29,2021-03-28,2021-03-30 02:41:30
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Merced,2021-03-29,2021-03-28,2021-03-30 02:41:33
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Modoc,2021-03-29,2021-03-26,2021-03-30 02:41:36
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Mono,2021-03-29,2021-03-28,2021-03-30 02:41:38
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Monterey,2021-03-29,2021-03-28,2021-03-30 02:41:41
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Napa,2021-03-29,2021-03-28,2021-03-30 02:41:43
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Nevada,2021-03-29,2021-03-28,2021-03-30 02:41:46
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Orange,2021-03-29,2021-03-28,2021-03-30 02:41:48
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Placer,2021-03-29,2021-03-28,2021-03-30 02:41:51
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Plumas,2021-03-29,2021-03-28,2021-03-30 02:41:53
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Riverside,2021-03-29,2021-03-28,2021-03-30 02:41:56
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Sacramento,2021-03-29,2021-03-28,2021-03-30 02:41:59
