American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Alameda,2021-03-21,2021-03-20,2021-03-21 18:26:18
1.9%,0.6%,0%,0.3%,0.3%,0%,17.5%,1.1%,78.2%,Alpine,2021-03-21,2021-03-18,2021-03-21 18:26:21
0.9%,1.4%,0.3%,7%,4.4%,0.3%,66.8%,9.2%,9.7%,Amador,2021-03-21,2021-03-20,2021-03-21 18:26:26
1.2%,2.1%,0.7%,7.4%,16.8%,0.1%,56.9%,8%,6.9%,Butte,2021-03-21,2021-03-20,2021-03-21 18:26:28
0.4%,1%,0.4%,4.6%,1.6%,0.1%,51.6%,8.8%,31.5%,Calaveras,2021-03-21,2021-03-20,2021-03-21 18:26:33
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Colusa,2021-03-21,2021-03-20,2021-03-21 18:26:37
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Contra Costa,2021-03-21,2021-03-20,2021-03-21 18:26:41
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Del Norte,2021-03-21,2021-03-19,2021-03-21 18:26:45
0.3%,2.8%,0.5%,4.9%,14%,0.3%,51.1%,8%,18.2%,El Dorado,2021-03-21,2021-03-20,2021-03-21 18:26:49
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Fresno,2021-03-21,2021-03-20,2021-03-21 18:26:52
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Glenn,2021-03-21,2021-03-20,2021-03-21 18:26:56
3.4%,1.3%,0.6%,5.8%,14.4%,0.2%,64.2%,3.1%,6.9%,Humboldt,2021-03-21,2021-03-20,2021-03-21 18:27:00
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Imperial,2021-03-21,2021-03-20,2021-03-21 18:27:03
1.1%,0.9%,0.2%,8.8%,22.2%,0.1%,54%,5%,7.6%,Inyo,2021-03-21,2021-03-20,2021-03-21 18:27:06
0.4%,4.1%,2.3%,30.3%,12.1%,0.2%,29.8%,11.1%,9.6%,Kern,2021-03-21,2021-03-20,2021-03-21 18:27:10
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Kings,2021-03-21,2021-03-20,2021-03-21 18:27:13
1.7%,1%,1.1%,16.1%,15.3%,0.1%,55.9%,3.2%,5.5%,Lake,2021-03-21,2021-03-20,2021-03-21 18:27:17
