American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,24.6%,6.0%,11.3%,11.1%,0.6%,26.7%,9.6%,9.9%,Alameda,2021-04-15,2021-04-14,2021-04-16 10:21:04
0.3%,13.2%,3.2%,22.4%,11.9%,0.4%,30.8%,10.0%,7.8%,Alpine,2021-04-15,2021-04-08,2021-04-16 10:21:06
0.8%,1.6%,0.5%,7.8%,3.9%,0.3%,70.4%,8.8%,5.9%,Amador,2021-04-15,2021-04-14,2021-04-16 10:21:08
1.1%,2.8%,0.8%,9.7%,16.8%,0.1%,57.7%,6.7%,4.4%,Butte,2021-04-15,2021-04-14,2021-04-16 10:21:11
0.5%,1.4%,0.5%,5.8%,1.8%,0.2%,58.4%,8.4%,23.1%,Calaveras,2021-04-15,2021-04-14,2021-04-16 10:21:13
0.8%,0.7%,0.5%,33.6%,6.5%,0.1%,30.4%,6.0%,21.4%,Colusa,2021-04-15,2021-04-14,2021-04-16 10:21:16
0.2%,12.5%,5.0%,15.0%,11.4%,0.6%,37.1%,8.5%,9.9%,Contra Costa,2021-04-15,2021-04-14,2021-04-16 10:21:18
6.1%,1.8%,0.5%,6.7%,10.6%,0.1%,58.2%,3.0%,12.9%,Del Norte,2021-04-15,2021-04-14,2021-04-16 10:21:21
0.3%,3.8%,0.6%,6.6%,13.6%,0.3%,59.8%,7.2%,7.8%,El Dorado,2021-04-15,2021-04-14,2021-04-16 10:21:23
0.5%,8.2%,2.3%,36.0%,10.3%,0.2%,28.3%,7.9%,6.4%,Fresno,2021-04-15,2021-04-14,2021-04-16 10:21:25
1.8%,1.5%,0.2%,27.3%,9.4%,0.1%,42.2%,10.7%,6.8%,Glenn,2021-04-15,2021-04-14,2021-04-16 10:21:28
2.9%,1.6%,0.8%,8.0%,13.2%,0.2%,65.6%,2.8%,4.8%,Humboldt,2021-04-15,2021-04-14,2021-04-16 10:21:30
0.3%,13.2%,3.2%,22.4%,11.9%,0.4%,30.8%,10.0%,7.8%,Imperial,2021-04-15,2021-04-14,2021-04-16 10:21:33
0.9%,1.2%,0.2%,11.0%,21.0%,0.2%,55.6%,3.4%,6.4%,Inyo,2021-04-15,2021-04-14,2021-04-16 10:21:35
0.3%,4.4%,2.5%,35.7%,11.8%,0.2%,28.7%,9.5%,7.0%,Kern,2021-04-15,2021-04-14,2021-04-16 10:21:37
0.6%,3.0%,2.3%,45.2%,7.6%,0.2%,27.2%,5.9%,8.1%,Kings,2021-04-15,2021-04-14,2021-04-16 10:21:40
1.8%,1.3%,1.3%,16.8%,15.3%,0.2%,57.1%,2.7%,3.6%,Lake,2021-04-15,2021-04-14,2021-04-16 10:21:42
1.1%,1.6%,0.8%,8.8%,7.8%,0.3%,62.9%,3.3%,13.4%,Lassen,2021-04-15,2021-04-14,2021-04-16 10:21:45
0.2%,13.0%,4.4%,28.9%,16.5%,0.3%,20.0%,12.3%,4.5%,Los Angeles,2021-04-15,2021-04-14,2021-04-16 10:21:47
0.8%,2.1%,1.6%,36.8%,7.5%,0.1%,33.9%,9.7%,7.5%,Madera,2021-04-15,2021-04-14,2021-04-16 10:21:49
0.1%,4.8%,1.1%,11.6%,12.3%,0.2%,57.1%,6.8%,5.9%,Marin,2021-04-15,2021-04-14,2021-04-16 10:21:52
1.7%,1.1%,0.4%,8.0%,3.2%,0.1%,65.2%,4.5%,15.7%,Mariposa,2021-04-15,2021-04-14,2021-04-16 10:21:54
0.8%,1.4%,0.3%,16.6%,15.9%,0.2%,50.8%,6.0%,7.9%,Mendocino,2021-04-15,2021-04-14,2021-04-16 10:21:57
0.4%,6.0%,1.7%,36.0%,0.6%,0.3%,24.3%,8.0%,22.7%,Merced,2021-04-15,2021-04-14,2021-04-16 10:21:59
2.4%,1.9%,1.1%,9.0%,5.4%,0.2%,71.8%,1.8%,6.4%,Modoc,2021-04-15,2021-04-14,2021-04-16 10:22:01
0.4%,1.6%,0.2%,24.3%,12.0%,0.2%,58.7%,1.5%,1.1%,Mono,2021-04-15,2021-04-14,2021-04-16 10:22:04
0.2%,4.2%,1.1%,44.8%,9.8%,0.5%,25.7%,5.4%,8.2%,Monterey,2021-04-15,2021-04-14,2021-04-16 10:22:06
