American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.2%,5.4%,10.2%,9.5%,0.5%,23.9%,8.8%,21.3%,Alameda,2021-04-02,2021-04-01,2021-04-02 20:21:37
1.7%,0.6%,0.3%,0.7%,0.3%,0.0%,17.8%,0.8%,77.8%,Alpine,2021-04-02,2021-04-01,2021-04-02 20:21:40
0.8%,1.5%,0.4%,7.4%,3.6%,0.3%,67.5%,8.7%,9.8%,Amador,2021-04-02,2021-04-01,2021-04-02 20:21:42
1.1%,2.3%,0.7%,7.7%,14.9%,0.1%,56.1%,8.1%,9.0%,Butte,2021-04-02,2021-04-01,2021-04-02 20:21:44
0.4%,1.2%,0.4%,5.0%,1.3%,0.2%,55.1%,8.8%,27.6%,Calaveras,2021-04-02,2021-04-01,2021-04-02 20:21:47
1.0%,0.7%,0.4%,27.5%,5.3%,0.1%,31.4%,5.5%,28.1%,Colusa,2021-04-02,2021-04-01,2021-04-02 20:21:49
0.2%,10.5%,4.3%,12.5%,10.2%,0.5%,33.4%,7.7%,20.7%,Contra Costa,2021-04-02,2021-04-01,2021-04-02 20:21:51
6.6%,1.7%,0.5%,5.4%,7.2%,0.2%,60.4%,3.1%,14.8%,Del Norte,2021-04-02,2021-04-01,2021-04-02 20:21:53
0.2%,2.8%,0.5%,5.6%,11.9%,0.3%,48.6%,7.8%,22.4%,El Dorado,2021-04-02,2021-04-01,2021-04-02 20:21:56
0.5%,7.0%,2.1%,31.5%,8.4%,0.2%,28.1%,7.9%,14.4%,Fresno,2021-04-02,2021-04-01,2021-04-02 20:21:58
2.0%,1.2%,0.2%,22.0%,7.6%,0.1%,42.0%,10.4%,14.5%,Glenn,2021-04-02,2021-04-01,2021-04-02 20:22:00
3.2%,1.4%,0.7%,6.9%,12.4%,0.2%,63.4%,3.3%,8.3%,Humboldt,2021-04-02,2021-04-01,2021-04-02 20:22:03
0.1%,0.6%,0.4%,63.2%,1.9%,0.1%,9.4%,7.9%,16.4%,Imperial,2021-04-02,2021-04-01,2021-04-02 20:22:05
1.0%,1.1%,0.2%,9.3%,20.1%,0.2%,52.9%,5.7%,9.7%,Inyo,2021-04-02,2021-04-01,2021-04-02 20:22:07
0.3%,4.1%,2.4%,31.4%,10.3%,0.3%,28.6%,11.6%,11.1%,Kern,2021-04-02,2021-04-01,2021-04-02 20:22:09
0.7%,2.6%,2.1%,41.1%,6.0%,0.2%,26.7%,6.2%,14.5%,Kings,2021-04-02,2021-04-01,2021-04-02 20:22:12
1.6%,1.1%,1.2%,16.0%,14.0%,0.1%,55.2%,3.6%,7.1%,Lake,2021-04-02,2021-04-01,2021-04-02 20:22:14
1.2%,1.4%,0.7%,6.9%,7.2%,0.3%,59.5%,3.6%,19.2%,Lassen,2021-04-02,2021-04-01,2021-04-02 20:22:16
0.2%,12.4%,4.4%,25.0%,14.8%,0.4%,19.6%,14.7%,8.5%,Los Angeles,2021-04-02,2021-04-01,2021-04-02 20:22:19
0.9%,1.9%,1.4%,32.8%,6.2%,0.1%,32.8%,8.5%,15.3%,Madera,2021-04-02,2021-04-01,2021-04-02 20:22:21
0.1%,3.8%,0.9%,9.7%,10.5%,0.2%,47.9%,6.3%,20.5%,Marin,2021-04-02,2021-04-01,2021-04-02 20:22:23
1.8%,0.9%,0.3%,7.5%,2.3%,0.1%,61.9%,5.2%,20.1%,Mariposa,2021-04-02,2021-04-01,2021-04-02 20:22:25
0.9%,1.4%,0.3%,16.8%,13.1%,0.2%,50.0%,5.9%,11.4%,Mendocino,2021-04-02,2021-04-01,2021-04-02 20:22:28
0.3%,6.0%,1.6%,34.2%,0.4%,0.3%,25.3%,8.4%,23.4%,Merced,2021-04-02,2021-04-01,2021-04-02 20:22:30
2.3%,1.6%,1.0%,7.6%,4.6%,0.1%,69.9%,2.0%,10.8%,Modoc,2021-04-02,2021-04-01,2021-04-02 20:22:32
0.4%,1.3%,0.3%,21.5%,9.9%,0.2%,57.3%,1.8%,7.4%,Mono,2021-04-02,2021-03-31,2021-04-02 20:22:35
0.2%,4.1%,1.1%,35.8%,9.4%,0.5%,25.8%,7.6%,15.5%,Monterey,2021-04-02,2021-04-01,2021-04-02 20:22:37
0.2%,4.0%,0.9%,18.0%,6.5%,0.4%,39.3%,6.2%,24.6%,Napa,2021-04-02,2021-04-01,2021-04-02 20:22:39
0.8%,0.7%,0.3%,5.2%,15.5%,0.1%,61.5%,6.4%,9.5%,Nevada,2021-04-02,2021-04-01,2021-04-02 20:22:42
0.1%,17.9%,0.9%,12.9%,13.2%,0.3%,31.0%,11.1%,12.5%,Orange,2021-04-02,2021-04-01,2021-04-02 20:22:44
