Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
57.1%,42.6%,0.3%,Alameda,2021-03-25,2021-03-24,2021-03-26 08:23:41
46.8%,52.7%,0.5%,Alpine,2021-03-25,2021-03-24,2021-03-26 08:23:44
56.0%,43.8%,0.1%,Amador,2021-03-25,2021-03-24,2021-03-26 08:23:46
57.0%,42.9%,0.1%,Butte,2021-03-25,2021-03-24,2021-03-26 08:23:49
55.0%,44.3%,0.8%,Calaveras,2021-03-25,2021-03-24,2021-03-26 08:23:51
51.9%,46.2%,1.9%,Colusa,2021-03-25,2021-03-24,2021-03-26 08:23:54
57.3%,42.6%,0.1%,Contra Costa,2021-03-25,2021-03-24,2021-03-26 08:23:57
54.2%,45.7%,0.1%,Del Norte,2021-03-25,2021-03-24,2021-03-26 08:24:00
55.5%,44.4%,0.1%,El Dorado,2021-03-25,2021-03-24,2021-03-26 08:24:03
55.9%,44.0%,0.1%,Fresno,2021-03-25,2021-03-24,2021-03-26 08:24:05
56.5%,43.4%,0.1%,Glenn,2021-03-25,2021-03-24,2021-03-26 08:24:08
58.3%,41.6%,0.1%,Humboldt,2021-03-25,2021-03-24,2021-03-26 08:24:11
54.5%,45.5%,0.0%,Imperial,2021-03-25,2021-03-24,2021-03-26 08:24:13
53.5%,46.5%,0.1%,Inyo,2021-03-25,2021-03-23,2021-03-26 08:24:16
55.4%,43.9%,0.7%,Kern,2021-03-25,2021-03-24,2021-03-26 08:24:19
55.1%,44.5%,0.4%,Kings,2021-03-25,2021-03-24,2021-03-26 08:24:21
54.4%,45.5%,0.1%,Lake,2021-03-25,2021-03-24,2021-03-26 08:24:24
52.5%,47.3%,0.2%,Lassen,2021-03-25,2021-03-24,2021-03-26 08:24:26
56.2%,43.6%,0.2%,Los Angeles,2021-03-25,2021-03-24,2021-03-26 08:24:29
55.1%,44.9%,0.1%,Madera,2021-03-25,2021-03-24,2021-03-26 08:24:32
56.7%,43.2%,0.1%,Marin,2021-03-25,2021-03-24,2021-03-26 08:24:34
53.8%,45.8%,0.4%,Mariposa,2021-03-25,2021-03-23,2021-03-26 08:24:37
54.1%,45.2%,0.8%,Mendocino,2021-03-25,2021-03-24,2021-03-26 08:24:40
55.3%,44.3%,0.4%,Merced,2021-03-25,2021-03-24,2021-03-26 08:24:43
52.7%,47.3%,0.0%,Modoc,2021-03-25,2021-03-23,2021-03-26 08:24:45
47.4%,52.6%,0.0%,Mono,2021-03-25,2021-03-24,2021-03-26 08:24:48
54.6%,42.2%,3.2%,Monterey,2021-03-25,2021-03-24,2021-03-26 08:24:50
53.4%,46.6%,0.1%,Napa,2021-03-25,2021-03-24,2021-03-26 08:24:53
56.6%,43.3%,0.1%,Nevada,2021-03-25,2021-03-24,2021-03-26 08:24:55
55.9%,43.1%,1.0%,Orange,2021-03-25,2021-03-24,2021-03-26 08:24:58
57.2%,42.7%,0.1%,Placer,2021-03-25,2021-03-24,2021-03-26 08:25:01
54.2%,45.8%,0.0%,Plumas,2021-03-25,2021-03-24,2021-03-26 08:25:03
55.6%,44.3%,0.1%,Riverside,2021-03-25,2021-03-24,2021-03-26 08:25:06
57.4%,42.4%,0.2%,Sacramento,2021-03-25,2021-03-24,2021-03-26 08:25:08
56.7%,43.0%,0.4%,San Benito,2021-03-25,2021-03-24,2021-03-26 08:25:11
57.2%,42.7%,0.1%,San Bernardino,2021-03-25,2021-03-24,2021-03-26 08:25:14
57.3%,41.9%,0.8%,San Diego,2021-03-25,2021-03-24,2021-03-26 08:25:16
53.0%,46.7%,0.3%,San Francisco,2021-03-25,2021-03-24,2021-03-26 08:25:19
56.7%,42.6%,0.8%,San Joaquin,2021-03-25,2021-03-24,2021-03-26 08:25:21
56.5%,43.4%,0.1%,San Luis Obispo,2021-03-25,2021-03-24,2021-03-26 08:25:24
56.9%,43.0%,0.1%,San Mateo,2021-03-25,2021-03-24,2021-03-26 08:25:26
56.4%,43.5%,0.1%,Santa Barbara,2021-03-25,2021-03-24,2021-03-26 08:25:29
57.0%,42.9%,0.1%,Santa Clara,2021-03-25,2021-03-24,2021-03-26 08:25:32
57.0%,42.6%,0.4%,Santa Cruz,2021-03-25,2021-03-24,2021-03-26 08:25:34
57.4%,42.5%,0.1%,Shasta,2021-03-25,2021-03-24,2021-03-26 08:25:37
52.0%,47.8%,0.2%,Sierra,2021-03-25,2021-03-24,2021-03-26 08:25:39
55.5%,44.5%,0.0%,Siskiyou,2021-03-25,2021-03-24,2021-03-26 08:25:42
57.3%,42.5%,0.2%,Solano,2021-03-25,2021-03-24,2021-03-26 08:25:44
56.7%,43.2%,0.1%,Sonoma,2021-03-25,2021-03-24,2021-03-26 08:25:47
56.3%,43.3%,0.4%,Stanislaus,2021-03-25,2021-03-24,2021-03-26 08:25:49
55.8%,43.7%,0.5%,Sutter,2021-03-25,2021-03-24,2021-03-26 08:25:52
56.0%,44.0%,0.0%,Tehama,2021-03-25,2021-03-24,2021-03-26 08:25:55
50.7%,49.2%,0.2%,Trinity,2021-03-25,2021-03-23,2021-03-26 08:25:57
55.0%,44.9%,0.1%,Tulare,2021-03-25,2021-03-24,2021-03-26 08:26:00
54.9%,45.0%,0.1%,Tuolumne,2021-03-25,2021-03-24,2021-03-26 08:26:03
56.1%,43.9%,0.0%,Ventura,2021-03-25,2021-03-24,2021-03-26 08:26:05
55.3%,40.8%,3.9%,Yolo,2021-03-25,2021-03-24,2021-03-26 08:26:08
57.5%,42.2%,0.3%,Yuba,2021-03-25,2021-03-24,2021-03-26 08:26:10
