0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.7%,44.3%,26.9%,28.1%,Alameda,2021-04-10,2021-04-09,2021-04-11 14:19:23
0.1%,36.5%,35.0%,28.3%,Alpine,2021-04-10,2021-04-08,2021-04-11 14:19:25
0.1%,19.7%,26.3%,53.9%,Amador,2021-04-10,2021-04-09,2021-04-11 14:19:28
0.7%,35.3%,24.9%,39.1%,Butte,2021-04-10,2021-04-09,2021-04-11 14:19:30
0.7%,40.3%,27.3%,31.7%,Calaveras,2021-04-10,2021-04-09,2021-04-11 14:19:33
0.2%,38.2%,27.3%,34.3%,Colusa,2021-04-10,2021-04-09,2021-04-11 14:19:35
1.1%,39.1%,29.0%,30.8%,Contra Costa,2021-04-10,2021-04-09,2021-04-11 14:19:37
0.1%,26.6%,28.6%,44.7%,Del Norte,2021-04-10,2021-04-09,2021-04-11 14:19:40
0.6%,25.7%,29.1%,44.6%,El Dorado,2021-04-10,2021-04-09,2021-04-11 14:19:42
0.7%,42.3%,26.7%,30.3%,Fresno,2021-04-10,2021-04-09,2021-04-11 14:19:45
0.4%,32.1%,27.3%,40.2%,Glenn,2021-04-10,2021-04-09,2021-04-11 14:19:47
0.4%,37.0%,23.8%,38.9%,Humboldt,2021-04-10,2021-04-09,2021-04-11 14:19:50
0.3%,42.2%,26.2%,31.3%,Imperial,2021-04-10,2021-04-09,2021-04-11 14:19:52
0.3%,29.0%,25.9%,44.8%,Inyo,2021-04-10,2021-04-09,2021-04-11 14:19:54
1.1%,41.8%,27.2%,30.0%,Kern,2021-04-10,2021-04-09,2021-04-11 14:19:57
0.6%,44.1%,29.0%,26.3%,Kings,2021-04-10,2021-04-09,2021-04-11 14:19:59
0.2%,25.2%,28.8%,45.8%,Lake,2021-04-10,2021-04-09,2021-04-11 14:20:02
0.1%,24.4%,27.9%,47.7%,Lassen,2021-04-10,2021-04-09,2021-04-11 14:20:04
0.6%,43.3%,27.7%,28.3%,Los Angeles,2021-04-10,2021-04-09,2021-04-11 14:20:06
0.5%,36.3%,27.0%,36.3%,Madera,2021-04-10,2021-04-09,2021-04-11 14:20:09
1.3%,33.3%,29.6%,35.8%,Marin,2021-04-10,2021-04-09,2021-04-11 14:20:11
0.2%,19.8%,25.4%,54.6%,Mariposa,2021-04-10,2021-04-09,2021-04-11 14:20:14
0.7%,32.8%,25.3%,41.3%,Mendocino,2021-04-10,2021-04-09,2021-04-11 14:20:16
0.6%,41.7%,26.4%,31.3%,Merced,2021-04-10,2021-04-09,2021-04-11 14:20:19
0.1%,20.7%,26.8%,52.4%,Modoc,2021-04-10,2021-04-09,2021-04-11 14:20:21
1.4%,46.5%,29.4%,22.7%,Mono,2021-04-10,2021-04-09,2021-04-11 14:20:23
0.6%,43.4%,26.2%,29.8%,Monterey,2021-04-10,2021-04-09,2021-04-11 14:20:26
0.5%,37.8%,26.2%,35.5%,Napa,2021-04-10,2021-04-09,2021-04-11 14:20:28
0.8%,25.1%,25.5%,48.6%,Nevada,2021-04-10,2021-04-09,2021-04-11 14:20:31
0.7%,39.6%,27.5%,32.1%,Orange,2021-04-10,2021-04-09,2021-04-11 14:20:33
0.6%,29.7%,26.5%,43.1%,Placer,2021-04-10,2021-04-09,2021-04-11 14:20:35
0.2%,22.5%,25.6%,51.7%,Plumas,2021-04-10,2021-04-09,2021-04-11 14:20:38
0.9%,35.3%,27.8%,36.0%,Riverside,2021-04-10,2021-04-09,2021-04-11 14:20:40
0.7%,38.8%,27.1%,33.4%,Sacramento,2021-04-10,2021-04-09,2021-04-11 14:20:43
0.7%,40.3%,27.3%,31.7%,San Benito,2021-04-10,2021-04-09,2021-04-11 14:20:45
0.8%,39.2%,28.8%,31.2%,San Bernardino,2021-04-10,2021-04-09,2021-04-11 14:20:48
0.6%,39.1%,25.0%,35.3%,San Diego,2021-04-10,2021-04-09,2021-04-11 14:20:50
0.4%,47.8%,25.4%,26.3%,San Francisco,2021-04-10,2021-04-09,2021-04-11 14:20:53
0.6%,38.3%,28.1%,33.0%,San Joaquin,2021-04-10,2021-04-09,2021-04-11 14:20:56
0.4%,30.8%,24.6%,44.1%,San Luis Obispo,2021-04-10,2021-04-09,2021-04-11 14:20:58
0.7%,40.3%,27.3%,31.7%,San Mateo,2021-04-10,2021-04-09,2021-04-11 14:21:01
0.7%,40.3%,27.3%,31.7%,Santa Barbara,2021-04-10,2021-04-09,2021-04-11 14:21:03
0.8%,40.9%,29.1%,29.2%,Santa Clara,2021-04-10,2021-04-09,2021-04-11 14:21:05
0.6%,37.5%,27.3%,34.5%,Santa Cruz,2021-04-10,2021-04-09,2021-04-11 14:21:08
0.7%,40.3%,27.3%,31.7%,Shasta,2021-04-10,2021-04-09,2021-04-11 14:21:10
0.000%,24.0%,29.0%,47.0%,Sierra,2021-04-10,2021-04-09,2021-04-11 14:21:12
0.5%,22.7%,25.0%,51.9%,Siskiyou,2021-04-10,2021-04-09,2021-04-11 14:21:15
