0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,39.6%,26.5%,33.4%,0.004%,Alameda,2021-04-07,2021-04-06,2021-04-08 02:42:54
0.1%,35.4%,35.0%,29.5%,0.000%,Alpine,2021-04-07,2021-04-06,2021-04-08 02:42:57
0.1%,19.2%,25.7%,55.0%,0.000%,Amador,2021-04-07,2021-04-06,2021-04-08 02:42:59
0.6%,34.7%,24.6%,40.0%,0.000%,Butte,2021-04-07,2021-04-06,2021-04-08 02:43:01
0.4%,17.0%,24.8%,57.8%,0.000%,Calaveras,2021-04-07,2021-04-06,2021-04-08 02:43:04
0.2%,37.7%,26.7%,35.4%,0.000%,Colusa,2021-04-07,2021-04-06,2021-04-08 02:43:06
0.8%,37.0%,29.5%,32.7%,0.000%,Contra Costa,2021-04-07,2021-04-06,2021-04-08 02:43:08
0.1%,25.4%,27.1%,47.4%,0.000%,Del Norte,2021-04-07,2021-04-06,2021-04-08 02:43:11
0.5%,25.5%,28.0%,46.0%,0.000%,El Dorado,2021-04-07,2021-04-06,2021-04-08 02:43:13
0.6%,41.9%,26.4%,31.2%,0.000%,Fresno,2021-04-07,2021-04-06,2021-04-08 02:43:16
0.3%,31.5%,26.9%,41.3%,0.000%,Glenn,2021-04-07,2021-04-06,2021-04-08 02:43:18
0.3%,36.6%,22.7%,40.4%,0.000%,Humboldt,2021-04-07,2021-04-06,2021-04-08 02:43:21
0.3%,41.1%,25.3%,33.3%,0.000%,Imperial,2021-04-07,2021-04-06,2021-04-08 02:43:23
0.3%,28.3%,24.9%,46.5%,0.000%,Inyo,2021-04-07,2021-04-06,2021-04-08 02:43:25
0.6%,39.6%,26.5%,33.4%,0.004%,Kern,2021-04-07,2021-04-06,2021-04-08 02:43:28
0.5%,43.4%,28.9%,27.2%,0.000%,Kings,2021-04-07,2021-04-06,2021-04-08 02:43:30
0.2%,24.7%,27.7%,47.3%,0.000%,Lake,2021-04-07,2021-04-06,2021-04-08 02:43:32
0.1%,23.8%,27.1%,49.0%,0.000%,Lassen,2021-04-07,2021-04-06,2021-04-08 02:43:35
0.6%,42.7%,27.0%,29.7%,0.000%,Los Angeles,2021-04-07,2021-04-06,2021-04-08 02:43:37
0.4%,35.5%,26.5%,37.5%,0.000%,Madera,2021-04-07,2021-04-06,2021-04-08 02:43:39
1.2%,32.8%,28.7%,37.3%,0.000%,Marin,2021-04-07,2021-04-06,2021-04-08 02:43:42
0.2%,19.5%,25.3%,55.0%,0.02%,Mariposa,2021-04-07,2021-04-06,2021-04-08 02:43:44
0.6%,32.2%,24.4%,42.7%,0.000%,Mendocino,2021-04-07,2021-04-06,2021-04-08 02:43:46
0.6%,40.9%,26.0%,32.5%,0.000%,Merced,2021-04-07,2021-04-06,2021-04-08 02:43:48
0.1%,20.3%,26.6%,53.0%,0.000%,Modoc,2021-04-07,2021-04-06,2021-04-08 02:43:51
1.4%,46.4%,29.3%,22.9%,0.000%,Mono,2021-04-07,2021-04-06,2021-04-08 02:43:53
0.5%,42.6%,25.5%,31.4%,0.000%,Monterey,2021-04-07,2021-04-06,2021-04-08 02:43:56
0.5%,37.6%,25.5%,36.5%,0.000%,Napa,2021-04-07,2021-04-06,2021-04-08 02:43:58
0.6%,39.6%,26.5%,33.4%,0.004%,Nevada,2021-04-07,2021-04-06,2021-04-08 02:44:00
0.6%,39.3%,26.4%,33.6%,0.000%,Orange,2021-04-07,2021-04-06,2021-04-08 02:44:03
0.6%,29.5%,25.4%,44.5%,0.000%,Placer,2021-04-07,2021-04-06,2021-04-08 02:44:05
0.6%,39.6%,26.5%,33.4%,0.004%,Plumas,2021-04-07,2021-04-06,2021-04-08 02:44:08
0.6%,34.0%,27.4%,38.1%,0.000%,Riverside,2021-04-07,2021-04-06,2021-04-08 02:44:10
0.6%,38.5%,26.3%,34.7%,0.000%,Sacramento,2021-04-07,2021-04-06,2021-04-08 02:44:13
0.3%,40.2%,27.2%,32.3%,0.000%,San Benito,2021-04-07,2021-04-06,2021-04-08 02:44:15
0.6%,38.5%,28.1%,32.8%,0.000%,San Bernardino,2021-04-07,2021-04-06,2021-04-08 02:44:18
0.5%,38.4%,24.1%,36.9%,0.000%,San Diego,2021-04-07,2021-04-06,2021-04-08 02:44:20
0.4%,46.7%,25.0%,27.9%,0.000%,San Francisco,2021-04-07,2021-04-06,2021-04-08 02:44:22
0.6%,37.7%,27.2%,34.4%,0.004%,San Joaquin,2021-04-07,2021-04-06,2021-04-08 02:44:25
0.4%,29.8%,23.4%,46.4%,0.000%,San Luis Obispo,2021-04-07,2021-04-06,2021-04-08 02:44:28
0.6%,39.6%,26.5%,33.4%,0.004%,San Mateo,2021-04-07,2021-04-06,2021-04-08 02:44:30
0.4%,37.4%,24.8%,37.4%,0.000%,Santa Barbara,2021-04-07,2021-04-06,2021-04-08 02:44:32
0.7%,40.1%,27.5%,31.6%,0.000%,Santa Clara,2021-04-07,2021-04-06,2021-04-08 02:44:35
0.6%,37.0%,26.0%,36.4%,0.000%,Santa Cruz,2021-04-07,2021-04-06,2021-04-08 02:44:37
0.4%,24.0%,24.7%,51.0%,0.000%,Shasta,2021-04-07,2021-04-06,2021-04-08 02:44:39
0.000%,23.5%,29.0%,47.5%,0.000%,Sierra,2021-04-07,2021-04-06,2021-04-08 02:44:42
0.5%,22.6%,24.5%,52.5%,0.000%,Siskiyou,2021-04-07,2021-04-06,2021-04-08 02:44:44
0.4%,35.2%,28.0%,36.3%,0.000%,Solano,2021-04-07,2021-04-06,2021-04-08 02:44:47
0.5%,34.2%,26.0%,39.2%,0.000%,Sonoma,2021-04-07,2021-04-06,2021-04-08 02:44:49
1.0%,37.3%,27.2%,34.5%,0.005%,Stanislaus,2021-04-07,2021-04-06,2021-04-08 02:44:51
0.6%,39.6%,26.5%,33.4%,0.004%,Sutter,2021-04-07,2021-04-06,2021-04-08 02:44:54
