0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.7%,44.4%,27.1%,27.8%,Alameda,2021-04-11,2021-04-10,2021-04-12 04:28:07
0.1%,36.5%,35.0%,28.3%,Alpine,2021-04-11,2021-04-09,2021-04-12 04:28:09
0.1%,20.2%,26.3%,53.4%,Amador,2021-04-11,2021-04-10,2021-04-12 04:28:12
0.7%,35.4%,24.9%,39.0%,Butte,2021-04-11,2021-04-10,2021-04-12 04:28:15
0.4%,16.9%,27.4%,55.3%,Calaveras,2021-04-11,2021-04-10,2021-04-12 04:28:18
0.2%,38.2%,27.4%,34.3%,Colusa,2021-04-11,2021-04-10,2021-04-12 04:28:21
1.2%,39.5%,28.9%,30.4%,Contra Costa,2021-04-11,2021-04-10,2021-04-12 04:28:23
0.1%,26.7%,28.7%,44.5%,Del Norte,2021-04-11,2021-04-10,2021-04-12 04:28:26
0.6%,25.8%,29.3%,44.4%,El Dorado,2021-04-11,2021-04-10,2021-04-12 04:28:29
0.7%,42.4%,26.8%,30.1%,Fresno,2021-04-11,2021-04-10,2021-04-12 04:28:32
0.4%,32.2%,27.4%,40.0%,Glenn,2021-04-11,2021-04-09,2021-04-12 04:28:35
0.4%,37.1%,23.8%,38.6%,Humboldt,2021-04-11,2021-04-10,2021-04-12 04:28:37
0.4%,42.3%,26.3%,31.1%,Imperial,2021-04-11,2021-04-10,2021-04-12 04:28:40
0.3%,29.2%,25.9%,44.6%,Inyo,2021-04-11,2021-04-10,2021-04-12 04:28:43
1.1%,41.9%,27.2%,29.9%,Kern,2021-04-11,2021-04-10,2021-04-12 04:28:45
0.6%,44.2%,29.0%,26.2%,Kings,2021-04-11,2021-04-10,2021-04-12 04:28:48
0.2%,25.5%,28.8%,45.4%,Lake,2021-04-11,2021-04-10,2021-04-12 04:28:50
0.1%,24.5%,27.9%,47.6%,Lassen,2021-04-11,2021-04-09,2021-04-12 04:28:53
0.6%,43.4%,27.8%,28.1%,Los Angeles,2021-04-11,2021-04-10,2021-04-12 04:28:56
0.5%,36.4%,27.0%,36.1%,Madera,2021-04-11,2021-04-10,2021-04-12 04:28:59
1.3%,33.6%,29.6%,35.5%,Marin,2021-04-11,2021-04-10,2021-04-12 04:29:01
0.2%,19.9%,25.4%,54.4%,Mariposa,2021-04-11,2021-04-10,2021-04-12 04:29:04
0.7%,32.7%,25.4%,41.2%,Mendocino,2021-04-11,2021-04-10,2021-04-12 04:29:06
0.6%,41.8%,26.5%,31.2%,Merced,2021-04-11,2021-04-10,2021-04-12 04:29:09
0.1%,20.7%,26.8%,52.3%,Modoc,2021-04-11,2021-04-09,2021-04-12 04:29:12
1.4%,46.6%,29.3%,22.6%,Mono,2021-04-11,2021-04-10,2021-04-12 04:29:15
0.7%,44.1%,26.2%,29.0%,Monterey,2021-04-11,2021-04-10,2021-04-12 04:29:17
0.6%,37.9%,26.5%,35.1%,Napa,2021-04-11,2021-04-10,2021-04-12 04:29:20
0.8%,25.2%,25.7%,48.3%,Nevada,2021-04-11,2021-04-10,2021-04-12 04:29:23
0.7%,39.8%,27.7%,31.8%,Orange,2021-04-11,2021-04-10,2021-04-12 04:29:25
0.6%,29.8%,26.7%,42.9%,Placer,2021-04-11,2021-04-10,2021-04-12 04:29:28
0.2%,22.5%,25.7%,51.6%,Plumas,2021-04-11,2021-04-10,2021-04-12 04:29:31
0.9%,35.4%,27.9%,35.8%,Riverside,2021-04-11,2021-04-10,2021-04-12 04:29:33
