American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Alameda,2021-03-21,2021-03-20,2021-03-21 20:23:09
1.9%,0.6%,0%,0.3%,0.3%,0%,17.5%,1.1%,78.2%,Alpine,2021-03-21,2021-03-18,2021-03-21 20:23:13
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Amador,2021-03-21,2021-03-20,2021-03-21 20:23:16
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Butte,2021-03-21,2021-03-20,2021-03-21 20:23:20
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Calaveras,2021-03-21,2021-03-20,2021-03-21 20:23:24
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Colusa,2021-03-21,2021-03-20,2021-03-21 20:23:28
0.2%,11.1%,4.6%,12.3%,12%,0.6%,35.4%,7.9%,16.1%,Contra Costa,2021-03-21,2021-03-20,2021-03-21 20:23:32
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Del Norte,2021-03-21,2021-03-20,2021-03-21 20:23:36
0.3%,2.8%,0.5%,4.9%,14%,0.3%,51.1%,8%,18.2%,El Dorado,2021-03-21,2021-03-20,2021-03-21 20:23:38
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Fresno,2021-03-21,2021-03-20,2021-03-21 20:23:43
2.3%,1.1%,0.2%,20.3%,8.9%,0.1%,45.9%,10.3%,11%,Glenn,2021-03-21,2021-03-20,2021-03-21 20:23:47
3.4%,1.3%,0.6%,5.8%,14.4%,0.2%,64.2%,3.1%,6.9%,Humboldt,2021-03-21,2021-03-20,2021-03-21 20:23:50
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Imperial,2021-03-21,2021-03-20,2021-03-21 20:23:54
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Inyo,2021-03-21,2021-03-20,2021-03-21 20:23:58
0.4%,4.1%,2.3%,30.3%,12.1%,0.2%,29.8%,11.1%,9.6%,Kern,2021-03-21,2021-03-20,2021-03-21 20:24:01
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Kings,2021-03-21,2021-03-20,2021-03-21 20:24:05
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Lake,2021-03-21,2021-03-20,2021-03-21 20:24:09
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Lassen,2021-03-21,2021-03-19,2021-03-21 20:24:13
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Los Angeles,2021-03-21,2021-03-20,2021-03-21 20:24:17
1%,1.8%,1.4%,32.9%,7%,0.2%,34.9%,7.8%,12.9%,Madera,2021-03-21,2021-03-20,2021-03-21 20:24:20
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Marin,2021-03-21,2021-03-20,2021-03-21 20:24:24
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Mariposa,2021-03-21,2021-03-20,2021-03-21 20:24:27
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Mendocino,2021-03-21,2021-03-20,2021-03-21 20:24:32
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Merced,2021-03-21,2021-03-20,2021-03-21 20:24:36
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Modoc,2021-03-21,2021-03-19,2021-03-21 20:24:39
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Mono,2021-03-21,2021-03-20,2021-03-21 20:24:43
0.2%,4.5%,1.1%,34.5%,11.5%,0.5%,28.3%,7%,12.3%,Monterey,2021-03-21,2021-03-20,2021-03-21 20:24:47
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Napa,2021-03-21,2021-03-20,2021-03-21 20:24:51
0.7%,0.6%,0.2%,5%,17.4%,0.1%,62.4%,6%,7.5%,Nevada,2021-03-21,2021-03-20,2021-03-21 20:24:54
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Orange,2021-03-21,2021-03-20,2021-03-21 20:24:57
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Placer,2021-03-21,2021-03-20,2021-03-21 20:25:01
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Plumas,2021-03-21,2021-03-20,2021-03-21 20:25:04
0.3%,5.7%,3.6%,23.5%,14.5%,0.3%,33.1%,12%,6.9%,Riverside,2021-03-21,2021-03-20,2021-03-21 20:25:08
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Sacramento,2021-03-21,2021-03-20,2021-03-21 20:25:12
0.2%,2.1%,0.6%,30%,4.9%,0.2%,23.1%,10.5%,28.3%,San Benito,2021-03-21,2021-03-20,2021-03-21 20:25:15
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,San Bernardino,2021-03-21,2021-03-20,2021-03-21 20:25:19
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,San Diego,2021-03-21,2021-03-20,2021-03-21 20:25:23
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,San Francisco,2021-03-21,2021-03-20,2021-03-21 20:25:27
0.3%,9.8%,3.2%,13.7%,2.4%,0.8%,23.2%,14.8%,31.8%,San Joaquin,2021-03-21,2021-03-20,2021-03-21 20:25:30
0.1%,1.1%,0.4%,5.9%,12.5%,0.1%,30%,15.3%,34.6%,San Luis Obispo,2021-03-21,2021-03-20,2021-03-21 20:25:34
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,San Mateo,2021-03-21,2021-03-20,2021-03-21 20:25:37
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Santa Barbara,2021-03-21,2021-03-20,2021-03-21 20:25:40
0.1%,25.5%,1.4%,11.4%,13.4%,0.4%,25%,8.2%,14.5%,Santa Clara,2021-03-21,2021-03-20,2021-03-21 20:25:45
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Santa Cruz,2021-03-21,2021-03-20,2021-03-21 20:25:48
0.7%,1.2%,0.4%,3.2%,21.7%,0.1%,46%,12.6%,14.2%,Shasta,2021-03-21,2021-03-20,2021-03-21 20:25:52
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Sierra,2021-03-21,2021-03-18,2021-03-21 20:25:55
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Siskiyou,2021-03-21,2021-03-20,2021-03-21 20:25:59
0.3%,11.3%,6.8%,8.5%,7.5%,0.9%,28.4%,11.9%,24.4%,Solano,2021-03-21,2021-03-20,2021-03-21 20:26:03
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Sonoma,2021-03-21,2021-03-20,2021-03-21 20:26:06
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Stanislaus,2021-03-21,2021-03-20,2021-03-21 20:26:10
0.6%,13.4%,1%,16.5%,12.9%,0.3%,40%,7.3%,8.1%,Sutter,2021-03-21,2021-03-20,2021-03-21 20:26:14
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Tehama,2021-03-21,2021-03-20,2021-03-21 20:26:18
0.3%,11.9%,3%,19%,12.3%,0.4%,30.7%,10.7%,11.8%,Trinity,2021-03-21,2021-03-20,2021-03-21 20:26:21
