American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Alameda,2021-03-25,2021-03-24,2021-03-26 02:44:27
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Alpine,2021-03-25,2021-03-24,2021-03-26 02:44:30
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Amador,2021-03-25,2021-03-24,2021-03-26 02:44:32
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Butte,2021-03-25,2021-03-24,2021-03-26 02:44:34
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Calaveras,2021-03-25,2021-03-24,2021-03-26 02:44:37
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Colusa,2021-03-25,2021-03-24,2021-03-26 02:44:39
0.2%,10.9%,4.5%,12.4%,11.3%,0.6%,34.5%,7.8%,17.8%,Contra Costa,2021-03-25,2021-03-24,2021-03-26 02:44:42
6.9%,1.8%,0.6%,5.0%,7.8%,0.1%,60.8%,2.5%,14.6%,Del Norte,2021-03-25,2021-03-24,2021-03-26 02:44:45
0.2%,2.8%,0.5%,5.4%,13.1%,0.3%,49.9%,7.9%,19.9%,El Dorado,2021-03-25,2021-03-24,2021-03-26 02:44:47
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Fresno,2021-03-25,2021-03-24,2021-03-26 02:44:50
2.2%,1.1%,0.2%,20.9%,8.5%,0.1%,44.7%,10.3%,12.1%,Glenn,2021-03-25,2021-03-24,2021-03-26 02:44:52
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Humboldt,2021-03-25,2021-03-24,2021-03-26 02:44:55
0.1%,0.7%,0.4%,66.9%,2.2%,0.1%,9.7%,6.5%,13.5%,Imperial,2021-03-25,2021-03-24,2021-03-26 02:44:57
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Inyo,2021-03-25,2021-03-23,2021-03-26 02:45:00
0.4%,4.1%,2.3%,30.9%,11.4%,0.2%,29.1%,11.3%,10.2%,Kern,2021-03-25,2021-03-24,2021-03-26 02:45:02
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Kings,2021-03-25,2021-03-24,2021-03-26 02:45:05
