0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.3%,36.6%,22.8%,40.2%,Alameda,2021-03-25,2021-03-24,2021-03-25 18:35:07
0.3%,36.6%,22.8%,40.2%,Alpine,2021-03-25,2021-03-24,2021-03-25 18:35:09
0.1%,17.7%,21.3%,60.9%,Amador,2021-03-25,2021-03-24,2021-03-25 18:35:11
0.2%,31.2%,22.7%,45.8%,Butte,2021-03-25,2021-03-24,2021-03-25 18:35:13
0.3%,36.6%,22.8%,40.2%,Calaveras,2021-03-25,2021-03-24,2021-03-25 18:35:16
0.1%,34.6%,23.1%,42.1%,Colusa,2021-03-25,2021-03-24,2021-03-25 18:35:18
0.5%,33.5%,24.4%,41.7%,Contra Costa,2021-03-25,2021-03-24,2021-03-25 18:35:20
0.1%,24.1%,24.2%,51.6%,Del Norte,2021-03-25,2021-03-24,2021-03-25 18:35:22
0.3%,23.5%,23.8%,52.3%,El Dorado,2021-03-25,2021-03-24,2021-03-25 18:35:24
0.4%,39.4%,24.6%,35.6%,Fresno,2021-03-25,2021-03-24,2021-03-25 18:35:27
0.1%,27.9%,23.1%,48.9%,Glenn,2021-03-25,2021-03-24,2021-03-25 18:35:29
0.1%,32.5%,18.9%,48.5%,Humboldt,2021-03-25,2021-03-24,2021-03-25 18:35:31
0.1%,37.8%,21.9%,40.2%,Imperial,2021-03-25,2021-03-24,2021-03-25 18:35:33
0.1%,26.3%,19.6%,53.9%,Inyo,2021-03-25,2021-03-23,2021-03-25 18:35:35
0.3%,37.9%,24.3%,37.5%,Kern,2021-03-25,2021-03-24,2021-03-25 18:35:38
0.3%,41.6%,27.3%,30.8%,Kings,2021-03-25,2021-03-24,2021-03-25 18:35:40
0.2%,23.8%,23.4%,52.6%,Lake,2021-03-25,2021-03-24,2021-03-25 18:35:42
0.0%,22.8%,24.8%,52.4%,Lassen,2021-03-25,2021-03-24,2021-03-25 18:35:44
0.3%,40.1%,23.3%,36.3%,Los Angeles,2021-03-25,2021-03-24,2021-03-25 18:35:46
0.3%,33.0%,24.8%,42.0%,Madera,2021-03-25,2021-03-24,2021-03-25 18:35:49
0.8%,29.1%,24.2%,45.9%,Marin,2021-03-25,2021-03-24,2021-03-25 18:35:51
