0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.5%,42.7%,24.0%,32.7%,Alameda,2021-04-02,2021-04-01,2021-04-03 02:39:42
0.1%,34.3%,34.3%,31.3%,Alpine,2021-04-02,2021-04-01,2021-04-03 02:39:45
0.1%,18.1%,24.1%,57.7%,Amador,2021-04-02,2021-04-01,2021-04-03 02:39:48
0.5%,33.2%,24.6%,41.8%,Butte,2021-04-02,2021-04-01,2021-04-03 02:39:51
0.3%,16.4%,23.2%,60.0%,Calaveras,2021-04-02,2021-04-01,2021-04-03 02:39:53
0.1%,36.4%,24.8%,38.7%,Colusa,2021-04-02,2021-04-01,2021-04-03 02:39:56
0.6%,34.5%,28.9%,36.0%,Contra Costa,2021-04-02,2021-04-01,2021-04-03 02:39:59
0.1%,24.7%,26.1%,49.1%,Del Norte,2021-04-02,2021-04-01,2021-04-03 02:40:01
0.4%,24.7%,25.8%,49.1%,El Dorado,2021-04-02,2021-04-01,2021-04-03 02:40:04
0.5%,41.0%,25.7%,32.8%,Fresno,2021-04-02,2021-04-01,2021-04-03 02:40:06
0.3%,31.1%,25.7%,43.0%,Glenn,2021-04-02,2021-04-01,2021-04-03 02:40:09
0.2%,35.1%,21.4%,43.3%,Humboldt,2021-04-02,2021-04-01,2021-04-03 02:40:12
0.2%,40.3%,24.3%,35.2%,Imperial,2021-04-02,2021-04-01,2021-04-03 02:40:14
0.3%,27.9%,23.5%,48.2%,Inyo,2021-04-02,2021-04-01,2021-04-03 02:40:17
0.7%,40.0%,25.8%,33.5%,Kern,2021-04-02,2021-04-01,2021-04-03 02:40:19
0.5%,43.1%,28.1%,28.4%,Kings,2021-04-02,2021-04-01,2021-04-03 02:40:22
0.5%,38.7%,24.8%,36.0%,Lake,2021-04-02,2021-04-01,2021-04-03 02:40:25
0.1%,22.8%,26.2%,50.9%,Lassen,2021-04-02,2021-04-01,2021-04-03 02:40:27
0.5%,42.0%,25.1%,32.4%,Los Angeles,2021-04-02,2021-04-01,2021-04-03 02:40:30
0.4%,34.8%,25.6%,39.3%,Madera,2021-04-02,2021-04-01,2021-04-03 02:40:32
1.1%,31.8%,26.5%,40.6%,Marin,2021-04-02,2021-04-01,2021-04-03 02:40:35
0.2%,18.3%,23.0%,58.5%,Mariposa,2021-04-02,2021-04-01,2021-04-03 02:40:38
0.7%,33.8%,24.9%,40.7%,Mendocino,2021-04-02,2021-04-01,2021-04-03 02:40:40
0.5%,39.6%,25.8%,34.1%,Merced,2021-04-02,2021-04-01,2021-04-03 02:40:43
0.5%,38.7%,24.8%,36.0%,Modoc,2021-04-02,2021-04-01,2021-04-03 02:40:45
1.5%,45.4%,28.5%,24.7%,Mono,2021-04-02,2021-03-31,2021-04-03 02:40:48
0.4%,41.4%,24.2%,33.9%,Monterey,2021-04-02,2021-04-01,2021-04-03 02:40:50
0.4%,36.8%,24.1%,38.7%,Napa,2021-04-02,2021-04-01,2021-04-03 02:40:53
0.5%,22.9%,21.8%,54.8%,Nevada,2021-04-02,2021-04-01,2021-04-03 02:40:55
0.6%,38.5%,24.9%,36.1%,Orange,2021-04-02,2021-04-01,2021-04-03 02:40:58
0.5%,28.9%,23.4%,47.1%,Placer,2021-04-02,2021-04-01,2021-04-03 02:41:00
0.1%,20.6%,21.9%,57.4%,Plumas,2021-04-02,2021-04-01,2021-04-03 02:41:03
0.4%,32.9%,25.4%,41.3%,Riverside,2021-04-02,2021-04-01,2021-04-03 02:41:05
0.5%,37.6%,24.8%,37.1%,Sacramento,2021-04-02,2021-04-01,2021-04-03 02:41:08
0.3%,39.0%,26.0%,34.7%,San Benito,2021-04-02,2021-04-01,2021-04-03 02:41:11
0.6%,38.0%,26.2%,35.2%,San Bernardino,2021-04-02,2021-04-01,2021-04-03 02:41:13
0.5%,37.4%,22.4%,39.7%,San Diego,2021-04-02,2021-04-01,2021-04-03 02:41:16
0.4%,46.0%,23.3%,30.3%,San Francisco,2021-04-02,2021-04-01,2021-04-03 02:41:18
0.5%,37.0%,26.3%,36.1%,San Joaquin,2021-04-02,2021-04-01,2021-04-03 02:41:21
0.3%,28.6%,21.1%,50.0%,San Luis Obispo,2021-04-02,2021-04-01,2021-04-03 02:41:23
0.6%,39.3%,24.5%,35.6%,San Mateo,2021-04-02,2021-04-01,2021-04-03 02:41:26
0.3%,35.6%,23.1%,41.0%,Santa Barbara,2021-04-02,2021-04-01,2021-04-03 02:41:28
0.6%,39.3%,25.0%,35.0%,Santa Clara,2021-04-02,2021-04-01,2021-04-03 02:41:30
0.5%,36.4%,23.9%,39.2%,Santa Cruz,2021-04-02,2021-04-01,2021-04-03 02:41:33
0.3%,23.9%,23.2%,52.6%,Shasta,2021-04-02,2021-04-01,2021-04-03 02:41:35
0.0%,21.2%,27.9%,50.9%,Sierra,2021-04-02,2021-04-01,2021-04-03 02:41:38
0.4%,22.1%,23.3%,54.1%,Siskiyou,2021-04-02,2021-04-01,2021-04-03 02:41:40
0.4%,34.3%,26.8%,38.4%,Solano,2021-04-02,2021-04-01,2021-04-03 02:41:43
0.5%,33.4%,24.6%,41.5%,Sonoma,2021-04-02,2021-04-01,2021-04-03 02:41:45
0.7%,36.2%,26.4%,36.7%,Stanislaus,2021-04-02,2021-04-01,2021-04-03 02:41:48
0.2%,32.5%,26.2%,41.1%,Sutter,2021-04-02,2021-04-01,2021-04-03 02:41:50
0.1%,24.6%,25.9%,49.3%,Tehama,2021-04-02,2021-04-01,2021-04-03 02:41:53
0.1%,20.2%,22.7%,57.0%,Trinity,2021-04-02,2021-04-01,2021-04-03 02:41:55
0.6%,41.9%,26.4%,31.1%,Tulare,2021-04-02,2021-04-01,2021-04-03 02:41:58
0.1%,19.4%,25.4%,55.0%,Tuolumne,2021-04-02,2021-04-01,2021-04-03 02:42:00
0.6%,36.4%,24.5%,38.6%,Ventura,2021-04-02,2021-04-01,2021-04-03 02:42:03
0.6%,44.0%,22.9%,32.5%,Yolo,2021-04-02,2021-04-01,2021-04-03 02:42:05
0.2%,30.5%,25.9%,43.4%,Yuba,2021-04-02,2021-04-01,2021-04-03 02:42:08
