American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Alameda,2021-04-01,2021-03-31,2021-04-02 10:23:02
1.7%,0.6%,0.3%,0.7%,0.3%,0.0%,18.1%,0.9%,77.5%,Alpine,2021-04-01,2021-03-31,2021-04-02 10:23:04
0.8%,1.5%,0.4%,7.4%,3.7%,0.3%,67.6%,8.6%,9.8%,Amador,2021-04-01,2021-03-31,2021-04-02 10:23:07
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Butte,2021-04-01,2021-03-31,2021-04-02 10:23:10
0.4%,1.1%,0.4%,4.9%,1.3%,0.2%,55.1%,8.7%,27.8%,Calaveras,2021-04-01,2021-03-31,2021-04-02 10:23:12
1.0%,0.7%,0.5%,27.4%,5.3%,0.1%,31.6%,5.5%,27.9%,Colusa,2021-04-01,2021-03-31,2021-04-02 10:23:15
0.2%,10.6%,4.4%,12.5%,10.3%,0.5%,33.5%,7.7%,20.3%,Contra Costa,2021-04-01,2021-03-31,2021-04-02 10:23:17
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Del Norte,2021-04-01,2021-03-31,2021-04-02 10:23:20
0.2%,2.8%,0.5%,5.5%,12.1%,0.3%,48.8%,7.8%,22.1%,El Dorado,2021-04-01,2021-03-31,2021-04-02 10:23:23
0.5%,7.0%,2.1%,31.5%,8.5%,0.2%,28.2%,7.9%,14.2%,Fresno,2021-04-01,2021-03-31,2021-04-02 10:23:25
2.0%,1.2%,0.2%,21.9%,7.7%,0.1%,42.1%,10.5%,14.3%,Glenn,2021-04-01,2021-03-31,2021-04-02 10:23:28
3.3%,1.4%,0.7%,6.8%,12.8%,0.2%,63.4%,3.3%,8.1%,Humboldt,2021-04-01,2021-03-31,2021-04-02 10:23:30
0.1%,0.7%,0.4%,63.5%,1.9%,0.1%,9.5%,7.8%,16.1%,Imperial,2021-04-01,2021-03-31,2021-04-02 10:23:33
1.0%,1.1%,0.2%,9.3%,20.4%,0.2%,52.9%,5.6%,9.4%,Inyo,2021-04-01,2021-03-31,2021-04-02 10:23:35
0.3%,4.1%,2.4%,31.4%,10.4%,0.3%,28.6%,11.6%,11.0%,Kern,2021-04-01,2021-03-31,2021-04-02 10:23:38
0.7%,2.6%,2.0%,41.1%,6.0%,0.2%,26.7%,6.2%,14.4%,Kings,2021-04-01,2021-03-31,2021-04-02 10:23:40
1.6%,1.1%,1.2%,16.0%,14.2%,0.1%,55.3%,3.6%,6.9%,Lake,2021-04-01,2021-03-31,2021-04-02 10:23:43
1.2%,1.3%,0.7%,6.9%,7.2%,0.3%,59.4%,3.7%,19.3%,Lassen,2021-04-01,2021-03-31,2021-04-02 10:23:46
0.2%,12.4%,4.4%,25.0%,15.1%,0.4%,19.6%,14.7%,8.3%,Los Angeles,2021-04-01,2021-03-31,2021-04-02 10:23:48
0.9%,1.9%,1.4%,32.9%,6.2%,0.1%,32.9%,8.6%,15.2%,Madera,2021-04-01,2021-03-31,2021-04-02 10:23:51
0.1%,3.8%,0.9%,9.8%,10.6%,0.2%,48.2%,6.3%,20.1%,Marin,2021-04-01,2021-03-31,2021-04-02 10:23:53
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Mariposa,2021-04-01,2021-03-31,2021-04-02 10:23:56
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Mendocino,2021-04-01,2021-03-31,2021-04-02 10:23:58
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Merced,2021-04-01,2021-03-31,2021-04-02 10:24:01
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Modoc,2021-04-01,2021-03-31,2021-04-02 10:24:04
0.4%,1.3%,0.3%,21.5%,9.9%,0.2%,57.4%,1.8%,7.3%,Mono,2021-04-01,2021-03-31,2021-04-02 10:24:06
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Monterey,2021-04-01,2021-03-31,2021-04-02 10:24:09
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Napa,2021-04-01,2021-03-31,2021-04-02 10:24:12
0.8%,0.7%,0.3%,5.2%,15.6%,0.1%,61.6%,6.3%,9.4%,Nevada,2021-04-01,2021-03-31,2021-04-02 10:24:14
0.1%,18.0%,0.9%,12.9%,13.4%,0.3%,31.1%,11.0%,12.3%,Orange,2021-04-01,2021-03-31,2021-04-02 10:24:17
0.4%,5.2%,0.9%,8.7%,11.8%,0.4%,45.1%,7.9%,19.6%,Placer,2021-04-01,2021-03-31,2021-04-02 10:24:20
0.9%,0.6%,0.4%,2.2%,6.1%,0.0%,73.1%,3.8%,12.9%,Plumas,2021-04-01,2021-03-31,2021-04-02 10:24:22
0.3%,5.7%,3.7%,24.4%,12.4%,0.3%,31.6%,12.8%,8.9%,Riverside,2021-04-01,2021-03-31,2021-04-02 10:24:25
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,Sacramento,2021-04-01,2021-03-31,2021-04-02 10:24:27
0.3%,11.8%,3.0%,19.5%,10.5%,0.4%,29.6%,11.0%,13.9%,San Benito,2021-04-01,2021-03-31,2021-04-02 10:24:30
