0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.3%,36.2%,22.5%,41.0%,Alameda,2021-03-24,2021-03-23,2021-03-25 01:17:45
0.2%,33.3%,33.4%,33.1%,Alpine,2021-03-24,2021-03-22,2021-03-25 01:17:49
0.3%,36.2%,22.5%,41.0%,Amador,2021-03-24,2021-03-23,2021-03-25 01:17:51
0.2%,31.2%,22.0%,46.6%,Butte,2021-03-24,2021-03-23,2021-03-25 01:17:56
0.2%,15.1%,20.6%,64.1%,Calaveras,2021-03-24,2021-03-23,2021-03-25 01:17:59
0.1%,34.6%,22.9%,42.4%,Colusa,2021-03-24,2021-03-23,2021-03-25 01:18:04
0.4%,33.1%,23.8%,42.6%,Contra Costa,2021-03-24,2021-03-23,2021-03-25 01:18:08
0.3%,36.2%,22.5%,41.0%,Del Norte,2021-03-24,2021-03-23,2021-03-25 01:18:12
0.3%,23.1%,23.4%,53.2%,El Dorado,2021-03-24,2021-03-23,2021-03-25 01:18:14
0.3%,39.1%,24.5%,36.1%,Fresno,2021-03-24,2021-03-23,2021-03-25 01:18:19
0.3%,36.2%,22.5%,41.0%,Glenn,2021-03-24,2021-03-23,2021-03-25 01:18:23
0.3%,36.2%,22.5%,41.0%,Humboldt,2021-03-24,2021-03-23,2021-03-25 01:18:27
0.1%,37.4%,21.5%,41.0%,Imperial,2021-03-24,2021-03-23,2021-03-25 01:18:30
0.1%,26.1%,19.4%,54.4%,Inyo,2021-03-24,2021-03-23,2021-03-25 01:18:35
0.3%,37.5%,24.0%,38.1%,Kern,2021-03-24,2021-03-23,2021-03-25 01:18:39
0.3%,41.2%,27.2%,31.3%,Kings,2021-03-24,2021-03-23,2021-03-25 01:18:43
0.3%,36.2%,22.5%,41.0%,Lake,2021-03-24,2021-03-23,2021-03-25 01:18:46
0.3%,36.2%,22.5%,41.0%,Lassen,2021-03-24,2021-03-23,2021-03-25 01:18:50
0.3%,39.6%,23.0%,37.1%,Los Angeles,2021-03-24,2021-03-23,2021-03-25 01:18:54
0.3%,32.6%,24.5%,42.6%,Madera,2021-03-24,2021-03-23,2021-03-25 01:18:58
0.8%,28.9%,23.9%,46.5%,Marin,2021-03-24,2021-03-23,2021-03-25 01:19:01
0.2%,18.5%,19.5%,61.9%,Mariposa,2021-03-24,2021-03-23,2021-03-25 01:19:05
0.6%,33.1%,24.0%,42.2%,Mendocino,2021-03-24,2021-03-23,2021-03-25 01:19:09
0.3%,36.8%,24.7%,38.1%,Merced,2021-03-24,2021-03-23,2021-03-25 01:19:13
0.1%,18.7%,25.3%,55.9%,Modoc,2021-03-24,2021-03-23,2021-03-25 01:19:17
