American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.6%,9.9%,0.4%,29.3%,11.1%,14.5%,Alameda,2021-04-05,2021-04-04,2021-04-06 12:27:34
1.7%,0.6%,0.3%,0.7%,0.3%,0.000%,17.8%,0.8%,77.8%,Alpine,2021-04-05,2021-04-01,2021-04-06 12:27:36
0.9%,1.5%,0.4%,7.3%,3.6%,0.3%,67.2%,8.7%,10.2%,Amador,2021-04-05,2021-04-04,2021-04-06 12:27:39
1.1%,2.3%,0.7%,7.8%,14.7%,0.1%,56.0%,8.1%,9.2%,Butte,2021-04-05,2021-04-04,2021-04-06 12:27:42
0.4%,1.1%,0.4%,5.2%,1.3%,0.2%,55.1%,8.8%,27.4%,Calaveras,2021-04-05,2021-04-03,2021-04-06 12:27:45
1.0%,0.7%,0.4%,28.0%,5.1%,0.1%,30.7%,5.5%,28.6%,Colusa,2021-04-05,2021-04-03,2021-04-06 12:27:47
0.3%,11.8%,3.0%,19.6%,9.9%,0.4%,29.3%,11.1%,14.5%,Contra Costa,2021-04-05,2021-04-04,2021-04-06 12:27:50
6.5%,1.7%,0.5%,5.6%,7.0%,0.2%,59.9%,3.3%,15.2%,Del Norte,2021-04-05,2021-04-03,2021-04-06 12:27:53
0.2%,2.8%,0.5%,5.6%,11.6%,0.3%,48.3%,7.8%,23.0%,El Dorado,2021-04-05,2021-04-04,2021-04-06 12:27:55
0.5%,7.0%,2.1%,31.5%,8.2%,0.2%,28.0%,7.9%,14.7%,Fresno,2021-04-05,2021-04-04,2021-04-06 12:27:58
1.9%,1.2%,0.2%,22.1%,7.5%,0.1%,41.7%,10.4%,14.9%,Glenn,2021-04-05,2021-04-03,2021-04-06 12:28:01
3.1%,1.4%,0.7%,7.1%,12.0%,0.2%,63.3%,3.4%,8.8%,Humboldt,2021-04-05,2021-04-04,2021-04-06 12:28:04
0.1%,0.6%,0.4%,62.6%,1.8%,0.1%,9.4%,8.0%,17.0%,Imperial,2021-04-05,2021-04-04,2021-04-06 12:28:06
0.3%,11.8%,3.0%,19.6%,9.9%,0.4%,29.3%,11.1%,14.5%,Inyo,2021-04-05,2021-04-04,2021-04-06 12:28:09
0.3%,11.8%,3.0%,19.6%,9.9%,0.4%,29.3%,11.1%,14.5%,Kern,2021-04-05,2021-04-04,2021-04-06 12:28:12
0.7%,2.6%,2.1%,41.0%,5.8%,0.2%,26.5%,6.2%,14.8%,Kings,2021-04-05,2021-04-04,2021-04-06 12:28:14
1.6%,1.1%,1.2%,16.0%,13.9%,0.1%,55.0%,3.7%,7.3%,Lake,2021-04-05,2021-04-03,2021-04-06 12:28:17
0.3%,11.8%,3.0%,19.6%,9.9%,0.4%,29.3%,11.1%,14.5%,Lassen,2021-04-05,2021-04-03,2021-04-06 12:28:20
0.2%,12.4%,4.4%,25.0%,14.2%,0.4%,19.7%,14.8%,9.0%,Los Angeles,2021-04-05,2021-04-04,2021-04-06 12:28:22
0.9%,1.9%,1.4%,32.8%,6.0%,0.1%,32.5%,8.7%,15.7%,Madera,2021-04-05,2021-04-04,2021-04-06 12:28:25
0.1%,3.8%,0.9%,9.8%,10.2%,0.2%,47.6%,6.3%,21.0%,Marin,2021-04-05,2021-04-04,2021-04-06 12:28:28
