American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.4%,5.4%,10.2%,9.8%,0.5%,24.2%,8.8%,20.4%,Alameda,2021-03-31,2021-03-30,2021-04-01 02:43:27
1.7%,0.6%,0.3%,0.7%,0.3%,0.0%,18.0%,0.9%,77.6%,Alpine,2021-03-31,2021-03-29,2021-04-01 02:43:30
0.8%,1.5%,0.4%,7.4%,3.7%,0.3%,67.7%,8.6%,9.7%,Amador,2021-03-31,2021-03-30,2021-04-01 02:43:34
1.1%,2.2%,0.7%,7.6%,15.4%,0.1%,56.4%,8.1%,8.4%,Butte,2021-03-31,2021-03-30,2021-04-01 02:43:36
0.4%,1.1%,0.4%,4.9%,1.3%,0.2%,55.0%,8.6%,28.0%,Calaveras,2021-03-31,2021-03-30,2021-04-01 02:43:38
1.0%,0.7%,0.4%,27.6%,5.3%,0.1%,31.7%,5.6%,27.7%,Colusa,2021-03-31,2021-03-30,2021-04-01 02:43:41
0.2%,10.6%,4.4%,12.5%,10.5%,0.5%,33.7%,7.7%,19.9%,Contra Costa,2021-03-31,2021-03-30,2021-04-01 02:43:43
6.6%,1.7%,0.5%,5.2%,7.4%,0.1%,60.7%,3.0%,14.7%,Del Norte,2021-03-31,2021-03-30,2021-04-01 02:43:46
0.2%,2.8%,0.5%,5.5%,12.1%,0.3%,48.9%,7.8%,21.9%,El Dorado,2021-03-31,2021-03-30,2021-04-01 02:43:48
0.5%,7.0%,2.1%,31.5%,8.6%,0.2%,28.3%,7.9%,14.1%,Fresno,2021-03-31,2021-03-30,2021-04-01 02:43:50
2.0%,1.2%,0.2%,21.8%,7.8%,0.1%,42.3%,10.4%,14.2%,Glenn,2021-03-31,2021-03-30,2021-04-01 02:43:53
3.4%,1.3%,0.7%,6.9%,13.0%,0.2%,63.3%,3.2%,8.1%,Humboldt,2021-03-31,2021-03-30,2021-04-01 02:43:55
0.1%,0.7%,0.4%,64.1%,2.0%,0.1%,9.6%,7.5%,15.6%,Imperial,2021-03-31,2021-03-30,2021-04-01 02:43:58
1.0%,1.1%,0.2%,9.2%,20.5%,0.2%,53.0%,5.5%,9.4%,Inyo,2021-03-31,2021-03-30,2021-04-01 02:44:00
0.3%,4.1%,2.4%,31.3%,10.6%,0.3%,28.7%,11.5%,10.8%,Kern,2021-03-31,2021-03-30,2021-04-01 02:44:02
0.7%,2.6%,2.1%,41.1%,6.2%,0.2%,27.0%,6.3%,13.9%,Kings,2021-03-31,2021-03-30,2021-04-01 02:44:05
0.3%,11.8%,3.0%,19.5%,10.6%,0.4%,29.7%,11.0%,13.7%,Lake,2021-03-31,2021-03-30,2021-04-01 02:44:07
1.1%,1.3%,0.7%,6.9%,7.3%,0.3%,59.5%,3.7%,19.1%,Lassen,2021-03-31,2021-03-30,2021-04-01 02:44:10
0.2%,12.4%,4.4%,24.9%,15.3%,0.4%,19.6%,14.6%,8.2%,Los Angeles,2021-03-31,2021-03-30,2021-04-01 02:44:12
0.9%,1.8%,1.4%,32.9%,6.2%,0.1%,33.0%,8.6%,15.0%,Madera,2021-03-31,2021-03-30,2021-04-01 02:44:14
0.1%,3.9%,1.0%,9.7%,10.7%,0.2%,48.3%,6.3%,19.9%,Marin,2021-03-31,2021-03-30,2021-04-01 02:44:17
1.8%,0.8%,0.3%,7.4%,2.3%,0.1%,61.9%,5.2%,20.1%,Mariposa,2021-03-31,2021-03-30,2021-04-01 02:44:19
0.9%,1.3%,0.3%,16.7%,13.2%,0.2%,50.2%,5.8%,11.4%,Mendocino,2021-03-31,2021-03-30,2021-04-01 02:44:22
0.3%,5.9%,1.6%,33.9%,0.4%,0.3%,25.4%,8.5%,23.7%,Merced,2021-03-31,2021-03-30,2021-04-01 02:44:24
2.2%,1.6%,1.1%,7.5%,4.6%,0.1%,70.5%,2.1%,10.3%,Modoc,2021-03-31,2021-03-30,2021-04-01 02:44:27
0.4%,1.3%,0.3%,21.4%,10.0%,0.2%,57.4%,1.8%,7.2%,Mono,2021-03-31,2021-03-30,2021-04-01 02:44:29
0.2%,4.1%,1.1%,36.0%,9.7%,0.5%,26.1%,7.5%,14.9%,Monterey,2021-03-31,2021-03-30,2021-04-01 02:44:31
0.2%,4.0%,0.9%,18.1%,6.6%,0.4%,39.6%,6.1%,24.1%,Napa,2021-03-31,2021-03-30,2021-04-01 02:44:34
0.8%,0.7%,0.3%,5.2%,15.8%,0.1%,61.7%,6.3%,9.2%,Nevada,2021-03-31,2021-03-30,2021-04-01 02:44:36
0.1%,18.0%,0.9%,12.8%,13.7%,0.3%,31.1%,10.9%,12.1%,Orange,2021-03-31,2021-03-30,2021-04-01 02:44:39
0.4%,5.2%,0.9%,8.8%,11.9%,0.4%,45.1%,7.9%,19.4%,Placer,2021-03-31,2021-03-30,2021-04-01 02:44:41
0.3%,11.8%,3.0%,19.5%,10.6%,0.4%,29.7%,11.0%,13.7%,Plumas,2021-03-31,2021-03-30,2021-04-01 02:44:43
0.3%,5.7%,3.7%,24.3%,12.6%,0.3%,31.7%,12.7%,8.7%,Riverside,2021-03-31,2021-03-30,2021-04-01 02:44:46
0.4%,10.4%,3.9%,8.1%,8.6%,0.9%,29.1%,10.7%,28.0%,Sacramento,2021-03-31,2021-03-30,2021-04-01 02:44:48
0.2%,2.1%,0.6%,28.7%,4.4%,0.2%,21.7%,10.4%,31.8%,San Benito,2021-03-31,2021-03-30,2021-04-01 02:44:51
