0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.6%,43.1%,25.1%,31.3%,Alameda,2021-04-04,2021-04-03,2021-04-04 18:33:08
0.1%,34.3%,34.3%,31.3%,Alpine,2021-04-04,2021-04-01,2021-04-04 18:33:11
0.1%,18.2%,24.2%,57.5%,Amador,2021-04-04,2021-04-03,2021-04-04 18:33:14
0.5%,33.5%,24.6%,41.3%,Butte,2021-04-04,2021-04-03,2021-04-04 18:33:16
0.3%,16.6%,23.5%,59.5%,Calaveras,2021-04-04,2021-04-03,2021-04-04 18:33:18
0.2%,36.9%,25.7%,37.2%,Colusa,2021-04-04,2021-04-03,2021-04-04 18:33:21
0.7%,35.5%,29.2%,34.6%,Contra Costa,2021-04-04,2021-04-03,2021-04-04 18:33:23
0.1%,25.2%,26.4%,48.3%,Del Norte,2021-04-04,2021-04-03,2021-04-04 18:33:26
0.5%,24.8%,26.8%,48.0%,El Dorado,2021-04-04,2021-04-03,2021-04-04 18:33:29
0.6%,41.3%,26.0%,32.1%,Fresno,2021-04-04,2021-04-03,2021-04-04 18:33:31
0.3%,31.3%,26.4%,42.0%,Glenn,2021-04-04,2021-04-02,2021-04-04 18:33:34
0.2%,35.9%,21.8%,42.0%,Humboldt,2021-04-04,2021-04-03,2021-04-04 18:33:36
0.3%,40.7%,24.7%,34.3%,Imperial,2021-04-04,2021-04-03,2021-04-04 18:33:39
0.3%,27.9%,24.2%,47.5%,Inyo,2021-04-04,2021-04-03,2021-04-04 18:33:41
0.8%,40.4%,26.3%,32.5%,Kern,2021-04-04,2021-04-03,2021-04-04 18:33:43
0.5%,43.4%,28.3%,27.9%,Kings,2021-04-04,2021-04-03,2021-04-04 18:33:46
0.2%,24.5%,25.8%,49.5%,Lake,2021-04-04,2021-04-03,2021-04-04 18:33:48
0.1%,23.1%,26.5%,50.3%,Lassen,2021-04-04,2021-04-03,2021-04-04 18:33:51
0.5%,42.2%,26.2%,31.1%,Los Angeles,2021-04-04,2021-04-03,2021-04-04 18:33:53
0.4%,35.1%,26.0%,38.4%,Madera,2021-04-04,2021-04-03,2021-04-04 18:33:56
1.1%,32.1%,27.1%,39.7%,Marin,2021-04-04,2021-04-03,2021-04-04 18:33:58
0.2%,19.3%,25.4%,55.1%,Mariposa,2021-04-04,2021-04-02,2021-04-04 18:34:01
0.6%,32.0%,24.3%,43.1%,Mendocino,2021-04-04,2021-04-03,2021-04-04 18:34:03
0.5%,40.1%,25.8%,33.5%,Merced,2021-04-04,2021-04-03,2021-04-04 18:34:06
