Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
56.1%,43.6%,0.3%,Alameda,2021-04-03,2021-04-02,2021-04-03 18:33:44
47.0%,52.5%,0.4%,Alpine,2021-04-03,2021-04-01,2021-04-03 18:33:46
55.8%,44.1%,0.1%,Amador,2021-04-03,2021-04-02,2021-04-03 18:33:49
56.0%,43.9%,0.1%,Butte,2021-04-03,2021-04-02,2021-04-03 18:33:52
54.4%,44.9%,0.8%,Calaveras,2021-04-03,2021-04-02,2021-04-03 18:33:54
51.1%,47.3%,1.6%,Colusa,2021-04-03,2021-04-02,2021-04-03 18:33:57
56.1%,43.8%,0.1%,Contra Costa,2021-04-03,2021-04-02,2021-04-03 18:33:59
53.7%,46.2%,0.1%,Del Norte,2021-04-03,2021-04-02,2021-04-03 18:34:02
55.1%,44.8%,0.1%,El Dorado,2021-04-03,2021-04-02,2021-04-03 18:34:05
55.4%,44.5%,0.1%,Fresno,2021-04-03,2021-04-02,2021-04-03 18:34:08
54.8%,45.1%,0.1%,Glenn,2021-04-03,2021-04-02,2021-04-03 18:34:10
56.7%,43.1%,0.1%,Humboldt,2021-04-03,2021-04-02,2021-04-03 18:34:13
53.4%,46.5%,0.0%,Imperial,2021-04-03,2021-04-02,2021-04-03 18:34:15
52.7%,47.2%,0.1%,Inyo,2021-04-03,2021-04-02,2021-04-03 18:34:18
54.8%,44.6%,0.6%,Kern,2021-04-03,2021-04-02,2021-04-03 18:34:20
54.3%,45.3%,0.3%,Kings,2021-04-03,2021-04-02,2021-04-03 18:34:23
54.1%,45.9%,0.1%,Lake,2021-04-03,2021-04-02,2021-04-03 18:34:25
52.6%,47.2%,0.2%,Lassen,2021-04-03,2021-04-02,2021-04-03 18:34:28
55.4%,44.4%,0.2%,Los Angeles,2021-04-03,2021-04-02,2021-04-03 18:34:30
54.6%,45.3%,0.1%,Madera,2021-04-03,2021-04-02,2021-04-03 18:34:33
56.0%,43.9%,0.1%,Marin,2021-04-03,2021-04-02,2021-04-03 18:34:35
53.4%,46.2%,0.4%,Mariposa,2021-04-03,2021-04-02,2021-04-03 18:34:38
53.8%,45.5%,0.7%,Mendocino,2021-04-03,2021-04-02,2021-04-03 18:34:40
54.9%,44.7%,0.4%,Merced,2021-04-03,2021-04-02,2021-04-03 18:34:43
52.5%,47.5%,0.0%,Modoc,2021-04-03,2021-04-01,2021-04-03 18:34:46
47.4%,52.6%,0.0%,Mono,2021-04-03,2021-04-01,2021-04-03 18:34:48
53.6%,43.5%,2.9%,Monterey,2021-04-03,2021-04-02,2021-04-03 18:34:51
53.2%,46.7%,0.1%,Napa,2021-04-03,2021-04-02,2021-04-03 18:34:53
56.0%,43.9%,0.1%,Nevada,2021-04-03,2021-04-02,2021-04-03 18:34:56
55.1%,44.1%,0.9%,Orange,2021-04-03,2021-04-02,2021-04-03 18:34:58
56.7%,43.3%,0.1%,Placer,2021-04-03,2021-04-02,2021-04-03 18:35:01
54.0%,45.9%,0.1%,Plumas,2021-04-03,2021-04-02,2021-04-03 18:35:03
55.0%,44.9%,0.1%,Riverside,2021-04-03,2021-04-02,2021-04-03 18:35:06
56.8%,42.9%,0.3%,Sacramento,2021-04-03,2021-04-02,2021-04-03 18:35:08
55.5%,44.2%,0.3%,San Benito,2021-04-03,2021-04-02,2021-04-03 18:35:11
56.3%,43.5%,0.2%,San Bernardino,2021-04-03,2021-04-02,2021-04-03 18:35:13
56.6%,42.7%,0.8%,San Diego,2021-04-03,2021-04-02,2021-04-03 18:35:16
52.3%,47.4%,0.3%,San Francisco,2021-04-03,2021-04-02,2021-04-03 18:35:19
56.0%,43.2%,0.9%,San Joaquin,2021-04-03,2021-04-02,2021-04-03 18:35:21
55.8%,44.1%,0.1%,San Luis Obispo,2021-04-03,2021-04-02,2021-04-03 18:35:24
56.1%,43.9%,0.1%,San Mateo,2021-04-03,2021-04-02,2021-04-03 18:35:27
55.4%,44.4%,0.1%,Santa Barbara,2021-04-03,2021-04-02,2021-04-03 18:35:29
55.8%,44.2%,0.1%,Santa Clara,2021-04-03,2021-04-02,2021-04-03 18:35:32
56.2%,43.4%,0.4%,Santa Cruz,2021-04-03,2021-04-02,2021-04-03 18:35:34
57.0%,42.9%,0.1%,Shasta,2021-04-03,2021-04-02,2021-04-03 18:35:37
52.1%,47.8%,0.2%,Sierra,2021-04-03,2021-04-01,2021-04-03 18:35:40
54.5%,45.4%,0.0%,Siskiyou,2021-04-03,2021-04-02,2021-04-03 18:35:42
56.5%,43.0%,0.6%,Solano,2021-04-03,2021-04-02,2021-04-03 18:35:45
56.1%,43.8%,0.1%,Sonoma,2021-04-03,2021-04-02,2021-04-03 18:35:47
55.9%,43.7%,0.4%,Stanislaus,2021-04-03,2021-04-02,2021-04-03 18:35:50
55.2%,44.4%,0.4%,Sutter,2021-04-03,2021-04-02,2021-04-03 18:35:52
55.3%,44.6%,0.1%,Tehama,2021-04-03,2021-04-02,2021-04-03 18:35:55
50.2%,49.6%,0.2%,Trinity,2021-04-03,2021-04-02,2021-04-03 18:35:57
54.7%,45.3%,0.1%,Tulare,2021-04-03,2021-04-02,2021-04-03 18:36:00
54.6%,45.3%,0.1%,Tuolumne,2021-04-03,2021-04-02,2021-04-03 18:36:02
55.4%,44.5%,0.0%,Ventura,2021-04-03,2021-04-02,2021-04-03 18:36:05
54.9%,41.7%,3.4%,Yolo,2021-04-03,2021-04-02,2021-04-03 18:36:07
56.8%,42.9%,0.3%,Yuba,2021-04-03,2021-04-02,2021-04-03 18:36:10
