0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,41.3%,22.7%,35.6%,Alameda,2021-03-27,2021-03-26,2021-03-28 00:57:50
0.1%,34.7%,33.9%,31.3%,Alpine,2021-03-27,2021-03-25,2021-03-28 00:57:53
0.1%,17.9%,21.6%,60.4%,Amador,2021-03-27,2021-03-26,2021-03-28 00:57:55
0.2%,31.3%,23.9%,44.6%,Butte,2021-03-27,2021-03-26,2021-03-28 00:57:57
0.4%,37.3%,23.4%,39.0%,Calaveras,2021-03-27,2021-03-26,2021-03-28 00:57:59
0.4%,37.3%,23.4%,39.0%,Colusa,2021-03-27,2021-03-26,2021-03-28 00:58:02
0.5%,33.7%,25.8%,40.0%,Contra Costa,2021-03-27,2021-03-26,2021-03-28 00:58:04
0.1%,24.1%,25.3%,50.4%,Del Norte,2021-03-27,2021-03-26,2021-03-28 00:58:07
0.4%,24.0%,24.8%,50.9%,El Dorado,2021-03-27,2021-03-26,2021-03-28 00:58:09
0.4%,40.0%,25.0%,34.6%,Fresno,2021-03-27,2021-03-26,2021-03-28 00:58:11
0.2%,29.6%,24.3%,45.9%,Glenn,2021-03-27,2021-03-26,2021-03-28 00:58:14
0.1%,33.2%,19.6%,47.0%,Humboldt,2021-03-27,2021-03-26,2021-03-28 00:58:16
0.4%,37.3%,23.4%,39.0%,Imperial,2021-03-27,2021-03-26,2021-03-28 00:58:19
0.3%,27.3%,21.2%,51.3%,Inyo,2021-03-27,2021-03-26,2021-03-28 00:58:21
0.4%,38.4%,24.8%,36.4%,Kern,2021-03-27,2021-03-26,2021-03-28 00:58:23
0.4%,42.1%,27.5%,30.1%,Kings,2021-03-27,2021-03-26,2021-03-28 00:58:25
0.2%,24.1%,23.8%,51.9%,Lake,2021-03-27,2021-03-26,2021-03-28 00:58:28
0.0%,22.9%,25.2%,51.9%,Lassen,2021-03-27,2021-03-26,2021-03-28 00:58:30
0.4%,40.7%,23.8%,35.1%,Los Angeles,2021-03-27,2021-03-26,2021-03-28 00:58:33
0.3%,33.8%,25.1%,40.9%,Madera,2021-03-27,2021-03-26,2021-03-28 00:58:35
0.4%,37.3%,23.4%,39.0%,Marin,2021-03-27,2021-03-26,2021-03-28 00:58:38
0.4%,37.3%,23.4%,39.0%,Mariposa,2021-03-27,2021-03-26,2021-03-28 00:58:40
