American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Alameda,2021-03-23,2021-03-22,2021-03-24 12:39:36
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Alpine,2021-03-23,2021-03-22,2021-03-24 12:39:39
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Amador,2021-03-23,2021-03-22,2021-03-24 12:39:43
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Butte,2021-03-23,2021-03-22,2021-03-24 12:39:46
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Calaveras,2021-03-23,2021-03-22,2021-03-24 12:39:50
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Colusa,2021-03-23,2021-03-22,2021-03-24 12:39:53
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Contra Costa,2021-03-23,2021-03-22,2021-03-24 12:39:57
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Del Norte,2021-03-23,2021-03-22,2021-03-24 12:40:00
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,El Dorado,2021-03-23,2021-03-22,2021-03-24 12:40:03
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Fresno,2021-03-23,2021-03-22,2021-03-24 12:40:06
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Glenn,2021-03-23,2021-03-22,2021-03-24 12:40:09
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Humboldt,2021-03-23,2021-03-22,2021-03-24 12:40:13
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Imperial,2021-03-23,2021-03-22,2021-03-24 12:40:16
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Inyo,2021-03-23,2021-03-22,2021-03-24 12:40:19
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Kern,2021-03-23,2021-03-22,2021-03-24 12:40:22
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Kings,2021-03-23,2021-03-22,2021-03-24 12:40:25
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Lake,2021-03-23,2021-03-22,2021-03-24 12:40:28
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Lassen,2021-03-23,2021-03-22,2021-03-24 12:40:31
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Los Angeles,2021-03-23,2021-03-22,2021-03-24 12:40:35
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Madera,2021-03-23,2021-03-22,2021-03-24 12:40:38
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Marin,2021-03-23,2021-03-22,2021-03-24 12:40:41
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Mariposa,2021-03-23,2021-03-22,2021-03-24 12:40:45
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Mendocino,2021-03-23,2021-03-22,2021-03-24 12:40:48
0.3%,5.7%,1.6%,32.6%,0.5%,0.3%,26.1%,8.5%,24.5%,Merced,2021-03-23,2021-03-22,2021-03-24 12:40:51
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Modoc,2021-03-23,2021-03-20,2021-03-24 12:40:54
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Mono,2021-03-23,2021-03-22,2021-03-24 12:40:57
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Monterey,2021-03-23,2021-03-22,2021-03-24 12:41:01
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Napa,2021-03-23,2021-03-22,2021-03-24 12:41:04
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Nevada,2021-03-23,2021-03-22,2021-03-24 12:41:07
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Orange,2021-03-23,2021-03-22,2021-03-24 12:41:11
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Placer,2021-03-23,2021-03-22,2021-03-24 12:41:14
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Plumas,2021-03-23,2021-03-22,2021-03-24 12:41:17
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Riverside,2021-03-23,2021-03-22,2021-03-24 12:41:20
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,Sacramento,2021-03-23,2021-03-22,2021-03-24 12:41:24
0.3%,11.9%,3%,19.1%,11.9%,0.4%,30.4%,10.8%,12.3%,San Benito,2021-03-23,2021-03-22,2021-03-24 12:41:27
