0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.3%,39.7%,21.2%,38.7%,Alameda,2021-03-21,2021-03-20,2021-03-22 10:24:33
0.2%,33%,33.4%,33.4%,Alpine,2021-03-21,2021-03-18,2021-03-22 10:24:36
0.1%,17.1%,19.4%,63.5%,Amador,2021-03-21,2021-03-20,2021-03-22 10:24:39
0.2%,31.1%,20.3%,48.5%,Butte,2021-03-21,2021-03-20,2021-03-22 10:24:43
0.2%,14.8%,20%,65%,Calaveras,2021-03-21,2021-03-20,2021-03-22 10:24:46
0.1%,34.1%,22.6%,43.2%,Colusa,2021-03-21,2021-03-20,2021-03-22 10:24:53
0.4%,32.4%,22.8%,44.4%,Contra Costa,2021-03-21,2021-03-20,2021-03-22 10:24:56
0.1%,23.8%,23.1%,53%,Del Norte,2021-03-21,2021-03-19,2021-03-22 10:25:00
0.3%,22.5%,22.4%,54.8%,El Dorado,2021-03-21,2021-03-20,2021-03-22 10:25:03
0.3%,38.7%,24.1%,36.9%,Fresno,2021-03-21,2021-03-20,2021-03-22 10:25:07
0.1%,26.7%,21.7%,51.5%,Glenn,2021-03-21,2021-03-20,2021-03-22 10:25:10
0.1%,31.9%,18.7%,49.4%,Humboldt,2021-03-21,2021-03-20,2021-03-22 10:25:14
0.1%,37%,20.6%,42.3%,Imperial,2021-03-21,2021-03-20,2021-03-22 10:25:17
0.1%,25.8%,18.7%,55.4%,Inyo,2021-03-21,2021-03-20,2021-03-22 10:25:20
0.3%,36.9%,23.3%,39.5%,Kern,2021-03-21,2021-03-20,2021-03-22 10:25:24
0.2%,39.7%,26.5%,33.5%,Kings,2021-03-21,2021-03-20,2021-03-22 10:25:27
0.2%,23.6%,22%,54.3%,Lake,2021-03-21,2021-03-20,2021-03-22 10:25:31
0%,20.6%,22%,57.3%,Lassen,2021-03-21,2021-03-19,2021-03-22 10:25:34
0.3%,38.6%,22.1%,39%,Los Angeles,2021-03-21,2021-03-20,2021-03-22 10:25:37
0.2%,32.2%,23.9%,43.7%,Madera,2021-03-21,2021-03-20,2021-03-22 10:25:41
0.7%,27.7%,23.1%,48.5%,Marin,2021-03-21,2021-03-20,2021-03-22 10:25:44
0.1%,17.8%,19.2%,62.8%,Mariposa,2021-03-21,2021-03-20,2021-03-22 10:25:48
0.5%,32.9%,23.5%,43%,Mendocino,2021-03-21,2021-03-20,2021-03-22 10:25:51
0.3%,35.8%,24.2%,39.7%,Merced,2021-03-21,2021-03-20,2021-03-22 10:25:55
0.1%,18.6%,24.8%,56.5%,Modoc,2021-03-21,2021-03-19,2021-03-22 10:25:58
1.2%,43.8%,28.7%,26.3%,Mono,2021-03-21,2021-03-18,2021-03-22 10:26:01
0.2%,36.9%,21%,42%,Monterey,2021-03-21,2021-03-20,2021-03-22 10:26:05
0.2%,34.4%,22%,43.4%,Napa,2021-03-21,2021-03-20,2021-03-22 10:26:08
0.3%,20.2%,17.7%,61.8%,Nevada,2021-03-21,2021-03-20,2021-03-22 10:26:12
0.2%,33.3%,20.6%,45.9%,Orange,2021-03-21,2021-03-20,2021-03-22 10:26:15
0.3%,26.9%,20.1%,52.6%,Placer,2021-03-21,2021-03-20,2021-03-22 10:26:18
0.1%,19%,17.5%,63.4%,Plumas,2021-03-21,2021-03-20,2021-03-22 10:26:22
0.2%,29.9%,21.5%,48.4%,Riverside,2021-03-21,2021-03-20,2021-03-22 10:26:25
0.3%,35.4%,22.5%,41.8%,Sacramento,2021-03-21,2021-03-20,2021-03-22 10:26:29
0.1%,36.5%,22.4%,41%,San Benito,2021-03-21,2021-03-20,2021-03-22 10:26:32
0.2%,35.5%,22.8%,41.5%,San Bernardino,2021-03-21,2021-03-20,2021-03-22 10:26:35
0.2%,33.9%,19.3%,46.5%,San Diego,2021-03-21,2021-03-20,2021-03-22 10:26:39
0.2%,42.6%,21.3%,35.9%,San Francisco,2021-03-21,2021-03-20,2021-03-22 10:26:42
0.3%,33.8%,24%,41.9%,San Joaquin,2021-03-21,2021-03-20,2021-03-22 10:26:46
0.1%,24%,16%,59.9%,San Luis Obispo,2021-03-21,2021-03-20,2021-03-22 10:26:49
0.4%,36.1%,21.7%,41.9%,San Mateo,2021-03-21,2021-03-20,2021-03-22 10:26:52
0.1%,31%,17.6%,51.2%,Santa Barbara,2021-03-21,2021-03-20,2021-03-22 10:26:56
0.3%,34.3%,21%,44.4%,Santa Clara,2021-03-21,2021-03-20,2021-03-22 10:26:59
0.2%,33.6%,20.4%,45.8%,Santa Cruz,2021-03-21,2021-03-20,2021-03-22 10:27:03
0.1%,22.5%,20.5%,56.8%,Shasta,2021-03-21,2021-03-20,2021-03-22 10:27:06
