0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.6%,26.4%,29.3%,0.000%,Alameda,2021-04-08,2021-04-07,2021-04-09 00:57:03
0.1%,35.3%,35.1%,29.5%,0.000%,Alpine,2021-04-08,2021-04-06,2021-04-09 00:57:06
0.1%,19.2%,25.8%,54.9%,0.000%,Amador,2021-04-08,2021-04-07,2021-04-09 00:57:08
0.7%,35.0%,24.8%,39.6%,0.000%,Butte,2021-04-08,2021-04-07,2021-04-09 00:57:11
0.4%,17.0%,25.9%,56.7%,0.000%,Calaveras,2021-04-08,2021-04-07,2021-04-09 00:57:13
0.2%,37.8%,26.8%,35.2%,0.000%,Colusa,2021-04-08,2021-04-07,2021-04-09 00:57:15
1.0%,37.7%,29.3%,32.0%,0.000%,Contra Costa,2021-04-08,2021-04-07,2021-04-09 00:57:18
0.1%,25.7%,27.4%,46.7%,0.000%,Del Norte,2021-04-08,2021-04-07,2021-04-09 00:57:20
0.5%,25.4%,28.2%,45.9%,0.000%,El Dorado,2021-04-08,2021-04-07,2021-04-09 00:57:23
0.6%,42.0%,26.5%,30.9%,0.000%,Fresno,2021-04-08,2021-04-07,2021-04-09 00:57:25
0.3%,31.7%,27.0%,41.0%,0.000%,Glenn,2021-04-08,2021-04-07,2021-04-09 00:57:28
0.3%,36.7%,23.2%,39.8%,0.000%,Humboldt,2021-04-08,2021-04-07,2021-04-09 00:57:30
0.3%,41.4%,25.8%,32.5%,0.000%,Imperial,2021-04-08,2021-04-07,2021-04-09 00:57:32
0.3%,28.7%,25.4%,45.6%,0.000%,Inyo,2021-04-08,2021-04-07,2021-04-09 00:57:35
0.9%,41.3%,26.9%,30.8%,0.000%,Kern,2021-04-08,2021-04-07,2021-04-09 00:57:37
0.5%,43.6%,29.0%,26.9%,0.000%,Kings,2021-04-08,2021-04-07,2021-04-09 00:57:40
0.2%,24.7%,28.2%,46.9%,0.000%,Lake,2021-04-08,2021-04-07,2021-04-09 00:57:42
0.1%,24.0%,27.5%,48.4%,0.000%,Lassen,2021-04-08,2021-04-07,2021-04-09 00:57:45
0.6%,42.9%,27.3%,29.3%,0.000%,Los Angeles,2021-04-08,2021-04-07,2021-04-09 00:57:47
0.5%,35.8%,26.6%,37.1%,0.000%,Madera,2021-04-08,2021-04-07,2021-04-09 00:57:49
1.2%,32.9%,29.0%,36.9%,0.000%,Marin,2021-04-08,2021-04-07,2021-04-09 00:57:52
0.2%,19.6%,25.3%,54.9%,0.02%,Mariposa,2021-04-08,2021-04-07,2021-04-09 00:57:54
0.6%,32.3%,24.5%,42.6%,0.000%,Mendocino,2021-04-08,2021-04-07,2021-04-09 00:57:57
0.6%,41.2%,26.2%,32.0%,0.000%,Merced,2021-04-08,2021-04-07,2021-04-09 00:57:59
0.1%,20.4%,26.6%,52.8%,0.000%,Modoc,2021-04-08,2021-04-06,2021-04-09 00:58:01
1.4%,46.4%,29.4%,22.8%,0.000%,Mono,2021-04-08,2021-04-07,2021-04-09 00:58:04
0.5%,42.8%,25.8%,30.9%,0.000%,Monterey,2021-04-08,2021-04-07,2021-04-09 00:58:06
0.5%,37.6%,25.7%,36.1%,0.000%,Napa,2021-04-08,2021-04-07,2021-04-09 00:58:09
0.7%,24.4%,24.5%,50.4%,0.000%,Nevada,2021-04-08,2021-04-07,2021-04-09 00:58:11
0.7%,39.3%,26.8%,33.2%,0.000%,Orange,2021-04-08,2021-04-07,2021-04-09 00:58:14
0.6%,29.6%,25.7%,44.1%,0.000%,Placer,2021-04-08,2021-04-07,2021-04-09 00:58:16
0.1%,20.7%,23.2%,56.0%,0.000%,Plumas,2021-04-08,2021-04-07,2021-04-09 00:58:18
0.7%,34.3%,27.5%,37.5%,0.000%,Riverside,2021-04-08,2021-04-07,2021-04-09 00:58:21
0.7%,38.6%,26.6%,34.2%,0.000%,Sacramento,2021-04-08,2021-04-07,2021-04-09 00:58:23
