American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Alameda,2021-03-27,2021-03-26,2021-03-28 00:57:50
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Alpine,2021-03-27,2021-03-25,2021-03-28 00:57:53
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Amador,2021-03-27,2021-03-26,2021-03-28 00:57:55
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Butte,2021-03-27,2021-03-26,2021-03-28 00:57:57
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Calaveras,2021-03-27,2021-03-26,2021-03-28 00:57:59
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Colusa,2021-03-27,2021-03-26,2021-03-28 00:58:02
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Contra Costa,2021-03-27,2021-03-26,2021-03-28 00:58:04
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Del Norte,2021-03-27,2021-03-26,2021-03-28 00:58:07
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,El Dorado,2021-03-27,2021-03-26,2021-03-28 00:58:09
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Fresno,2021-03-27,2021-03-26,2021-03-28 00:58:11
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Glenn,2021-03-27,2021-03-26,2021-03-28 00:58:14
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Humboldt,2021-03-27,2021-03-26,2021-03-28 00:58:16
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Imperial,2021-03-27,2021-03-26,2021-03-28 00:58:18
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Inyo,2021-03-27,2021-03-26,2021-03-28 00:58:21
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Kern,2021-03-27,2021-03-26,2021-03-28 00:58:23
0.3%,11.8%,3.0%,19.3%,11.1%,0.4%,30.1%,10.9%,13.1%,Kings,2021-03-27,2021-03-26,2021-03-28 00:58:25
