American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Alameda,2021-04-08,2021-04-07,2021-04-08 22:23:24
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Alpine,2021-04-08,2021-04-06,2021-04-08 22:23:26
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Amador,2021-04-08,2021-04-07,2021-04-08 22:23:29
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Butte,2021-04-08,2021-04-07,2021-04-08 22:23:31
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Calaveras,2021-04-08,2021-04-07,2021-04-08 22:23:34
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Colusa,2021-04-08,2021-04-07,2021-04-08 22:23:36
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Contra Costa,2021-04-08,2021-04-07,2021-04-08 22:23:39
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Del Norte,2021-04-08,2021-04-07,2021-04-08 22:23:41
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,El Dorado,2021-04-08,2021-04-07,2021-04-08 22:23:44
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Fresno,2021-04-08,2021-04-07,2021-04-08 22:23:46
1.8%,1.5%,0.2%,27.5%,9.8%,0.1%,43.0%,10.8%,5.3%,Glenn,2021-04-08,2021-04-07,2021-04-08 22:23:49
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Humboldt,2021-04-08,2021-04-07,2021-04-08 22:23:51
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Imperial,2021-04-08,2021-04-07,2021-04-08 22:23:54
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Inyo,2021-04-08,2021-04-07,2021-04-08 22:23:56
0.3%,4.4%,2.5%,35.6%,12.5%,0.2%,29.2%,9.3%,6.1%,Kern,2021-04-08,2021-04-07,2021-04-08 22:23:59
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Kings,2021-04-08,2021-04-07,2021-04-08 22:24:01
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Lake,2021-04-08,2021-04-07,2021-04-08 22:24:04
1.0%,1.6%,0.9%,8.8%,8.0%,0.3%,63.3%,3.2%,12.9%,Lassen,2021-04-08,2021-04-07,2021-04-08 22:24:06
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Los Angeles,2021-04-08,2021-04-07,2021-04-08 22:24:09
0.9%,2.1%,1.6%,37.5%,7.9%,0.1%,34.7%,9.6%,5.7%,Madera,2021-04-08,2021-04-07,2021-04-08 22:24:11
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Marin,2021-04-08,2021-04-07,2021-04-08 22:24:14
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Mariposa,2021-04-08,2021-04-07,2021-04-08 22:24:16
