American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Alameda,2021-03-29,2021-03-28,2021-03-29 18:28:05
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Alpine,2021-03-29,2021-03-28,2021-03-29 18:28:07
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Amador,2021-03-29,2021-03-28,2021-03-29 18:28:10
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Butte,2021-03-29,2021-03-28,2021-03-29 18:28:13
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Calaveras,2021-03-29,2021-03-28,2021-03-29 18:28:15
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Colusa,2021-03-29,2021-03-28,2021-03-29 18:28:18
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Contra Costa,2021-03-29,2021-03-28,2021-03-29 18:28:20
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Del Norte,2021-03-29,2021-03-28,2021-03-29 18:28:23
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,El Dorado,2021-03-29,2021-03-28,2021-03-29 18:28:25
0.5%,7.0%,2.1%,31.4%,8.7%,0.2%,28.5%,7.9%,13.7%,Fresno,2021-03-29,2021-03-28,2021-03-29 18:28:28
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Glenn,2021-03-29,2021-03-28,2021-03-29 18:28:31
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Humboldt,2021-03-29,2021-03-28,2021-03-29 18:28:33
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Imperial,2021-03-29,2021-03-28,2021-03-29 18:28:36
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Inyo,2021-03-29,2021-03-28,2021-03-29 18:28:38
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Kern,2021-03-29,2021-03-28,2021-03-29 18:28:41
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Kings,2021-03-29,2021-03-28,2021-03-29 18:28:44
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Lake,2021-03-29,2021-03-28,2021-03-29 18:28:46
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Lassen,2021-03-29,2021-03-28,2021-03-29 18:28:49
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Los Angeles,2021-03-29,2021-03-28,2021-03-29 18:28:51
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Madera,2021-03-29,2021-03-28,2021-03-29 18:28:54
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Marin,2021-03-29,2021-03-28,2021-03-29 18:28:56
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Mariposa,2021-03-29,2021-03-27,2021-03-29 18:28:59
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Mendocino,2021-03-29,2021-03-28,2021-03-29 18:29:02
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Merced,2021-03-29,2021-03-28,2021-03-29 18:29:04
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Modoc,2021-03-29,2021-03-26,2021-03-29 18:29:07
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Mono,2021-03-29,2021-03-28,2021-03-29 18:29:10
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Monterey,2021-03-29,2021-03-28,2021-03-29 18:29:12
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Napa,2021-03-29,2021-03-28,2021-03-29 18:29:15
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Nevada,2021-03-29,2021-03-28,2021-03-29 18:29:17
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Orange,2021-03-29,2021-03-28,2021-03-29 18:29:20
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Placer,2021-03-29,2021-03-28,2021-03-29 18:29:23
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Plumas,2021-03-29,2021-03-27,2021-03-29 18:29:25
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Riverside,2021-03-29,2021-03-28,2021-03-29 18:29:28
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,Sacramento,2021-03-29,2021-03-28,2021-03-29 18:29:30
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,29.9%,11.0%,13.4%,San Benito,2021-03-29,2021-03-28,2021-03-29 18:29:33
