American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.2%,5.3%,10.1%,9.4%,0.5%,23.7%,8.8%,21.8%,Alameda,2021-04-03,2021-04-02,2021-04-04 12:29:27
1.7%,0.6%,0.3%,0.7%,0.3%,0.0%,17.8%,0.8%,77.8%,Alpine,2021-04-03,2021-04-01,2021-04-04 12:29:30
0.9%,1.5%,0.4%,7.3%,3.6%,0.3%,67.3%,8.7%,10.1%,Amador,2021-04-03,2021-04-02,2021-04-04 12:29:32
1.1%,2.3%,0.7%,7.8%,14.8%,0.1%,56.0%,8.1%,9.1%,Butte,2021-04-03,2021-04-02,2021-04-04 12:29:35
0.4%,1.2%,0.4%,5.1%,1.3%,0.2%,55.0%,8.8%,27.6%,Calaveras,2021-04-03,2021-04-02,2021-04-04 12:29:37
1.0%,0.6%,0.4%,28.1%,5.2%,0.1%,31.0%,5.5%,28.1%,Colusa,2021-04-03,2021-04-02,2021-04-04 12:29:40
0.2%,10.5%,4.3%,12.5%,10.0%,0.5%,33.2%,7.6%,21.2%,Contra Costa,2021-04-03,2021-04-02,2021-04-04 12:29:42
6.5%,1.7%,0.5%,5.6%,7.1%,0.2%,60.0%,3.2%,15.2%,Del Norte,2021-04-03,2021-04-02,2021-04-04 12:29:45
0.2%,2.8%,0.5%,5.6%,11.7%,0.3%,48.4%,7.8%,22.7%,El Dorado,2021-04-03,2021-04-02,2021-04-04 12:29:47
0.5%,7.0%,2.1%,31.5%,8.3%,0.2%,28.0%,7.9%,14.6%,Fresno,2021-04-03,2021-04-02,2021-04-04 12:29:50
1.9%,1.2%,0.2%,22.1%,7.5%,0.1%,41.9%,10.4%,14.7%,Glenn,2021-04-03,2021-04-02,2021-04-04 12:29:53
3.2%,1.4%,0.7%,7.0%,12.2%,0.2%,63.4%,3.4%,8.6%,Humboldt,2021-04-03,2021-04-02,2021-04-04 12:29:55
0.1%,0.6%,0.4%,62.8%,1.9%,0.1%,9.4%,8.0%,16.8%,Imperial,2021-04-03,2021-04-02,2021-04-04 12:29:58
1.0%,1.0%,0.2%,9.3%,20.0%,0.2%,52.8%,5.7%,9.9%,Inyo,2021-04-03,2021-04-02,2021-04-04 12:30:00
0.3%,4.1%,2.4%,31.4%,10.1%,0.3%,28.5%,11.6%,11.3%,Kern,2021-04-03,2021-04-02,2021-04-04 12:30:03
0.7%,2.6%,2.1%,41.0%,5.9%,0.2%,26.6%,6.2%,14.7%,Kings,2021-04-03,2021-04-02,2021-04-04 12:30:05
1.6%,1.1%,1.2%,16.0%,14.0%,0.1%,55.0%,3.7%,7.2%,Lake,2021-04-03,2021-04-02,2021-04-04 12:30:08
1.2%,1.4%,0.7%,7.0%,7.1%,0.3%,59.5%,3.6%,19.2%,Lassen,2021-04-03,2021-04-02,2021-04-04 12:30:10
0.2%,12.3%,4.4%,25.0%,14.5%,0.4%,19.7%,14.8%,8.7%,Los Angeles,2021-04-03,2021-04-02,2021-04-04 12:30:13
0.9%,1.9%,1.4%,32.8%,6.1%,0.1%,32.6%,8.6%,15.6%,Madera,2021-04-03,2021-04-02,2021-04-04 12:30:15
0.1%,3.8%,0.9%,9.8%,10.4%,0.2%,47.8%,6.3%,20.7%,Marin,2021-04-03,2021-04-02,2021-04-04 12:30:18
1.8%,0.9%,0.4%,7.4%,2.2%,0.2%,62.9%,4.8%,19.4%,Mariposa,2021-04-03,2021-04-02,2021-04-04 12:30:20
0.8%,1.3%,0.3%,15.7%,13.6%,0.2%,49.7%,7.0%,11.3%,Mendocino,2021-04-03,2021-04-02,2021-04-04 12:30:23
0.3%,6.0%,1.6%,34.3%,0.4%,0.3%,25.3%,8.4%,23.4%,Merced,2021-04-03,2021-04-02,2021-04-04 12:30:26
2.3%,1.6%,1.0%,7.7%,4.6%,0.1%,69.7%,2.0%,10.9%,Modoc,2021-04-03,2021-04-01,2021-04-04 12:30:28
0.4%,1.3%,0.3%,21.4%,9.9%,0.2%,57.2%,1.9%,7.5%,Mono,2021-04-03,2021-04-01,2021-04-04 12:30:31
0.2%,4.1%,1.1%,35.7%,9.2%,0.5%,25.8%,7.7%,15.8%,Monterey,2021-04-03,2021-04-02,2021-04-04 12:30:33
0.2%,4.0%,0.9%,18.1%,6.4%,0.3%,39.1%,6.2%,24.9%,Napa,2021-04-03,2021-04-02,2021-04-04 12:30:36
0.8%,0.7%,0.3%,5.2%,15.2%,0.1%,61.5%,6.4%,9.8%,Nevada,2021-04-03,2021-04-02,2021-04-04 12:30:38
0.1%,17.8%,0.9%,12.9%,13.0%,0.3%,31.0%,11.2%,12.7%,Orange,2021-04-03,2021-04-02,2021-04-04 12:30:41
0.4%,5.2%,0.9%,8.6%,11.6%,0.4%,44.9%,7.9%,20.2%,Placer,2021-04-03,2021-04-02,2021-04-04 12:30:43
0.9%,0.6%,0.4%,2.2%,6.0%,0.0%,72.9%,3.8%,13.2%,Plumas,2021-04-03,2021-04-02,2021-04-04 12:30:46
0.3%,5.7%,3.7%,24.5%,11.9%,0.3%,31.3%,12.9%,9.3%,Riverside,2021-04-03,2021-04-02,2021-04-04 12:30:48
0.4%,10.4%,3.9%,8.2%,8.2%,0.9%,28.5%,10.6%,29.0%,Sacramento,2021-04-03,2021-04-02,2021-04-04 12:30:51
0.2%,2.1%,0.6%,28.5%,4.1%,0.2%,21.1%,10.1%,33.0%,San Benito,2021-04-03,2021-04-02,2021-04-04 12:30:54
