Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
55.2%,44.5%,0.3%,Alameda,2021-04-09,2021-04-08,2021-04-09 18:25:59
46.9%,52.8%,0.3%,Alpine,2021-04-09,2021-04-08,2021-04-09 18:26:02
55.4%,44.5%,0.2%,Amador,2021-04-09,2021-04-08,2021-04-09 18:26:04
55.5%,44.4%,0.1%,Butte,2021-04-09,2021-04-08,2021-04-09 18:26:07
54.1%,45.2%,0.7%,Calaveras,2021-04-09,2021-04-08,2021-04-09 18:26:10
50.4%,49.0%,0.6%,Colusa,2021-04-09,2021-04-08,2021-04-09 18:26:12
55.3%,44.6%,0.1%,Contra Costa,2021-04-09,2021-04-08,2021-04-09 18:26:15
53.8%,46.1%,0.1%,Del Norte,2021-04-09,2021-04-08,2021-04-09 18:26:18
54.8%,45.1%,0.1%,El Dorado,2021-04-09,2021-04-08,2021-04-09 18:26:21
55.0%,44.9%,0.1%,Fresno,2021-04-09,2021-04-08,2021-04-09 18:26:23
54.3%,45.6%,0.05%,Glenn,2021-04-09,2021-04-08,2021-04-09 18:26:26
56.0%,43.9%,0.2%,Humboldt,2021-04-09,2021-04-08,2021-04-09 18:26:28
53.0%,46.9%,0.04%,Imperial,2021-04-09,2021-04-08,2021-04-09 18:26:31
52.1%,47.8%,0.1%,Inyo,2021-04-09,2021-04-08,2021-04-09 18:26:34
54.4%,45.0%,0.6%,Kern,2021-04-09,2021-04-08,2021-04-09 18:26:36
54.1%,45.5%,0.4%,Kings,2021-04-09,2021-04-08,2021-04-09 18:26:39
53.8%,46.1%,0.1%,Lake,2021-04-09,2021-04-08,2021-04-09 18:26:41
52.2%,47.6%,0.2%,Lassen,2021-04-09,2021-04-08,2021-04-09 18:26:44
54.8%,45.0%,0.2%,Los Angeles,2021-04-09,2021-04-08,2021-04-09 18:26:47
54.4%,45.5%,0.1%,Madera,2021-04-09,2021-04-08,2021-04-09 18:26:49
55.3%,44.6%,0.1%,Marin,2021-04-09,2021-04-08,2021-04-09 18:26:52
53.6%,46.1%,0.3%,Mariposa,2021-04-09,2021-04-08,2021-04-09 18:26:55
53.6%,46.0%,0.4%,Mendocino,2021-04-09,2021-04-08,2021-04-09 18:26:57
54.7%,44.9%,0.4%,Merced,2021-04-09,2021-04-08,2021-04-09 18:26:59
52.7%,47.3%,0.000%,Modoc,2021-04-09,2021-04-08,2021-04-09 18:27:02
47.8%,52.2%,0.01%,Mono,2021-04-09,2021-04-08,2021-04-09 18:27:05
53.4%,45.0%,1.6%,Monterey,2021-04-09,2021-04-08,2021-04-09 18:27:07
53.1%,46.9%,0.1%,Napa,2021-04-09,2021-04-08,2021-04-09 18:27:10
55.4%,44.5%,0.1%,Nevada,2021-04-09,2021-04-08,2021-04-09 18:27:13
54.4%,44.4%,1.2%,Orange,2021-04-09,2021-04-08,2021-04-09 18:27:15
56.3%,43.7%,0.1%,Placer,2021-04-09,2021-04-08,2021-04-09 18:27:18
53.9%,46.1%,0.1%,Plumas,2021-04-09,2021-04-08,2021-04-09 18:27:21
54.5%,45.4%,0.1%,Riverside,2021-04-09,2021-04-08,2021-04-09 18:27:23
56.4%,43.4%,0.2%,Sacramento,2021-04-09,2021-04-08,2021-04-09 18:27:26
54.9%,44.8%,0.2%,San Benito,2021-04-09,2021-04-08,2021-04-09 18:27:29
54.7%,44.9%,0.4%,San Bernardino,2021-04-09,2021-04-08,2021-04-09 18:27:32
56.0%,43.2%,0.8%,San Diego,2021-04-09,2021-04-08,2021-04-09 18:27:34
51.7%,48.0%,0.3%,San Francisco,2021-04-09,2021-04-08,2021-04-09 18:27:37
55.5%,43.6%,0.9%,San Joaquin,2021-04-09,2021-04-08,2021-04-09 18:27:40
55.5%,44.3%,0.2%,San Luis Obispo,2021-04-09,2021-04-08,2021-04-09 18:27:43
55.2%,44.7%,0.1%,San Mateo,2021-04-09,2021-04-08,2021-04-09 18:27:45
54.8%,45.1%,0.1%,Santa Barbara,2021-04-09,2021-04-08,2021-04-09 18:27:48
54.6%,45.3%,0.1%,Santa Clara,2021-04-09,2021-04-08,2021-04-09 18:27:51
55.4%,44.2%,0.4%,Santa Cruz,2021-04-09,2021-04-08,2021-04-09 18:27:54
56.7%,43.2%,0.1%,Shasta,2021-04-09,2021-04-08,2021-04-09 18:27:56
52.3%,47.6%,0.1%,Sierra,2021-04-09,2021-04-08,2021-04-09 18:27:59
54.4%,45.6%,0.1%,Siskiyou,2021-04-09,2021-04-08,2021-04-09 18:28:01
56.0%,43.5%,0.5%,Solano,2021-04-09,2021-04-08,2021-04-09 18:28:04
55.5%,44.4%,0.1%,Sonoma,2021-04-09,2021-04-08,2021-04-09 18:28:07
55.5%,44.0%,0.5%,Stanislaus,2021-04-09,2021-04-08,2021-04-09 18:28:10
55.1%,44.8%,0.2%,Sutter,2021-04-09,2021-04-08,2021-04-09 18:28:13
55.2%,44.7%,0.1%,Tehama,2021-04-09,2021-04-08,2021-04-09 18:28:16
50.2%,49.7%,0.1%,Trinity,2021-04-09,2021-04-08,2021-04-09 18:28:18
54.3%,45.6%,0.1%,Tulare,2021-04-09,2021-04-08,2021-04-09 18:28:21
54.4%,45.4%,0.1%,Tuolumne,2021-04-09,2021-04-08,2021-04-09 18:28:24
54.9%,45.1%,0.05%,Ventura,2021-04-09,2021-04-08,2021-04-09 18:28:27
55.3%,43.0%,1.8%,Yolo,2021-04-09,2021-04-08,2021-04-09 18:28:29
56.2%,43.7%,0.2%,Yuba,2021-04-09,2021-04-08,2021-04-09 18:28:32
