American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Alameda,2021-04-11,2021-04-10,2021-04-12 10:21:55
1.8%,0.6%,0.3%,1.0%,0.3%,0.000%,18.5%,0.8%,76.9%,Alpine,2021-04-11,2021-04-09,2021-04-12 10:21:57
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Amador,2021-04-11,2021-04-10,2021-04-12 10:22:00
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Butte,2021-04-11,2021-04-10,2021-04-12 10:22:02
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Calaveras,2021-04-11,2021-04-10,2021-04-12 10:22:05
0.8%,0.7%,0.5%,33.7%,6.6%,0.1%,30.6%,5.9%,21.1%,Colusa,2021-04-11,2021-04-10,2021-04-12 10:22:08
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Contra Costa,2021-04-11,2021-04-10,2021-04-12 10:22:10
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Del Norte,2021-04-11,2021-04-10,2021-04-12 10:22:13
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,El Dorado,2021-04-11,2021-04-10,2021-04-12 10:22:15
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Fresno,2021-04-11,2021-04-10,2021-04-12 10:22:18
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Glenn,2021-04-11,2021-04-09,2021-04-12 10:22:20
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Humboldt,2021-04-11,2021-04-10,2021-04-12 10:22:23
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Imperial,2021-04-11,2021-04-10,2021-04-12 10:22:26
0.9%,1.2%,0.2%,11.0%,21.2%,0.1%,55.7%,3.4%,6.2%,Inyo,2021-04-11,2021-04-10,2021-04-12 10:22:28
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Kern,2021-04-11,2021-04-10,2021-04-12 10:22:31
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Kings,2021-04-11,2021-04-10,2021-04-12 10:22:33
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Lake,2021-04-11,2021-04-10,2021-04-12 10:22:36
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Lassen,2021-04-11,2021-04-09,2021-04-12 10:22:39
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Los Angeles,2021-04-11,2021-04-10,2021-04-12 10:22:41
0.8%,2.1%,1.6%,36.9%,7.7%,0.1%,34.6%,9.7%,6.5%,Madera,2021-04-11,2021-04-10,2021-04-12 10:22:44
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Marin,2021-04-11,2021-04-10,2021-04-12 10:22:46
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Mariposa,2021-04-11,2021-04-10,2021-04-12 10:22:49
0.8%,1.4%,0.3%,16.6%,16.1%,0.2%,50.8%,6.0%,7.7%,Mendocino,2021-04-11,2021-04-10,2021-04-12 10:22:51
0.4%,6.1%,1.6%,35.3%,0.7%,0.3%,24.6%,8.2%,22.9%,Merced,2021-04-11,2021-04-10,2021-04-12 10:22:54
2.4%,1.9%,1.1%,9.0%,5.4%,0.2%,72.3%,1.7%,6.0%,Modoc,2021-04-11,2021-04-09,2021-04-12 10:22:57
0.4%,1.6%,0.2%,24.4%,12.0%,0.2%,58.8%,1.5%,0.9%,Mono,2021-04-11,2021-04-10,2021-04-12 10:22:59
0.2%,4.3%,1.1%,44.8%,10.4%,0.5%,26.4%,5.3%,7.0%,Monterey,2021-04-11,2021-04-10,2021-04-12 10:23:02
0.2%,5.2%,1.1%,20.9%,8.1%,0.4%,47.3%,7.6%,9.0%,Napa,2021-04-11,2021-04-10,2021-04-12 10:23:04
0.7%,1.0%,0.2%,5.2%,17.2%,0.1%,65.6%,4.9%,5.1%,Nevada,2021-04-11,2021-04-10,2021-04-12 10:23:07
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Orange,2021-04-11,2021-04-10,2021-04-12 10:23:09
0.5%,6.7%,1.2%,8.6%,14.1%,0.4%,54.7%,8.0%,6.0%,Placer,2021-04-11,2021-04-10,2021-04-12 10:23:12
0.8%,0.7%,0.5%,3.1%,6.2%,0.05%,73.3%,3.5%,11.8%,Plumas,2021-04-11,2021-04-10,2021-04-12 10:23:14
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,Riverside,2021-04-11,2021-04-10,2021-04-12 10:23:16
0.4%,14.5%,5.5%,9.8%,11.0%,1.1%,36.6%,12.5%,8.8%,Sacramento,2021-04-11,2021-04-10,2021-04-12 10:23:19
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,San Benito,2021-04-11,2021-04-10,2021-04-12 10:23:22
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,San Bernardino,2021-04-11,2021-04-10,2021-04-12 10:23:24
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,San Diego,2021-04-11,2021-04-10,2021-04-12 10:23:27
0.3%,13.2%,3.2%,22.2%,12.4%,0.4%,31.3%,10.0%,7.0%,San Francisco,2021-04-11,2021-04-10,2021-04-12 10:23:29
0.4%,12.3%,4.0%,17.0%,2.3%,0.9%,23.9%,15.4%,23.7%,San Joaquin,2021-04-11,2021-04-10,2021-04-12 10:23:32
0.2%,1.7%,0.5%,10.2%,13.5%,0.2%,39.7%,10.9%,23.2%,San Luis Obispo,2021-04-11,2021-04-10,2021-04-12 10:23:34
