0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.6%,43.1%,25.1%,31.3%,Alameda,2021-04-04,2021-04-03,2021-04-04 22:23:18
0.1%,34.3%,34.3%,31.3%,Alpine,2021-04-04,2021-04-01,2021-04-04 22:23:21
0.1%,18.2%,24.2%,57.5%,Amador,2021-04-04,2021-04-03,2021-04-04 22:23:23
0.5%,33.5%,24.6%,41.3%,Butte,2021-04-04,2021-04-03,2021-04-04 22:23:26
0.3%,16.6%,23.5%,59.5%,Calaveras,2021-04-04,2021-04-03,2021-04-04 22:23:28
0.2%,36.9%,25.7%,37.2%,Colusa,2021-04-04,2021-04-03,2021-04-04 22:23:31
0.5%,39.1%,25.6%,34.8%,Contra Costa,2021-04-04,2021-04-03,2021-04-04 22:23:33
0.1%,25.2%,26.4%,48.3%,Del Norte,2021-04-04,2021-04-03,2021-04-04 22:23:36
0.5%,24.8%,26.8%,48.0%,El Dorado,2021-04-04,2021-04-03,2021-04-04 22:23:38
0.6%,41.3%,26.0%,32.1%,Fresno,2021-04-04,2021-04-03,2021-04-04 22:23:41
0.3%,31.3%,26.4%,42.0%,Glenn,2021-04-04,2021-04-02,2021-04-04 22:23:43
0.2%,35.9%,21.8%,42.0%,Humboldt,2021-04-04,2021-04-03,2021-04-04 22:23:46
0.3%,40.7%,24.7%,34.3%,Imperial,2021-04-04,2021-04-03,2021-04-04 22:23:48
0.3%,27.9%,24.2%,47.5%,Inyo,2021-04-04,2021-04-03,2021-04-04 22:23:51
0.8%,40.4%,26.3%,32.5%,Kern,2021-04-04,2021-04-03,2021-04-04 22:23:53
0.5%,43.4%,28.3%,27.9%,Kings,2021-04-04,2021-04-03,2021-04-04 22:23:56
0.5%,39.1%,25.6%,34.8%,Lake,2021-04-04,2021-04-03,2021-04-04 22:23:58
0.1%,23.1%,26.5%,50.3%,Lassen,2021-04-04,2021-04-03,2021-04-04 22:24:01
0.5%,42.2%,26.2%,31.1%,Los Angeles,2021-04-04,2021-04-03,2021-04-04 22:24:03
0.4%,35.1%,26.0%,38.4%,Madera,2021-04-04,2021-04-03,2021-04-04 22:24:06
1.1%,32.1%,27.1%,39.7%,Marin,2021-04-04,2021-04-03,2021-04-04 22:24:08
0.2%,19.3%,25.4%,55.1%,Mariposa,2021-04-04,2021-04-02,2021-04-04 22:24:10
0.6%,32.0%,24.3%,43.1%,Mendocino,2021-04-04,2021-04-03,2021-04-04 22:24:13
0.5%,40.1%,25.8%,33.5%,Merced,2021-04-04,2021-04-03,2021-04-04 22:24:15
0.1%,19.8%,26.2%,53.9%,Modoc,2021-04-04,2021-04-01,2021-04-04 22:24:18
1.5%,45.4%,28.5%,24.6%,Mono,2021-04-04,2021-04-03,2021-04-04 22:24:21
0.4%,41.7%,25.0%,32.9%,Monterey,2021-04-04,2021-04-03,2021-04-04 22:24:23
0.4%,37.1%,24.5%,38.0%,Napa,2021-04-04,2021-04-03,2021-04-04 22:24:26
0.5%,22.9%,23.4%,53.2%,Nevada,2021-04-04,2021-04-03,2021-04-04 22:24:28
0.6%,38.9%,25.6%,35.0%,Orange,2021-04-04,2021-04-03,2021-04-04 22:24:31
0.6%,29.0%,24.1%,46.3%,Placer,2021-04-04,2021-04-03,2021-04-04 22:24:33
0.1%,20.4%,22.0%,57.4%,Plumas,2021-04-04,2021-04-03,2021-04-04 22:24:36
0.5%,33.1%,26.3%,40.1%,Riverside,2021-04-04,2021-04-03,2021-04-04 22:24:38
0.5%,37.8%,25.5%,36.2%,Sacramento,2021-04-04,2021-04-03,2021-04-04 22:24:40
0.3%,39.8%,26.4%,33.5%,San Benito,2021-04-04,2021-04-03,2021-04-04 22:24:43
0.6%,38.2%,27.1%,34.1%,San Bernardino,2021-04-04,2021-04-03,2021-04-04 22:24:45
0.5%,37.8%,23.3%,38.4%,San Diego,2021-04-04,2021-04-03,2021-04-04 22:24:48
0.4%,46.3%,24.2%,29.2%,San Francisco,2021-04-04,2021-04-03,2021-04-04 22:24:50
0.6%,37.4%,26.7%,35.3%,San Joaquin,2021-04-04,2021-04-03,2021-04-04 22:24:53
0.3%,29.0%,22.3%,48.4%,San Luis Obispo,2021-04-04,2021-04-03,2021-04-04 22:24:55
0.6%,39.6%,25.6%,34.1%,San Mateo,2021-04-04,2021-04-03,2021-04-04 22:24:58
0.4%,36.1%,23.8%,39.7%,Santa Barbara,2021-04-04,2021-04-03,2021-04-04 22:25:00
0.7%,39.7%,26.0%,33.6%,Santa Clara,2021-04-04,2021-04-03,2021-04-04 22:25:03
0.5%,36.7%,24.6%,38.2%,Santa Cruz,2021-04-04,2021-04-03,2021-04-04 22:25:05
0.3%,23.9%,23.8%,52.0%,Shasta,2021-04-04,2021-04-03,2021-04-04 22:25:08
0.0%,21.3%,27.9%,50.8%,Sierra,2021-04-04,2021-04-02,2021-04-04 22:25:10
0.4%,22.2%,23.5%,53.9%,Siskiyou,2021-04-04,2021-04-03,2021-04-04 22:25:13
0.4%,34.7%,27.2%,37.7%,Solano,2021-04-04,2021-04-03,2021-04-04 22:25:15
0.5%,33.7%,25.1%,40.7%,Sonoma,2021-04-04,2021-04-03,2021-04-04 22:25:18
0.8%,36.7%,26.7%,35.8%,Stanislaus,2021-04-04,2021-04-03,2021-04-04 22:25:20
0.2%,33.0%,26.8%,40.0%,Sutter,2021-04-04,2021-04-03,2021-04-04 22:25:23
0.3%,25.0%,26.6%,48.1%,Tehama,2021-04-04,2021-04-03,2021-04-04 22:25:25
0.1%,20.3%,24.1%,55.6%,Trinity,2021-04-04,2021-04-02,2021-04-04 22:25:28
0.7%,42.3%,26.5%,30.5%,Tulare,2021-04-04,2021-04-03,2021-04-04 22:25:30
0.1%,19.8%,25.8%,54.3%,Tuolumne,2021-04-04,2021-04-03,2021-04-04 22:25:33
0.6%,36.2%,26.0%,37.2%,Ventura,2021-04-04,2021-04-03,2021-04-04 22:25:35
0.6%,44.1%,23.6%,31.7%,Yolo,2021-04-04,2021-04-03,2021-04-04 22:25:38
0.2%,31.3%,26.9%,41.7%,Yuba,2021-04-04,2021-04-03,2021-04-04 22:25:41
