American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,25.2%,6.5%,11.7%,12.3%,0.6%,28.4%,9.6%,5.5%,Alameda,2021-04-07,2021-04-06,2021-04-07 22:23:21
1.7%,0.7%,0.3%,0.9%,0.3%,0.000%,18.7%,0.8%,76.7%,Alpine,2021-04-07,2021-04-06,2021-04-07 22:23:24
0.9%,1.5%,0.5%,7.7%,4.1%,0.3%,70.6%,8.7%,5.8%,Amador,2021-04-07,2021-04-06,2021-04-07 22:23:26
1.1%,2.8%,0.8%,9.6%,17.5%,0.1%,58.1%,6.6%,3.4%,Butte,2021-04-07,2021-04-06,2021-04-07 22:23:28
0.4%,1.3%,0.4%,5.3%,2.1%,0.2%,56.8%,8.3%,25.1%,Calaveras,2021-04-07,2021-04-06,2021-04-07 22:23:31
0.9%,0.7%,0.5%,33.4%,6.9%,0.1%,30.8%,6.0%,20.7%,Colusa,2021-04-07,2021-04-06,2021-04-07 22:23:33
0.2%,12.9%,5.2%,14.9%,12.5%,0.6%,38.9%,8.7%,6.2%,Contra Costa,2021-04-07,2021-04-06,2021-04-07 22:23:35
6.2%,1.6%,0.6%,6.5%,11.9%,0.1%,59.7%,3.0%,10.3%,Del Norte,2021-04-07,2021-04-06,2021-04-07 22:23:38
0.3%,3.9%,0.6%,6.7%,14.7%,0.3%,61.7%,7.2%,4.6%,El Dorado,2021-04-07,2021-04-06,2021-04-07 22:23:40
0.5%,8.3%,2.3%,36.3%,11.0%,0.2%,28.7%,7.9%,4.8%,Fresno,2021-04-07,2021-04-06,2021-04-07 22:23:43
1.8%,1.5%,0.2%,27.7%,9.9%,0.1%,43.1%,10.8%,4.9%,Glenn,2021-04-07,2021-04-06,2021-04-07 22:23:45
3.1%,1.5%,0.8%,8.1%,14.3%,0.2%,66.0%,2.6%,3.3%,Humboldt,2021-04-07,2021-04-06,2021-04-07 22:23:47
0.2%,0.8%,0.4%,74.3%,2.9%,0.1%,10.0%,7.6%,3.8%,Imperial,2021-04-07,2021-04-06,2021-04-07 22:23:50
1.0%,1.1%,0.2%,11.0%,22.2%,0.2%,55.6%,3.2%,5.5%,Inyo,2021-04-07,2021-04-06,2021-04-07 22:23:52
0.3%,4.4%,2.5%,35.6%,12.7%,0.2%,29.2%,9.2%,5.8%,Kern,2021-04-07,2021-04-06,2021-04-07 22:23:55
0.7%,2.9%,2.2%,45.8%,8.1%,0.2%,27.4%,5.7%,7.1%,Kings,2021-04-07,2021-04-06,2021-04-07 22:23:57
1.8%,1.3%,1.3%,16.9%,16.2%,0.2%,57.6%,2.5%,2.3%,Lake,2021-04-07,2021-04-06,2021-04-07 22:23:59
1.0%,1.6%,0.8%,8.9%,8.1%,0.3%,63.3%,3.2%,12.7%,Lassen,2021-04-07,2021-04-06,2021-04-07 22:24:02
0.2%,13.2%,4.4%,28.9%,18.2%,0.3%,20.1%,11.8%,2.9%,Los Angeles,2021-04-07,2021-04-06,2021-04-07 22:24:04
0.9%,2.1%,1.6%,37.6%,8.0%,0.1%,34.9%,9.6%,5.2%,Madera,2021-04-07,2021-04-06,2021-04-07 22:24:07
0.1%,4.9%,1.1%,11.6%,13.2%,0.2%,59.0%,6.9%,3.0%,Marin,2021-04-07,2021-04-06,2021-04-07 22:24:09
1.7%,1.0%,0.4%,7.9%,3.3%,0.1%,65.1%,4.5%,15.9%,Mariposa,2021-04-07,2021-04-06,2021-04-07 22:24:11
0.8%,1.4%,0.3%,16.4%,16.7%,0.2%,51.3%,5.4%,7.4%,Mendocino,2021-04-07,2021-04-06,2021-04-07 22:24:14
0.4%,6.1%,1.7%,35.0%,0.7%,0.3%,25.0%,8.4%,22.6%,Merced,2021-04-07,2021-04-06,2021-04-07 22:24:16
2.4%,1.9%,1.1%,9.0%,5.4%,0.2%,72.9%,1.7%,5.4%,Modoc,2021-04-07,2021-04-06,2021-04-07 22:24:18
0.4%,1.6%,0.2%,24.5%,12.1%,0.2%,58.9%,1.4%,0.6%,Mono,2021-04-07,2021-04-06,2021-04-07 22:24:21
0.2%,4.4%,1.1%,45.2%,11.2%,0.5%,27.3%,5.0%,5.1%,Monterey,2021-04-07,2021-04-06,2021-04-07 22:24:23
0.2%,5.4%,1.1%,21.2%,8.4%,0.4%,48.1%,7.7%,7.4%,Napa,2021-04-07,2021-04-06,2021-04-07 22:24:25
0.7%,0.9%,0.2%,5.2%,17.9%,0.1%,66.2%,4.6%,4.2%,Nevada,2021-04-07,2021-04-06,2021-04-07 22:24:28
0.1%,19.2%,1.0%,14.9%,16.5%,0.3%,32.5%,8.8%,6.7%,Orange,2021-04-07,2021-04-06,2021-04-07 22:24:30
0.5%,6.8%,1.2%,8.7%,14.6%,0.4%,55.5%,8.0%,4.4%,Placer,2021-04-07,2021-04-06,2021-04-07 22:24:33
0.9%,0.7%,0.4%,2.8%,6.8%,0.1%,75.4%,3.6%,9.3%,Plumas,2021-04-07,2021-04-06,2021-04-07 22:24:35
0.2%,6.1%,3.9%,29.8%,14.9%,0.3%,32.0%,9.0%,3.7%,Riverside,2021-04-07,2021-04-06,2021-04-07 22:24:37
0.4%,14.9%,5.6%,9.9%,11.6%,1.1%,37.6%,12.7%,6.1%,Sacramento,2021-04-07,2021-04-06,2021-04-07 22:24:40
0.3%,2.8%,0.7%,35.3%,6.3%,0.3%,25.5%,11.0%,17.8%,San Benito,2021-04-07,2021-04-06,2021-04-07 22:24:43
0.2%,9.4%,5.0%,32.6%,13.8%,0.3%,25.2%,9.6%,3.9%,San Bernardino,2021-04-07,2021-04-06,2021-04-07 22:24:45
0.4%,12.3%,2.5%,21.3%,0.6%,0.6%,45.4%,8.9%,8.0%,San Diego,2021-04-07,2021-04-06,2021-04-07 22:24:48
0.2%,31.9%,3.4%,12.3%,9.7%,0.3%,31.0%,6.2%,5.0%,San Francisco,2021-04-07,2021-04-06,2021-04-07 22:24:50
0.4%,12.0%,3.9%,16.5%,2.5%,0.9%,24.1%,15.4%,24.3%,San Joaquin,2021-04-07,2021-04-06,2021-04-07 22:24:53
0.2%,1.7%,0.5%,10.0%,14.3%,0.2%,39.6%,11.0%,22.6%,San Luis Obispo,2021-04-07,2021-04-06,2021-04-07 22:24:55
0.2%,20.1%,1.3%,10.7%,20.3%,0.7%,29.6%,11.9%,5.3%,San Mateo,2021-04-07,2021-04-06,2021-04-07 22:24:58
0.2%,3.2%,0.9%,27.9%,18.9%,0.2%,35.6%,9.8%,3.4%,Santa Barbara,2021-04-07,2021-04-06,2021-04-07 22:25:00
0.2%,30.2%,1.6%,13.2%,15.0%,0.4%,26.0%,8.8%,4.6%,Santa Clara,2021-04-07,2021-04-06,2021-04-07 22:25:03
0.2%,2.4%,0.4%,22.1%,16.6%,0.1%,43.7%,9.3%,5.2%,Santa Cruz,2021-04-07,2021-04-06,2021-04-07 22:25:05
0.7%,1.8%,0.5%,4.6%,24.0%,0.1%,52.1%,8.3%,7.7%,Shasta,2021-04-07,2021-04-06,2021-04-07 22:25:07
0.6%,1.0%,0.1%,8.0%,9.7%,0.000%,75.4%,2.7%,2.7%,Sierra,2021-04-07,2021-04-06,2021-04-07 22:25:10
1.6%,0.9%,0.6%,7.5%,8.9%,0.05%,62.8%,4.0%,13.8%,Siskiyou,2021-04-07,2021-04-06,2021-04-07 22:25:12
0.4%,14.7%,8.9%,11.1%,9.4%,1.2%,34.5%,13.7%,6.2%,Solano,2021-04-07,2021-04-06,2021-04-07 22:25:15
0.5%,2.9%,0.9%,15.2%,13.1%,0.3%,54.1%,9.0%,4.1%,Sonoma,2021-04-07,2021-04-06,2021-04-07 22:25:17
0.5%,5.6%,1.8%,26.5%,0.9%,0.7%,36.8%,10.4%,16.9%,Stanislaus,2021-04-07,2021-04-06,2021-04-07 22:25:19
0.6%,14.7%,1.1%,19.4%,15.1%,0.3%,40.1%,5.9%,2.8%,Sutter,2021-04-07,2021-04-06,2021-04-07 22:25:22
1.0%,0.9%,0.3%,13.6%,10.2%,0.2%,54.3%,8.6%,11.0%,Tehama,2021-04-07,2021-04-06,2021-04-07 22:25:24
1.8%,1.4%,0.2%,3.4%,10.8%,0.2%,76.0%,1.1%,5.0%,Trinity,2021-04-07,2021-04-06,2021-04-07 22:25:26
0.2%,2.8%,0.7%,49.1%,8.1%,0.1%,28.6%,5.5%,4.7%,Tulare,2021-04-07,2021-04-06,2021-04-07 22:25:29
0.5%,1.4%,0.3%,4.7%,1.8%,0.4%,78.5%,6.0%,6.4%,Tuolumne,2021-04-07,2021-04-06,2021-04-07 22:25:31
0.1%,5.7%,1.0%,30.7%,18.8%,0.3%,34.9%,7.3%,1.2%,Ventura,2021-04-07,2021-04-06,2021-04-07 22:25:34
0.5%,8.0%,1.3%,16.0%,9.6%,0.4%,35.9%,11.0%,17.3%,Yolo,2021-04-07,2021-04-06,2021-04-07 22:25:36
1.2%,5.4%,2.4%,19.5%,11.5%,0.4%,52.6%,4.6%,2.5%,Yuba,2021-04-07,2021-04-06,2021-04-07 22:25:38
