0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.3%,39.2%,20.7%,39.7%,Alameda,2021-03-19,2021-03-18,2021-03-20 02:34:08
0.2%,32.7%,33.5%,33.5%,Alpine,2021-03-19,2021-03-18,2021-03-20 02:34:11
0%,16.9%,18.8%,64.2%,Amador,2021-03-19,2021-03-18,2021-03-20 02:34:15
0.1%,30.9%,20%,49%,Butte,2021-03-19,2021-03-18,2021-03-20 02:34:19
0.2%,14.3%,19.4%,66%,Calaveras,2021-03-19,2021-03-18,2021-03-20 02:34:22
0.1%,32.9%,22.1%,44.9%,Colusa,2021-03-19,2021-03-18,2021-03-20 02:34:26
0.4%,31.7%,22.1%,45.9%,Contra Costa,2021-03-19,2021-03-18,2021-03-20 02:34:30
0.2%,34.4%,20.9%,44.5%,Del Norte,2021-03-19,2021-03-18,2021-03-20 02:34:33
0.2%,22%,21.5%,56.3%,El Dorado,2021-03-19,2021-03-18,2021-03-20 02:34:37
0.3%,38.2%,23.7%,37.9%,Fresno,2021-03-19,2021-03-18,2021-03-20 02:34:40
0.2%,34.4%,20.9%,44.5%,Glenn,2021-03-19,2021-03-18,2021-03-20 02:34:44
0.2%,34.4%,20.9%,44.5%,Humboldt,2021-03-19,2021-03-18,2021-03-20 02:34:48
0.2%,34.4%,20.9%,44.5%,Imperial,2021-03-19,2021-03-18,2021-03-20 02:34:51
0.1%,24.9%,18%,56.9%,Inyo,2021-03-19,2021-03-18,2021-03-20 02:34:55
0.2%,36.3%,22.7%,40.7%,Kern,2021-03-19,2021-03-18,2021-03-20 02:34:58
0.2%,38.9%,26%,34.9%,Kings,2021-03-19,2021-03-18,2021-03-20 02:35:02
0.1%,22.6%,19.9%,57.4%,Lake,2021-03-19,2021-03-18,2021-03-20 02:35:05
0%,20.6%,21.5%,57.9%,Lassen,2021-03-19,2021-03-18,2021-03-20 02:35:09
0.2%,37.6%,21.4%,40.8%,Los Angeles,2021-03-19,2021-03-18,2021-03-20 02:35:13
0.2%,31.1%,23.1%,45.6%,Madera,2021-03-19,2021-03-18,2021-03-20 02:35:16
0.2%,34.4%,20.9%,44.5%,Marin,2021-03-19,2021-03-18,2021-03-20 02:35:20
