0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.6%,26.4%,29.3%,0.000%,Alameda,2021-04-08,2021-04-07,2021-04-08 16:38:09
0.6%,39.8%,26.8%,32.8%,0.004%,Alpine,2021-04-08,2021-04-06,2021-04-08 16:38:12
0.1%,19.2%,25.8%,54.9%,0.000%,Amador,2021-04-08,2021-04-07,2021-04-08 16:38:14
0.6%,39.8%,26.8%,32.8%,0.004%,Butte,2021-04-08,2021-04-07,2021-04-08 16:38:17
0.6%,39.8%,26.8%,32.8%,0.004%,Calaveras,2021-04-08,2021-04-07,2021-04-08 16:38:19
0.2%,37.8%,26.8%,35.2%,0.000%,Colusa,2021-04-08,2021-04-07,2021-04-08 16:38:22
0.6%,39.8%,26.8%,32.8%,0.004%,Contra Costa,2021-04-08,2021-04-07,2021-04-08 16:38:25
0.6%,39.8%,26.8%,32.8%,0.004%,Del Norte,2021-04-08,2021-04-07,2021-04-08 16:38:28
0.5%,25.4%,28.2%,45.9%,0.000%,El Dorado,2021-04-08,2021-04-07,2021-04-08 16:38:30
0.6%,39.8%,26.8%,32.8%,0.004%,Fresno,2021-04-08,2021-04-07,2021-04-08 16:38:33
0.6%,39.8%,26.8%,32.8%,0.004%,Glenn,2021-04-08,2021-04-07,2021-04-08 16:38:36
0.6%,39.8%,26.8%,32.8%,0.004%,Humboldt,2021-04-08,2021-04-07,2021-04-08 16:38:38
0.6%,39.8%,26.8%,32.8%,0.004%,Imperial,2021-04-08,2021-04-07,2021-04-08 16:38:41
0.3%,28.7%,25.4%,45.6%,0.000%,Inyo,2021-04-08,2021-04-07,2021-04-08 16:38:44
0.6%,39.8%,26.8%,32.8%,0.004%,Kern,2021-04-08,2021-04-07,2021-04-08 16:38:46
0.5%,43.6%,29.0%,26.9%,0.000%,Kings,2021-04-08,2021-04-07,2021-04-08 16:38:49
0.6%,39.8%,26.8%,32.8%,0.004%,Lake,2021-04-08,2021-04-07,2021-04-08 16:38:52
0.6%,39.8%,26.8%,32.8%,0.004%,Lassen,2021-04-08,2021-04-07,2021-04-08 16:38:54
0.6%,39.8%,26.8%,32.8%,0.004%,Los Angeles,2021-04-08,2021-04-07,2021-04-08 16:38:57
0.6%,39.8%,26.8%,32.8%,0.004%,Madera,2021-04-08,2021-04-07,2021-04-08 16:39:00
1.2%,32.9%,29.0%,36.9%,0.000%,Marin,2021-04-08,2021-04-07,2021-04-08 16:39:03
0.2%,19.6%,25.3%,54.9%,0.02%,Mariposa,2021-04-08,2021-04-07,2021-04-08 16:39:05
0.6%,39.8%,26.8%,32.8%,0.004%,Mendocino,2021-04-08,2021-04-07,2021-04-08 16:39:08
0.6%,41.2%,26.2%,32.0%,0.000%,Merced,2021-04-08,2021-04-07,2021-04-08 16:39:11
0.1%,20.4%,26.6%,52.8%,0.000%,Modoc,2021-04-08,2021-04-06,2021-04-08 16:39:13
1.4%,46.4%,29.4%,22.8%,0.000%,Mono,2021-04-08,2021-04-07,2021-04-08 16:39:16
0.5%,42.8%,25.8%,30.9%,0.000%,Monterey,2021-04-08,2021-04-07,2021-04-08 16:39:19
0.5%,37.6%,25.7%,36.1%,0.000%,Napa,2021-04-08,2021-04-07,2021-04-08 16:39:22
0.6%,39.8%,26.8%,32.8%,0.004%,Nevada,2021-04-08,2021-04-07,2021-04-08 16:39:25
0.6%,39.8%,26.8%,32.8%,0.004%,Orange,2021-04-08,2021-04-07,2021-04-08 16:39:27
0.6%,29.6%,25.7%,44.1%,0.000%,Placer,2021-04-08,2021-04-07,2021-04-08 16:39:30
0.6%,39.8%,26.8%,32.8%,0.004%,Plumas,2021-04-08,2021-04-07,2021-04-08 16:39:33
