Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
54.9%,44.8%,0.3%,Alameda,2021-04-13,2021-04-12,2021-04-14 14:19:58
47.0%,52.8%,0.3%,Alpine,2021-04-13,2021-04-09,2021-04-14 14:20:00
55.2%,44.6%,0.2%,Amador,2021-04-13,2021-04-12,2021-04-14 14:20:03
55.4%,44.5%,0.1%,Butte,2021-04-13,2021-04-12,2021-04-14 14:20:06
54.0%,45.3%,0.7%,Calaveras,2021-04-13,2021-04-12,2021-04-14 14:20:08
50.4%,49.0%,0.6%,Colusa,2021-04-13,2021-04-12,2021-04-14 14:20:11
55.0%,44.9%,0.1%,Contra Costa,2021-04-13,2021-04-12,2021-04-14 14:20:14
53.6%,46.3%,0.1%,Del Norte,2021-04-13,2021-04-12,2021-04-14 14:20:16
54.7%,45.3%,0.1%,El Dorado,2021-04-13,2021-04-12,2021-04-14 14:20:19
54.9%,45.0%,0.1%,Fresno,2021-04-13,2021-04-12,2021-04-14 14:20:22
54.3%,45.6%,0.05%,Glenn,2021-04-13,2021-04-12,2021-04-14 14:20:24
55.7%,44.1%,0.2%,Humboldt,2021-04-13,2021-04-12,2021-04-14 14:20:27
52.9%,47.1%,0.04%,Imperial,2021-04-13,2021-04-12,2021-04-14 14:20:29
51.9%,48.0%,0.1%,Inyo,2021-04-13,2021-04-12,2021-04-14 14:20:32
54.3%,45.1%,0.6%,Kern,2021-04-13,2021-04-12,2021-04-14 14:20:34
54.1%,45.5%,0.4%,Kings,2021-04-13,2021-04-12,2021-04-14 14:20:37
54.0%,45.9%,0.1%,Lake,2021-04-13,2021-04-12,2021-04-14 14:20:39
52.1%,47.7%,0.2%,Lassen,2021-04-13,2021-04-12,2021-04-14 14:20:42
54.6%,45.1%,0.2%,Los Angeles,2021-04-13,2021-04-12,2021-04-14 14:20:44
54.3%,45.7%,0.1%,Madera,2021-04-13,2021-04-12,2021-04-14 14:20:47
55.0%,44.9%,0.1%,Marin,2021-04-13,2021-04-12,2021-04-14 14:20:49
53.5%,46.1%,0.3%,Mariposa,2021-04-13,2021-04-12,2021-04-14 14:20:52
54.5%,45.1%,0.4%,Mendocino,2021-04-13,2021-04-12,2021-04-14 14:20:54
54.6%,45.0%,0.4%,Merced,2021-04-13,2021-04-12,2021-04-14 14:20:57
52.6%,47.4%,0.000%,Modoc,2021-04-13,2021-04-12,2021-04-14 14:20:59
47.8%,52.2%,0.01%,Mono,2021-04-13,2021-04-10,2021-04-14 14:21:02
52.8%,45.7%,1.6%,Monterey,2021-04-13,2021-04-12,2021-04-14 14:21:04
53.0%,46.9%,0.1%,Napa,2021-04-13,2021-04-12,2021-04-14 14:21:07
55.3%,44.6%,0.1%,Nevada,2021-04-13,2021-04-12,2021-04-14 14:21:09
54.2%,44.7%,1.1%,Orange,2021-04-13,2021-04-12,2021-04-14 14:21:12
56.1%,43.9%,0.1%,Placer,2021-04-13,2021-04-12,2021-04-14 14:21:15
53.5%,46.4%,0.1%,Plumas,2021-04-13,2021-04-10,2021-04-14 14:21:17
54.3%,45.6%,0.1%,Riverside,2021-04-13,2021-04-12,2021-04-14 14:21:20
56.2%,43.6%,0.2%,Sacramento,2021-04-13,2021-04-12,2021-04-14 14:21:22
54.6%,45.1%,0.2%,San Benito,2021-04-13,2021-04-12,2021-04-14 14:21:25
55.6%,44.2%,0.2%,San Bernardino,2021-04-13,2021-04-12,2021-04-14 14:21:27
55.6%,43.5%,0.8%,San Diego,2021-04-13,2021-04-12,2021-04-14 14:21:30
51.3%,48.4%,0.3%,San Francisco,2021-04-13,2021-04-12,2021-04-14 14:21:32
55.1%,44.0%,0.9%,San Joaquin,2021-04-13,2021-04-12,2021-04-14 14:21:35
55.2%,44.6%,0.2%,San Luis Obispo,2021-04-13,2021-04-12,2021-04-14 14:21:37
55.0%,44.9%,0.1%,San Mateo,2021-04-13,2021-04-12,2021-04-14 14:21:40
54.3%,45.6%,0.1%,Santa Barbara,2021-04-13,2021-04-12,2021-04-14 14:21:42
54.1%,45.8%,0.1%,Santa Clara,2021-04-13,2021-04-12,2021-04-14 14:21:45
55.1%,44.5%,0.3%,Santa Cruz,2021-04-13,2021-04-12,2021-04-14 14:21:47
56.6%,43.3%,0.1%,Shasta,2021-04-13,2021-04-12,2021-04-14 14:21:50
52.3%,47.6%,0.1%,Sierra,2021-04-13,2021-04-12,2021-04-14 14:21:52
54.4%,45.6%,0.1%,Siskiyou,2021-04-13,2021-04-12,2021-04-14 14:21:55
55.8%,43.7%,0.5%,Solano,2021-04-13,2021-04-12,2021-04-14 14:21:58
55.3%,44.6%,0.1%,Sonoma,2021-04-13,2021-04-12,2021-04-14 14:22:00
55.3%,44.2%,0.5%,Stanislaus,2021-04-13,2021-04-12,2021-04-14 14:22:03
54.7%,45.1%,0.2%,Sutter,2021-04-13,2021-04-12,2021-04-14 14:22:05
55.1%,44.8%,0.1%,Tehama,2021-04-13,2021-04-12,2021-04-14 14:22:08
50.1%,49.8%,0.1%,Trinity,2021-04-13,2021-04-12,2021-04-14 14:22:10
54.3%,45.6%,0.1%,Tulare,2021-04-13,2021-04-12,2021-04-14 14:22:13
54.4%,45.4%,0.1%,Tuolumne,2021-04-13,2021-04-12,2021-04-14 14:22:15
54.7%,45.2%,0.05%,Ventura,2021-04-13,2021-04-12,2021-04-14 14:22:18
55.1%,43.2%,1.7%,Yolo,2021-04-13,2021-04-12,2021-04-14 14:22:20
55.9%,44.0%,0.1%,Yuba,2021-04-13,2021-04-12,2021-04-14 14:22:23
