Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
56.1%,43.6%,0.3%,Alameda,2021-04-03,2021-04-02,2021-04-04 06:24:52
47.0%,52.5%,0.4%,Alpine,2021-04-03,2021-04-01,2021-04-04 06:24:54
55.8%,44.1%,0.1%,Amador,2021-04-03,2021-04-02,2021-04-04 06:24:56
56.0%,43.9%,0.1%,Butte,2021-04-03,2021-04-02,2021-04-04 06:24:59
54.4%,44.9%,0.8%,Calaveras,2021-04-03,2021-04-02,2021-04-04 06:25:02
51.1%,47.3%,1.6%,Colusa,2021-04-03,2021-04-02,2021-04-04 06:25:04
56.1%,43.8%,0.1%,Contra Costa,2021-04-03,2021-04-02,2021-04-04 06:25:06
53.7%,46.2%,0.1%,Del Norte,2021-04-03,2021-04-02,2021-04-04 06:25:10
55.1%,44.8%,0.1%,El Dorado,2021-04-03,2021-04-02,2021-04-04 06:25:13
55.4%,44.5%,0.1%,Fresno,2021-04-03,2021-04-02,2021-04-04 06:25:15
54.8%,45.1%,0.1%,Glenn,2021-04-03,2021-04-02,2021-04-04 06:25:18
56.7%,43.1%,0.1%,Humboldt,2021-04-03,2021-04-02,2021-04-04 06:25:20
53.4%,46.5%,0.0%,Imperial,2021-04-03,2021-04-02,2021-04-04 06:25:23
52.7%,47.2%,0.1%,Inyo,2021-04-03,2021-04-02,2021-04-04 06:25:26
54.8%,44.6%,0.6%,Kern,2021-04-03,2021-04-02,2021-04-04 06:25:28
54.3%,45.3%,0.3%,Kings,2021-04-03,2021-04-02,2021-04-04 06:25:31
54.1%,45.9%,0.1%,Lake,2021-04-03,2021-04-02,2021-04-04 06:25:33
52.6%,47.2%,0.2%,Lassen,2021-04-03,2021-04-02,2021-04-04 06:25:36
55.4%,44.4%,0.2%,Los Angeles,2021-04-03,2021-04-02,2021-04-04 06:25:38
54.6%,45.3%,0.1%,Madera,2021-04-03,2021-04-02,2021-04-04 06:25:41
56.0%,43.9%,0.1%,Marin,2021-04-03,2021-04-02,2021-04-04 06:25:43
53.4%,46.2%,0.4%,Mariposa,2021-04-03,2021-04-02,2021-04-04 06:25:45
53.8%,45.5%,0.7%,Mendocino,2021-04-03,2021-04-02,2021-04-04 06:25:48
54.9%,44.7%,0.4%,Merced,2021-04-03,2021-04-02,2021-04-04 06:25:51
52.5%,47.5%,0.0%,Modoc,2021-04-03,2021-04-01,2021-04-04 06:25:53
47.4%,52.6%,0.0%,Mono,2021-04-03,2021-04-01,2021-04-04 06:25:56
53.6%,43.5%,2.9%,Monterey,2021-04-03,2021-04-02,2021-04-04 06:25:58
53.2%,46.7%,0.1%,Napa,2021-04-03,2021-04-02,2021-04-04 06:26:01
56.0%,43.9%,0.1%,Nevada,2021-04-03,2021-04-02,2021-04-04 06:26:03
55.1%,44.1%,0.9%,Orange,2021-04-03,2021-04-02,2021-04-04 06:26:07
56.7%,43.3%,0.1%,Placer,2021-04-03,2021-04-02,2021-04-04 06:26:09
54.0%,45.9%,0.1%,Plumas,2021-04-03,2021-04-02,2021-04-04 06:26:12
55.0%,44.9%,0.1%,Riverside,2021-04-03,2021-04-02,2021-04-04 06:26:15
55.3%,44.3%,0.4%,Sacramento,2021-04-03,2021-04-02,2021-04-04 06:26:17
55.5%,44.2%,0.3%,San Benito,2021-04-03,2021-04-02,2021-04-04 06:26:19
56.3%,43.5%,0.2%,San Bernardino,2021-04-03,2021-04-02,2021-04-04 06:26:22
56.6%,42.7%,0.8%,San Diego,2021-04-03,2021-04-02,2021-04-04 06:26:24
52.3%,47.4%,0.3%,San Francisco,2021-04-03,2021-04-02,2021-04-04 06:26:27
56.0%,43.2%,0.9%,San Joaquin,2021-04-03,2021-04-02,2021-04-04 06:26:29
55.8%,44.1%,0.1%,San Luis Obispo,2021-04-03,2021-04-02,2021-04-04 06:26:32
56.1%,43.9%,0.1%,San Mateo,2021-04-03,2021-04-02,2021-04-04 06:26:34
55.4%,44.4%,0.1%,Santa Barbara,2021-04-03,2021-04-02,2021-04-04 06:26:37
55.8%,44.2%,0.1%,Santa Clara,2021-04-03,2021-04-02,2021-04-04 06:26:39
56.2%,43.4%,0.4%,Santa Cruz,2021-04-03,2021-04-02,2021-04-04 06:26:42
57.0%,42.9%,0.1%,Shasta,2021-04-03,2021-04-02,2021-04-04 06:26:45
52.1%,47.8%,0.2%,Sierra,2021-04-03,2021-04-01,2021-04-04 06:26:47
54.5%,45.4%,0.0%,Siskiyou,2021-04-03,2021-04-02,2021-04-04 06:26:50
56.5%,43.0%,0.6%,Solano,2021-04-03,2021-04-02,2021-04-04 06:26:52
56.1%,43.8%,0.1%,Sonoma,2021-04-03,2021-04-02,2021-04-04 06:26:55
55.9%,43.7%,0.4%,Stanislaus,2021-04-03,2021-04-02,2021-04-04 06:26:58
55.2%,44.4%,0.4%,Sutter,2021-04-03,2021-04-02,2021-04-04 06:27:00
55.3%,44.6%,0.1%,Tehama,2021-04-03,2021-04-02,2021-04-04 06:27:03
50.2%,49.6%,0.2%,Trinity,2021-04-03,2021-04-02,2021-04-04 06:27:06
54.7%,45.3%,0.1%,Tulare,2021-04-03,2021-04-02,2021-04-04 06:27:08
54.6%,45.3%,0.1%,Tuolumne,2021-04-03,2021-04-02,2021-04-04 06:27:11
55.4%,44.5%,0.0%,Ventura,2021-04-03,2021-04-02,2021-04-04 06:27:14
54.9%,41.7%,3.4%,Yolo,2021-04-03,2021-04-02,2021-04-04 06:27:16
56.8%,42.9%,0.3%,Yuba,2021-04-03,2021-04-02,2021-04-04 06:27:19
