0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.6%,26.4%,29.3%,0.000%,Alameda,2021-04-08,2021-04-07,2021-04-08 22:23:24
0.1%,35.3%,35.1%,29.5%,0.000%,Alpine,2021-04-08,2021-04-06,2021-04-08 22:23:26
0.6%,39.8%,26.8%,32.8%,0.004%,Amador,2021-04-08,2021-04-07,2021-04-08 22:23:29
0.7%,35.0%,24.8%,39.6%,0.000%,Butte,2021-04-08,2021-04-07,2021-04-08 22:23:31
0.4%,17.0%,25.9%,56.7%,0.000%,Calaveras,2021-04-08,2021-04-07,2021-04-08 22:23:34
0.2%,37.8%,26.8%,35.2%,0.000%,Colusa,2021-04-08,2021-04-07,2021-04-08 22:23:36
1.0%,37.7%,29.3%,32.0%,0.000%,Contra Costa,2021-04-08,2021-04-07,2021-04-08 22:23:39
0.1%,25.7%,27.4%,46.7%,0.000%,Del Norte,2021-04-08,2021-04-07,2021-04-08 22:23:41
0.5%,25.4%,28.2%,45.9%,0.000%,El Dorado,2021-04-08,2021-04-07,2021-04-08 22:23:44
0.6%,39.8%,26.8%,32.8%,0.004%,Fresno,2021-04-08,2021-04-07,2021-04-08 22:23:46
0.3%,31.7%,27.0%,41.0%,0.000%,Glenn,2021-04-08,2021-04-07,2021-04-08 22:23:49
0.3%,36.7%,23.2%,39.8%,0.000%,Humboldt,2021-04-08,2021-04-07,2021-04-08 22:23:51
0.3%,41.4%,25.8%,32.5%,0.000%,Imperial,2021-04-08,2021-04-07,2021-04-08 22:23:54
0.3%,28.7%,25.4%,45.6%,0.000%,Inyo,2021-04-08,2021-04-07,2021-04-08 22:23:56
0.9%,41.3%,26.9%,30.8%,0.000%,Kern,2021-04-08,2021-04-07,2021-04-08 22:23:59
0.5%,43.6%,29.0%,26.9%,0.000%,Kings,2021-04-08,2021-04-07,2021-04-08 22:24:01
0.2%,24.7%,28.2%,46.9%,0.000%,Lake,2021-04-08,2021-04-07,2021-04-08 22:24:04
0.1%,24.0%,27.5%,48.4%,0.000%,Lassen,2021-04-08,2021-04-07,2021-04-08 22:24:06
0.6%,42.9%,27.3%,29.3%,0.000%,Los Angeles,2021-04-08,2021-04-07,2021-04-08 22:24:09
0.5%,35.8%,26.6%,37.1%,0.000%,Madera,2021-04-08,2021-04-07,2021-04-08 22:24:11
1.2%,32.9%,29.0%,36.9%,0.000%,Marin,2021-04-08,2021-04-07,2021-04-08 22:24:14
0.2%,19.6%,25.3%,54.9%,0.02%,Mariposa,2021-04-08,2021-04-07,2021-04-08 22:24:16
0.6%,32.3%,24.5%,42.6%,0.000%,Mendocino,2021-04-08,2021-04-07,2021-04-08 22:24:19
0.6%,41.2%,26.2%,32.0%,0.000%,Merced,2021-04-08,2021-04-07,2021-04-08 22:24:21
0.1%,20.4%,26.6%,52.8%,0.000%,Modoc,2021-04-08,2021-04-06,2021-04-08 22:24:24
1.4%,46.4%,29.4%,22.8%,0.000%,Mono,2021-04-08,2021-04-07,2021-04-08 22:24:26
0.5%,42.8%,25.8%,30.9%,0.000%,Monterey,2021-04-08,2021-04-07,2021-04-08 22:24:29
0.6%,39.8%,26.8%,32.8%,0.004%,Napa,2021-04-08,2021-04-07,2021-04-08 22:24:31
0.7%,24.4%,24.5%,50.4%,0.000%,Nevada,2021-04-08,2021-04-07,2021-04-08 22:24:34
0.7%,39.3%,26.8%,33.2%,0.000%,Orange,2021-04-08,2021-04-07,2021-04-08 22:24:36
0.6%,29.6%,25.7%,44.1%,0.000%,Placer,2021-04-08,2021-04-07,2021-04-08 22:24:39
0.1%,20.7%,23.2%,56.0%,0.000%,Plumas,2021-04-08,2021-04-07,2021-04-08 22:24:41
0.6%,39.8%,26.8%,32.8%,0.004%,Riverside,2021-04-08,2021-04-07,2021-04-08 22:24:44
0.7%,38.6%,26.6%,34.2%,0.000%,Sacramento,2021-04-08,2021-04-07,2021-04-08 22:24:46
0.4%,40.2%,27.4%,32.0%,0.000%,San Benito,2021-04-08,2021-04-07,2021-04-08 22:24:49
0.7%,38.6%,28.4%,32.3%,0.000%,San Bernardino,2021-04-08,2021-04-07,2021-04-08 22:24:51
0.6%,38.6%,24.5%,36.3%,0.000%,San Diego,2021-04-08,2021-04-07,2021-04-08 22:24:54
0.4%,47.0%,25.2%,27.4%,0.000%,San Francisco,2021-04-08,2021-04-07,2021-04-08 22:24:56
0.6%,37.8%,27.6%,34.0%,0.004%,San Joaquin,2021-04-08,2021-04-07,2021-04-08 22:24:59
0.4%,30.2%,23.7%,45.7%,0.000%,San Luis Obispo,2021-04-08,2021-04-07,2021-04-08 22:25:01
0.7%,40.0%,27.4%,31.9%,0.000%,San Mateo,2021-04-08,2021-04-07,2021-04-08 22:25:04
0.4%,37.9%,25.4%,36.3%,0.000%,Santa Barbara,2021-04-08,2021-04-07,2021-04-08 22:25:06
0.8%,40.3%,28.2%,30.8%,0.000%,Santa Clara,2021-04-08,2021-04-07,2021-04-08 22:25:09
0.6%,39.8%,26.8%,32.8%,0.004%,Santa Cruz,2021-04-08,2021-04-07,2021-04-08 22:25:11
0.4%,24.1%,24.9%,50.7%,0.000%,Shasta,2021-04-08,2021-04-07,2021-04-08 22:25:14
0.6%,39.8%,26.8%,32.8%,0.004%,Sierra,2021-04-08,2021-04-07,2021-04-08 22:25:16
0.5%,22.6%,24.6%,52.3%,0.000%,Siskiyou,2021-04-08,2021-04-07,2021-04-08 22:25:19
0.4%,35.4%,28.2%,36.0%,0.000%,Solano,2021-04-08,2021-04-07,2021-04-08 22:25:21
0.6%,39.8%,26.8%,32.8%,0.004%,Sonoma,2021-04-08,2021-04-07,2021-04-08 22:25:23
0.6%,39.8%,26.8%,32.8%,0.004%,Stanislaus,2021-04-08,2021-04-07,2021-04-08 22:25:26
0.2%,34.3%,27.4%,38.0%,0.000%,Sutter,2021-04-08,2021-04-07,2021-04-08 22:25:28
0.4%,25.0%,27.4%,47.2%,0.000%,Tehama,2021-04-08,2021-04-07,2021-04-08 22:25:31
0.6%,39.8%,26.8%,32.8%,0.004%,Trinity,2021-04-08,2021-04-07,2021-04-08 22:25:34
0.8%,42.9%,26.9%,29.4%,0.000%,Tulare,2021-04-08,2021-04-07,2021-04-08 22:25:36
0.4%,20.7%,26.1%,52.7%,0.000%,Tuolumne,2021-04-08,2021-04-07,2021-04-08 22:25:39
0.7%,36.3%,28.0%,35.0%,0.000%,Ventura,2021-04-08,2021-04-07,2021-04-08 22:25:41
0.7%,45.6%,24.4%,29.3%,0.000%,Yolo,2021-04-08,2021-04-07,2021-04-08 22:25:44
0.2%,32.4%,28.1%,39.3%,0.000%,Yuba,2021-04-08,2021-04-07,2021-04-08 22:25:46
