0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,40.3%,22.1%,37.2%,Alameda,2021-03-24,2021-03-23,2021-03-24 16:47:45
0.2%,33.3%,33.4%,33.1%,Alpine,2021-03-24,2021-03-22,2021-03-24 16:47:49
0.1%,17.6%,20.5%,61.8%,Amador,2021-03-24,2021-03-23,2021-03-24 16:47:52
0.2%,31.2%,22%,46.6%,Butte,2021-03-24,2021-03-23,2021-03-24 16:47:57
0.2%,15.1%,20.6%,64.1%,Calaveras,2021-03-24,2021-03-23,2021-03-24 16:48:01
0.1%,34.6%,22.9%,42.4%,Colusa,2021-03-24,2021-03-23,2021-03-24 16:48:04
0.4%,33.1%,23.8%,42.6%,Contra Costa,2021-03-24,2021-03-23,2021-03-24 16:48:07
0.3%,36.2%,22.5%,41%,Del Norte,2021-03-24,2021-03-23,2021-03-24 16:48:11
0.3%,23.1%,23.4%,53.2%,El Dorado,2021-03-24,2021-03-23,2021-03-24 16:48:14
0.3%,36.2%,22.5%,41%,Fresno,2021-03-24,2021-03-23,2021-03-24 16:48:18
0.1%,27.6%,22.8%,49.5%,Glenn,2021-03-24,2021-03-23,2021-03-24 16:48:22
0.1%,32.3%,18.7%,48.9%,Humboldt,2021-03-24,2021-03-23,2021-03-24 16:48:25
0.1%,37.4%,21.5%,41%,Imperial,2021-03-24,2021-03-23,2021-03-24 16:48:29
0.1%,26.1%,19.4%,54.4%,Inyo,2021-03-24,2021-03-23,2021-03-24 16:48:32
0.3%,37.5%,24%,38.1%,Kern,2021-03-24,2021-03-23,2021-03-24 16:48:36
0.3%,41.2%,27.2%,31.3%,Kings,2021-03-24,2021-03-23,2021-03-24 16:48:39
0.2%,23.8%,23%,53%,Lake,2021-03-24,2021-03-23,2021-03-24 16:48:43
0%,22%,24%,53.9%,Lassen,2021-03-24,2021-03-23,2021-03-24 16:48:46
0.3%,39.6%,23%,37.1%,Los Angeles,2021-03-24,2021-03-23,2021-03-24 16:48:50
0.3%,32.6%,24.5%,42.6%,Madera,2021-03-24,2021-03-23,2021-03-24 16:48:53
0.8%,28.9%,23.9%,46.5%,Marin,2021-03-24,2021-03-23,2021-03-24 16:48:57
0.2%,18.5%,19.5%,61.9%,Mariposa,2021-03-24,2021-03-23,2021-03-24 16:49:00
0.6%,33.1%,24%,42.2%,Mendocino,2021-03-24,2021-03-23,2021-03-24 16:49:03
0.3%,36.8%,24.7%,38.1%,Merced,2021-03-24,2021-03-23,2021-03-24 16:49:07
0.1%,18.7%,25.3%,55.9%,Modoc,2021-03-24,2021-03-23,2021-03-24 16:49:10
0.3%,36.2%,22.5%,41%,Mono,2021-03-24,2021-03-23,2021-03-24 16:49:14
0.2%,38.1%,22%,39.7%,Monterey,2021-03-24,2021-03-23,2021-03-24 16:49:17
0.3%,34.8%,22.5%,42.4%,Napa,2021-03-24,2021-03-23,2021-03-24 16:49:21
0.3%,20.6%,18.8%,60.3%,Nevada,2021-03-24,2021-03-23,2021-03-24 16:49:24
0.3%,34.7%,22.3%,42.8%,Orange,2021-03-24,2021-03-23,2021-03-24 16:49:28
0.4%,27.7%,21.4%,50.5%,Placer,2021-03-24,2021-03-23,2021-03-24 16:49:31
0.3%,36.2%,22.5%,41%,Plumas,2021-03-24,2021-03-23,2021-03-24 16:49:35
0.2%,30.6%,22.6%,46.6%,Riverside,2021-03-24,2021-03-23,2021-03-24 16:49:39
0.3%,36.1%,23.3%,40.3%,Sacramento,2021-03-24,2021-03-23,2021-03-24 16:49:42
0.1%,36.9%,23.3%,39.7%,San Benito,2021-03-24,2021-03-23,2021-03-24 16:49:46
0.3%,36.1%,23.6%,40%,San Bernardino,2021-03-24,2021-03-23,2021-03-24 16:49:49
0.3%,34.7%,20%,45%,San Diego,2021-03-24,2021-03-23,2021-03-24 16:49:52
0.3%,43.5%,21.9%,34.3%,San Francisco,2021-03-24,2021-03-23,2021-03-24 16:49:56
0.4%,34.8%,25.1%,39.7%,San Joaquin,2021-03-24,2021-03-23,2021-03-24 16:49:59
0.1%,25.1%,17%,57.7%,San Luis Obispo,2021-03-24,2021-03-23,2021-03-24 16:50:03
0.4%,36.8%,22.4%,40.3%,San Mateo,2021-03-24,2021-03-23,2021-03-24 16:50:06
0.2%,32.6%,18.4%,48.8%,Santa Barbara,2021-03-24,2021-03-23,2021-03-24 16:50:09
0.3%,35.4%,22.1%,42.2%,Santa Clara,2021-03-24,2021-03-23,2021-03-24 16:50:13
0.3%,34.2%,21.3%,44.2%,Santa Cruz,2021-03-24,2021-03-23,2021-03-24 16:50:16
0.2%,23.1%,21.4%,55.3%,Shasta,2021-03-24,2021-03-23,2021-03-24 16:50:20
0%,19%,27.5%,53.5%,Sierra,2021-03-24,2021-03-23,2021-03-24 16:50:23
0.4%,20.3%,22.8%,56.5%,Siskiyou,2021-03-24,2021-03-23,2021-03-24 16:50:26
0.3%,32.6%,25.1%,42%,Solano,2021-03-24,2021-03-23,2021-03-24 16:50:30
0.3%,31.1%,22.5%,46.1%,Sonoma,2021-03-24,2021-03-23,2021-03-24 16:50:33
0.5%,33.9%,25.2%,40.4%,Stanislaus,2021-03-24,2021-03-23,2021-03-24 16:50:36
0.3%,36.2%,22.5%,41%,Sutter,2021-03-24,2021-03-23,2021-03-24 16:50:39
0%,24.4%,23.5%,52.1%,Tehama,2021-03-24,2021-03-23,2021-03-24 16:50:43
0.1%,19.1%,21.1%,59.7%,Trinity,2021-03-24,2021-03-23,2021-03-24 16:50:47
0.5%,40.9%,25.2%,33.4%,Tulare,2021-03-24,2021-03-23,2021-03-24 16:50:50
0.3%,36.2%,22.5%,41%,Tuolumne,2021-03-24,2021-03-23,2021-03-24 16:50:54
0.4%,34.6%,22.1%,43%,Ventura,2021-03-24,2021-03-23,2021-03-24 16:50:58
0.4%,42.1%,21.2%,36.3%,Yolo,2021-03-24,2021-03-23,2021-03-24 16:51:02
0.1%,28.4%,23.1%,48.4%,Yuba,2021-03-24,2021-03-23,2021-03-24 16:51:05
