0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.3%,36.2%,22.5%,41.0%,Alameda,2021-03-24,2021-03-23,2021-03-24 18:42:06
0.3%,36.2%,22.5%,41.0%,Alpine,2021-03-24,2021-03-23,2021-03-24 18:42:09
0.3%,36.2%,22.5%,41.0%,Amador,2021-03-24,2021-03-23,2021-03-24 18:42:12
0.3%,36.2%,22.5%,41.0%,Butte,2021-03-24,2021-03-23,2021-03-24 18:42:15
0.3%,36.2%,22.5%,41.0%,Calaveras,2021-03-24,2021-03-23,2021-03-24 18:42:19
0.3%,36.2%,22.5%,41.0%,Colusa,2021-03-24,2021-03-23,2021-03-24 18:42:22
0.3%,36.2%,22.5%,41.0%,Contra Costa,2021-03-24,2021-03-23,2021-03-24 18:42:26
0.3%,36.2%,22.5%,41.0%,Del Norte,2021-03-24,2021-03-23,2021-03-24 18:42:29
0.3%,23.1%,23.4%,53.2%,El Dorado,2021-03-24,2021-03-23,2021-03-24 18:42:32
0.3%,36.2%,22.5%,41.0%,Fresno,2021-03-24,2021-03-23,2021-03-24 18:42:41
0.1%,27.6%,22.8%,49.5%,Glenn,2021-03-24,2021-03-23,2021-03-24 18:42:44
0.3%,36.2%,22.5%,41.0%,Humboldt,2021-03-24,2021-03-23,2021-03-24 18:42:48
0.1%,37.4%,21.5%,41.0%,Imperial,2021-03-24,2021-03-23,2021-03-24 18:42:51
0.1%,26.1%,19.4%,54.4%,Inyo,2021-03-24,2021-03-23,2021-03-24 18:42:55
0.3%,37.5%,24.0%,38.1%,Kern,2021-03-24,2021-03-23,2021-03-24 18:42:58
0.3%,41.2%,27.2%,31.3%,Kings,2021-03-24,2021-03-23,2021-03-24 18:43:02
0.2%,23.8%,23.0%,53.0%,Lake,2021-03-24,2021-03-23,2021-03-24 18:43:05
0.0%,22.0%,24.0%,53.9%,Lassen,2021-03-24,2021-03-23,2021-03-24 18:43:08
0.3%,39.6%,23.0%,37.1%,Los Angeles,2021-03-24,2021-03-23,2021-03-24 18:43:12
0.3%,32.6%,24.5%,42.6%,Madera,2021-03-24,2021-03-23,2021-03-24 18:43:15
0.8%,28.9%,23.9%,46.5%,Marin,2021-03-24,2021-03-23,2021-03-24 18:43:18
0.3%,36.2%,22.5%,41.0%,Mariposa,2021-03-24,2021-03-23,2021-03-24 18:43:21
0.6%,33.1%,24.0%,42.2%,Mendocino,2021-03-24,2021-03-23,2021-03-24 18:43:23
0.3%,36.8%,24.7%,38.1%,Merced,2021-03-24,2021-03-23,2021-03-24 18:43:27
0.1%,18.7%,25.3%,55.9%,Modoc,2021-03-24,2021-03-23,2021-03-24 18:43:30
1.2%,43.8%,28.8%,26.2%,Mono,2021-03-24,2021-03-23,2021-03-24 18:43:33
0.2%,38.1%,22.0%,39.7%,Monterey,2021-03-24,2021-03-23,2021-03-24 18:43:37
0.3%,36.2%,22.5%,41.0%,Napa,2021-03-24,2021-03-23,2021-03-24 18:43:40
0.3%,20.6%,18.8%,60.3%,Nevada,2021-03-24,2021-03-23,2021-03-24 18:43:43
0.3%,36.2%,22.5%,41.0%,Orange,2021-03-24,2021-03-23,2021-03-24 18:43:47
0.4%,27.7%,21.4%,50.5%,Placer,2021-03-24,2021-03-23,2021-03-24 18:43:50
0.3%,36.2%,22.5%,41.0%,Plumas,2021-03-24,2021-03-23,2021-03-24 18:43:53
0.3%,36.2%,22.5%,41.0%,Riverside,2021-03-24,2021-03-23,2021-03-24 18:43:57
0.3%,36.2%,22.5%,41.0%,Sacramento,2021-03-24,2021-03-23,2021-03-24 18:44:00
0.1%,36.9%,23.3%,39.7%,San Benito,2021-03-24,2021-03-23,2021-03-24 18:44:03
0.3%,36.1%,23.6%,40.0%,San Bernardino,2021-03-24,2021-03-23,2021-03-24 18:44:06
0.3%,34.7%,20.0%,45.0%,San Diego,2021-03-24,2021-03-23,2021-03-24 18:44:10
0.3%,36.2%,22.5%,41.0%,San Francisco,2021-03-24,2021-03-23,2021-03-24 18:44:13
0.4%,34.8%,25.1%,39.7%,San Joaquin,2021-03-24,2021-03-23,2021-03-24 18:44:17
0.1%,25.1%,17.0%,57.7%,San Luis Obispo,2021-03-24,2021-03-23,2021-03-24 18:44:20
0.3%,36.2%,22.5%,41.0%,San Mateo,2021-03-24,2021-03-23,2021-03-24 18:44:23
0.2%,32.6%,18.4%,48.8%,Santa Barbara,2021-03-24,2021-03-23,2021-03-24 18:44:27
0.3%,35.4%,22.1%,42.2%,Santa Clara,2021-03-24,2021-03-23,2021-03-24 18:44:29
0.3%,34.2%,21.3%,44.2%,Santa Cruz,2021-03-24,2021-03-23,2021-03-24 18:44:33
0.2%,23.1%,21.4%,55.3%,Shasta,2021-03-24,2021-03-23,2021-03-24 18:44:37
0.3%,36.2%,22.5%,41.0%,Sierra,2021-03-24,2021-03-23,2021-03-24 18:44:40
0.3%,36.2%,22.5%,41.0%,Siskiyou,2021-03-24,2021-03-23,2021-03-24 18:44:43
0.3%,32.6%,25.1%,42.0%,Solano,2021-03-24,2021-03-23,2021-03-24 18:44:46
0.3%,31.1%,22.5%,46.1%,Sonoma,2021-03-24,2021-03-23,2021-03-24 18:44:50
0.5%,33.9%,25.2%,40.4%,Stanislaus,2021-03-24,2021-03-23,2021-03-24 18:44:53
0.3%,36.2%,22.5%,41.0%,Sutter,2021-03-24,2021-03-23,2021-03-24 18:44:57
0.0%,24.4%,23.5%,52.1%,Tehama,2021-03-24,2021-03-23,2021-03-24 18:45:00
0.1%,19.1%,21.1%,59.7%,Trinity,2021-03-24,2021-03-23,2021-03-24 18:45:04
0.5%,40.9%,25.2%,33.4%,Tulare,2021-03-24,2021-03-23,2021-03-24 18:45:07
0.1%,17.9%,23.2%,58.7%,Tuolumne,2021-03-24,2021-03-23,2021-03-24 18:45:11
0.4%,34.6%,22.1%,43.0%,Ventura,2021-03-24,2021-03-23,2021-03-24 18:45:14
0.4%,42.1%,21.2%,36.3%,Yolo,2021-03-24,2021-03-23,2021-03-24 18:45:17
0.1%,28.4%,23.1%,48.4%,Yuba,2021-03-24,2021-03-23,2021-03-24 18:45:20
