American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Alameda,2021-03-26,2021-03-25,2021-03-27 06:23:57
1.7%,0.6%,0.3%,0.6%,0.3%,0.0%,17.8%,0.9%,77.9%,Alpine,2021-03-26,2021-03-25,2021-03-27 06:23:59
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Amador,2021-03-26,2021-03-25,2021-03-27 06:24:02
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Butte,2021-03-26,2021-03-25,2021-03-27 06:24:04
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Calaveras,2021-03-26,2021-03-25,2021-03-27 06:24:07
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Colusa,2021-03-26,2021-03-25,2021-03-27 06:24:09
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Contra Costa,2021-03-26,2021-03-25,2021-03-27 06:24:12
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Del Norte,2021-03-26,2021-03-25,2021-03-27 06:24:14
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,El Dorado,2021-03-26,2021-03-25,2021-03-27 06:24:17
0.5%,6.9%,2.1%,31.4%,9.0%,0.2%,28.8%,7.8%,13.3%,Fresno,2021-03-26,2021-03-25,2021-03-27 06:24:19
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Glenn,2021-03-26,2021-03-25,2021-03-27 06:24:22
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Humboldt,2021-03-26,2021-03-25,2021-03-27 06:24:24
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Imperial,2021-03-26,2021-03-25,2021-03-27 06:24:27
