0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.9%,46.4%,26.8%,25.9%,Alameda,2021-04-16,2021-04-15,2021-04-16 18:31:31
0.1%,37.2%,35.0%,27.6%,Alpine,2021-04-16,2021-04-15,2021-04-16 18:31:33
0.2%,20.4%,26.7%,52.8%,Amador,2021-04-16,2021-04-15,2021-04-16 18:31:36
0.8%,36.0%,24.9%,38.3%,Butte,2021-04-16,2021-04-15,2021-04-16 18:31:38
0.5%,18.7%,28.1%,52.7%,Calaveras,2021-04-16,2021-04-15,2021-04-16 18:31:40
0.2%,38.3%,28.2%,33.2%,Colusa,2021-04-16,2021-04-15,2021-04-16 18:31:43
1.6%,41.7%,28.2%,28.5%,Contra Costa,2021-04-16,2021-04-15,2021-04-16 18:31:45
0.2%,27.9%,29.1%,42.8%,Del Norte,2021-04-16,2021-04-15,2021-04-16 18:31:47
0.6%,26.3%,30.1%,43.0%,El Dorado,2021-04-16,2021-04-15,2021-04-16 18:31:50
0.9%,43.2%,26.7%,29.1%,Fresno,2021-04-16,2021-04-15,2021-04-16 18:31:52
0.4%,32.6%,27.7%,39.3%,Glenn,2021-04-16,2021-04-15,2021-04-16 18:31:55
0.6%,39.3%,24.0%,36.1%,Humboldt,2021-04-16,2021-04-15,2021-04-16 18:31:57
0.7%,43.5%,26.4%,29.4%,Imperial,2021-04-16,2021-04-15,2021-04-16 18:31:59
0.3%,29.8%,26.4%,43.5%,Inyo,2021-04-16,2021-04-15,2021-04-16 18:32:02
1.3%,42.8%,27.3%,28.6%,Kern,2021-04-16,2021-04-15,2021-04-16 18:32:04
0.7%,44.9%,28.8%,25.5%,Kings,2021-04-16,2021-04-15,2021-04-16 18:32:06
0.3%,25.9%,29.2%,44.6%,Lake,2021-04-16,2021-04-15,2021-04-16 18:32:09
0.1%,24.6%,28.3%,47.1%,Lassen,2021-04-16,2021-04-15,2021-04-16 18:32:11
0.8%,44.8%,27.8%,26.6%,Los Angeles,2021-04-16,2021-04-15,2021-04-16 18:32:13
