American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Alameda,2021-03-19,2021-03-18,2021-03-20 08:20:32
1.9%,0.6%,0%,0.3%,0.3%,0%,17.6%,0.8%,78.4%,Alpine,2021-03-19,2021-03-18,2021-03-20 08:20:35
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Amador,2021-03-19,2021-03-18,2021-03-20 08:20:39
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Butte,2021-03-19,2021-03-18,2021-03-20 08:20:42
0.4%,1%,0.4%,4.4%,1.6%,0.1%,51.4%,8.7%,31.9%,Calaveras,2021-03-19,2021-03-18,2021-03-20 08:20:46
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Colusa,2021-03-19,2021-03-18,2021-03-20 08:20:49
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Contra Costa,2021-03-19,2021-03-18,2021-03-20 08:20:52
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Del Norte,2021-03-19,2021-03-17,2021-03-20 08:20:56
0.3%,2.7%,0.5%,4.9%,14.6%,0.3%,51.8%,8.1%,16.8%,El Dorado,2021-03-19,2021-03-18,2021-03-20 08:20:59
0.5%,7.1%,2.1%,31.5%,10.3%,0.2%,29.3%,7.7%,11.3%,Fresno,2021-03-19,2021-03-18,2021-03-20 08:21:01
2.4%,1.1%,0.2%,20%,9.1%,0.1%,46.6%,10.2%,10.3%,Glenn,2021-03-19,2021-03-18,2021-03-20 08:21:05
3.5%,1.3%,0.6%,5.7%,14.8%,0.2%,64.3%,3%,6.4%,Humboldt,2021-03-19,2021-03-18,2021-03-20 08:21:09
0.1%,0.8%,0.5%,69.6%,2.6%,0.1%,10.2%,5.8%,10.4%,Imperial,2021-03-19,2021-03-18,2021-03-20 08:21:12
1.1%,0.8%,0.2%,8.7%,22.6%,0.1%,54.2%,4.9%,7.3%,Inyo,2021-03-19,2021-03-18,2021-03-20 08:21:16
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Kern,2021-03-19,2021-03-18,2021-03-20 08:21:19
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Kings,2021-03-19,2021-03-18,2021-03-20 08:21:22
1.9%,1%,1.1%,15.6%,16.6%,0.2%,56.6%,2.9%,4.2%,Lake,2021-03-19,2021-03-18,2021-03-20 08:21:26
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Lassen,2021-03-19,2021-03-18,2021-03-20 08:21:29
0.2%,12.6%,4.3%,24.2%,19%,0.4%,19.7%,13.8%,5.9%,Los Angeles,2021-03-19,2021-03-18,2021-03-20 08:21:32
1%,1.8%,1.4%,32.8%,7.3%,0.2%,35.7%,7.7%,12%,Madera,2021-03-19,2021-03-18,2021-03-20 08:21:36
0.1%,4%,1%,7.9%,12.5%,0.2%,52.8%,6.5%,15.1%,Marin,2021-03-19,2021-03-18,2021-03-20 08:21:38
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Mariposa,2021-03-19,2021-03-18,2021-03-20 08:21:42
0.3%,12%,3%,18.8%,12.7%,0.4%,31%,10.6%,11.1%,Mendocino,2021-03-19,2021-03-18,2021-03-20 08:21:45
0.3%,5.6%,1.6%,32.4%,0.6%,0.3%,26.8%,8.4%,24.2%,Merced,2021-03-19,2021-03-18,2021-03-20 08:21:48
2.4%,1.5%,0.9%,7.2%,4.8%,0.1%,72.6%,1.7%,8.8%,Modoc,2021-03-19,2021-03-18,2021-03-20 08:21:52
