0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.4%,26.0%,29.9%,0.000%,Alameda,2021-04-07,2021-04-06,2021-04-08 01:02:41
0.1%,35.4%,35.0%,29.5%,0.000%,Alpine,2021-04-07,2021-04-06,2021-04-08 01:02:44
0.1%,19.2%,25.7%,55.0%,0.000%,Amador,2021-04-07,2021-04-06,2021-04-08 01:02:47
0.6%,34.7%,24.6%,40.0%,0.000%,Butte,2021-04-07,2021-04-06,2021-04-08 01:02:49
0.4%,17.0%,24.8%,57.8%,0.000%,Calaveras,2021-04-07,2021-04-06,2021-04-08 01:02:52
0.6%,39.6%,26.5%,33.4%,0.004%,Colusa,2021-04-07,2021-04-06,2021-04-08 01:02:55
0.8%,37.0%,29.5%,32.7%,0.000%,Contra Costa,2021-04-07,2021-04-06,2021-04-08 01:02:58
0.1%,25.4%,27.1%,47.4%,0.000%,Del Norte,2021-04-07,2021-04-06,2021-04-08 01:03:00
0.5%,25.5%,28.0%,46.0%,0.000%,El Dorado,2021-04-07,2021-04-06,2021-04-08 01:03:03
0.6%,41.9%,26.4%,31.2%,0.000%,Fresno,2021-04-07,2021-04-06,2021-04-08 01:03:06
0.3%,31.5%,26.9%,41.3%,0.000%,Glenn,2021-04-07,2021-04-06,2021-04-08 01:03:08
0.3%,36.6%,22.7%,40.4%,0.000%,Humboldt,2021-04-07,2021-04-06,2021-04-08 01:03:11
0.3%,41.1%,25.3%,33.3%,0.000%,Imperial,2021-04-07,2021-04-06,2021-04-08 01:03:14
0.3%,28.3%,24.9%,46.5%,0.000%,Inyo,2021-04-07,2021-04-06,2021-04-08 01:03:17
0.9%,41.0%,26.8%,31.3%,0.000%,Kern,2021-04-07,2021-04-06,2021-04-08 01:03:19
0.5%,43.4%,28.9%,27.2%,0.000%,Kings,2021-04-07,2021-04-06,2021-04-08 01:03:22
0.2%,24.7%,27.7%,47.3%,0.000%,Lake,2021-04-07,2021-04-06,2021-04-08 01:03:25
0.1%,23.8%,27.1%,49.0%,0.000%,Lassen,2021-04-07,2021-04-06,2021-04-08 01:03:27
0.6%,42.7%,27.0%,29.7%,0.000%,Los Angeles,2021-04-07,2021-04-06,2021-04-08 01:03:30
0.4%,35.5%,26.5%,37.5%,0.000%,Madera,2021-04-07,2021-04-06,2021-04-08 01:03:33
1.2%,32.8%,28.7%,37.3%,0.000%,Marin,2021-04-07,2021-04-06,2021-04-08 01:03:36
0.2%,19.5%,25.3%,55.0%,0.02%,Mariposa,2021-04-07,2021-04-06,2021-04-08 01:03:38
0.6%,32.2%,24.4%,42.7%,0.000%,Mendocino,2021-04-07,2021-04-06,2021-04-08 01:03:41
0.6%,40.9%,26.0%,32.5%,0.000%,Merced,2021-04-07,2021-04-06,2021-04-08 01:03:44
0.1%,20.3%,26.6%,53.0%,0.000%,Modoc,2021-04-07,2021-04-06,2021-04-08 01:03:46
1.4%,46.4%,29.3%,22.9%,0.000%,Mono,2021-04-07,2021-04-06,2021-04-08 01:03:49
0.5%,42.6%,25.5%,31.4%,0.000%,Monterey,2021-04-07,2021-04-06,2021-04-08 01:03:52
0.5%,37.6%,25.5%,36.5%,0.000%,Napa,2021-04-07,2021-04-06,2021-04-08 01:03:55
0.6%,24.0%,24.2%,51.2%,0.000%,Nevada,2021-04-07,2021-04-06,2021-04-08 01:03:57
0.6%,39.3%,26.4%,33.6%,0.000%,Orange,2021-04-07,2021-04-06,2021-04-08 01:04:00
0.6%,29.5%,25.4%,44.5%,0.000%,Placer,2021-04-07,2021-04-06,2021-04-08 01:04:03
0.1%,20.6%,22.6%,56.7%,0.000%,Plumas,2021-04-07,2021-04-06,2021-04-08 01:04:06
0.6%,34.0%,27.4%,38.1%,0.000%,Riverside,2021-04-07,2021-04-06,2021-04-08 01:04:08
0.6%,38.5%,26.3%,34.7%,0.000%,Sacramento,2021-04-07,2021-04-06,2021-04-08 01:04:11
0.3%,40.2%,27.2%,32.3%,0.000%,San Benito,2021-04-07,2021-04-06,2021-04-08 01:04:14
0.6%,38.5%,28.1%,32.8%,0.000%,San Bernardino,2021-04-07,2021-04-06,2021-04-08 01:04:16
0.5%,38.4%,24.1%,36.9%,0.000%,San Diego,2021-04-07,2021-04-06,2021-04-08 01:04:19
0.4%,46.7%,25.0%,27.9%,0.000%,San Francisco,2021-04-07,2021-04-06,2021-04-08 01:04:22
0.6%,37.7%,27.2%,34.4%,0.004%,San Joaquin,2021-04-07,2021-04-06,2021-04-08 01:04:25
