American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.1%,5.2%,10.0%,9.0%,0.5%,23.2%,8.9%,22.9%,Alameda,2021-04-07,2021-04-06,2021-04-07 16:39:17
1.8%,0.5%,0.3%,0.8%,0.3%,0.000%,17.5%,0.9%,77.9%,Alpine,2021-04-07,2021-04-02,2021-04-07 16:39:19
0.8%,1.5%,0.4%,7.5%,3.4%,0.3%,67.5%,8.6%,10.0%,Amador,2021-04-07,2021-04-06,2021-04-07 16:39:22
1.1%,2.3%,0.7%,7.9%,14.5%,0.1%,55.8%,8.1%,9.4%,Butte,2021-04-07,2021-04-06,2021-04-07 16:39:24
0.4%,1.2%,0.4%,5.2%,1.3%,0.2%,55.6%,8.8%,26.9%,Calaveras,2021-04-07,2021-04-06,2021-04-07 16:39:27
1.0%,0.6%,0.4%,28.3%,5.1%,0.1%,30.3%,5.5%,28.7%,Colusa,2021-04-07,2021-04-06,2021-04-07 16:39:29
0.2%,10.5%,4.3%,12.5%,9.6%,0.5%,32.8%,7.6%,22.1%,Contra Costa,2021-04-07,2021-04-06,2021-04-07 16:39:32
0.3%,11.8%,3.0%,19.6%,9.7%,0.4%,29.2%,11.2%,14.8%,Del Norte,2021-04-07,2021-04-06,2021-04-07 16:39:35
0.3%,2.8%,0.5%,5.6%,11.4%,0.3%,48.2%,7.8%,23.3%,El Dorado,2021-04-07,2021-04-06,2021-04-07 16:39:37
0.5%,7.0%,2.1%,31.5%,8.0%,0.2%,27.9%,7.9%,14.9%,Fresno,2021-04-07,2021-04-06,2021-04-07 16:39:40
1.9%,1.2%,0.2%,22.1%,7.4%,0.1%,41.5%,10.4%,15.1%,Glenn,2021-04-07,2021-04-06,2021-04-07 16:39:42
3.1%,1.4%,0.7%,7.1%,11.7%,0.2%,63.3%,3.4%,9.1%,Humboldt,2021-04-07,2021-04-06,2021-04-07 16:39:45
0.1%,0.6%,0.4%,61.9%,1.8%,0.1%,9.4%,8.1%,17.5%,Imperial,2021-04-07,2021-04-06,2021-04-07 16:39:47
1.0%,1.1%,0.2%,9.4%,19.6%,0.2%,52.7%,5.8%,10.2%,Inyo,2021-04-07,2021-04-06,2021-04-07 16:39:50
0.3%,4.1%,2.4%,31.4%,9.8%,0.3%,28.5%,11.7%,11.6%,Kern,2021-04-07,2021-04-06,2021-04-07 16:39:52
0.7%,2.6%,2.1%,40.9%,5.8%,0.2%,26.4%,6.2%,15.0%,Kings,2021-04-07,2021-04-06,2021-04-07 16:39:55
1.6%,1.1%,1.2%,15.9%,13.7%,0.1%,54.9%,3.9%,7.6%,Lake,2021-04-07,2021-04-06,2021-04-07 16:39:58
1.2%,1.4%,0.7%,7.0%,7.1%,0.3%,59.4%,3.7%,19.2%,Lassen,2021-04-07,2021-04-06,2021-04-07 16:40:00
0.2%,12.4%,4.4%,25.2%,13.8%,0.4%,19.6%,14.9%,9.2%,Los Angeles,2021-04-07,2021-04-06,2021-04-07 16:40:03
0.9%,1.9%,1.4%,32.9%,6.0%,0.1%,32.2%,8.8%,15.9%,Madera,2021-04-07,2021-04-06,2021-04-07 16:40:05
0.3%,11.8%,3.0%,19.6%,9.7%,0.4%,29.2%,11.2%,14.8%,Marin,2021-04-07,2021-04-06,2021-04-07 16:40:08
1.8%,1.0%,0.4%,7.4%,2.2%,0.2%,62.8%,4.9%,19.4%,Mariposa,2021-04-07,2021-04-06,2021-04-07 16:40:10
0.8%,1.3%,0.3%,15.7%,13.5%,0.2%,49.7%,7.1%,11.4%,Mendocino,2021-04-07,2021-04-06,2021-04-07 16:40:13
0.3%,6.0%,1.6%,34.4%,0.4%,0.2%,25.0%,8.4%,23.5%,Merced,2021-04-07,2021-04-06,2021-04-07 16:40:16
2.3%,1.7%,1.0%,7.8%,4.5%,0.1%,69.4%,2.1%,11.0%,Modoc,2021-04-07,2021-04-06,2021-04-07 16:40:18
0.4%,1.3%,0.3%,21.5%,9.7%,0.2%,57.0%,1.9%,7.8%,Mono,2021-04-07,2021-04-05,2021-04-07 16:40:21
0.2%,4.0%,1.0%,36.0%,9.0%,0.5%,25.4%,7.7%,16.1%,Monterey,2021-04-07,2021-04-06,2021-04-07 16:40:23
0.2%,3.9%,0.9%,17.9%,6.2%,0.3%,38.5%,6.2%,25.9%,Napa,2021-04-07,2021-04-06,2021-04-07 16:40:26
0.8%,0.8%,0.3%,5.1%,14.9%,0.1%,61.4%,6.5%,10.1%,Nevada,2021-04-07,2021-04-06,2021-04-07 16:40:28
0.1%,17.8%,0.9%,13.0%,12.5%,0.3%,30.9%,11.3%,13.1%,Orange,2021-04-07,2021-04-06,2021-04-07 16:40:31
0.4%,5.2%,0.9%,8.5%,11.3%,0.4%,44.7%,7.9%,20.7%,Placer,2021-04-07,2021-04-06,2021-04-07 16:40:33
0.9%,0.6%,0.4%,2.2%,6.0%,0.04%,72.7%,3.8%,13.3%,Plumas,2021-04-07,2021-04-06,2021-04-07 16:40:36
0.3%,5.7%,3.7%,24.8%,11.4%,0.3%,31.0%,13.0%,9.8%,Riverside,2021-04-07,2021-04-06,2021-04-07 16:40:39
0.4%,10.3%,3.8%,8.2%,7.9%,0.8%,28.1%,10.5%,29.9%,Sacramento,2021-04-07,2021-04-06,2021-04-07 16:40:41
0.2%,2.1%,0.6%,28.5%,4.1%,0.2%,20.9%,10.0%,33.4%,San Benito,2021-04-07,2021-04-06,2021-04-07 16:40:44
0.2%,8.7%,4.9%,27.8%,10.9%,0.4%,24.5%,12.9%,9.7%,San Bernardino,2021-04-07,2021-04-06,2021-04-07 16:40:46
0.4%,12.2%,2.5%,21.1%,0.4%,0.6%,45.4%,9.1%,8.3%,San Diego,2021-04-07,2021-04-06,2021-04-07 16:40:49
0.2%,27.3%,3.0%,10.6%,6.5%,0.3%,25.7%,5.9%,20.5%,San Francisco,2021-04-07,2021-04-06,2021-04-07 16:40:53
0.4%,11.1%,3.7%,15.9%,1.7%,0.9%,23.2%,15.1%,28.1%,San Joaquin,2021-04-07,2021-04-06,2021-04-07 16:40:55
0.2%,1.3%,0.4%,7.9%,10.2%,0.2%,31.9%,14.1%,33.9%,San Luis Obispo,2021-04-07,2021-04-06,2021-04-07 16:40:58
0.2%,17.6%,1.1%,9.9%,11.8%,0.5%,27.8%,10.1%,21.0%,San Mateo,2021-04-07,2021-04-06,2021-04-07 16:41:00
0.3%,2.8%,0.8%,22.2%,14.3%,0.2%,33.9%,14.0%,11.4%,Santa Barbara,2021-04-07,2021-04-06,2021-04-07 16:41:03
0.1%,24.4%,1.3%,10.9%,10.6%,0.4%,22.5%,8.8%,21.0%,Santa Clara,2021-04-07,2021-04-06,2021-04-07 16:41:06
0.2%,2.0%,0.4%,19.9%,13.5%,0.1%,39.8%,10.3%,13.8%,Santa Cruz,2021-04-07,2021-04-06,2021-04-07 16:41:08
0.7%,1.4%,0.5%,3.5%,17.7%,0.1%,44.6%,13.6%,17.7%,Shasta,2021-04-07,2021-04-06,2021-04-07 16:41:11
0.5%,0.9%,0.1%,8.0%,8.8%,0.000%,72.7%,3.1%,6.0%,Sierra,2021-04-07,2021-04-06,2021-04-07 16:41:13
1.6%,0.9%,0.5%,6.2%,8.0%,0.05%,58.4%,4.4%,20.0%,Siskiyou,2021-04-07,2021-04-06,2021-04-07 16:41:16
0.3%,10.4%,6.2%,9.3%,6.1%,0.9%,25.3%,10.5%,30.8%,Solano,2021-04-07,2021-04-06,2021-04-07 16:41:19
0.5%,2.1%,0.7%,13.9%,9.9%,0.2%,42.1%,8.3%,22.4%,Sonoma,2021-04-07,2021-04-06,2021-04-07 16:41:21
0.5%,5.3%,1.7%,25.7%,0.5%,0.7%,35.7%,10.0%,19.8%,Stanislaus,2021-04-07,2021-04-06,2021-04-07 16:41:24
0.7%,13.4%,1.0%,16.9%,11.4%,0.3%,37.9%,7.5%,11.1%,Sutter,2021-04-07,2021-04-06,2021-04-07 16:41:26
0.9%,0.7%,0.3%,10.7%,8.0%,0.1%,48.0%,9.9%,21.4%,Tehama,2021-04-07,2021-04-06,2021-04-07 16:41:29
1.4%,1.1%,0.2%,2.2%,7.9%,0.2%,61.3%,3.4%,22.3%,Trinity,2021-04-07,2021-04-06,2021-04-07 16:41:31
0.3%,2.6%,0.7%,43.7%,5.4%,0.2%,29.2%,6.1%,11.9%,Tulare,2021-04-07,2021-04-06,2021-04-07 16:41:34
0.5%,1.4%,0.3%,4.6%,1.1%,0.3%,78.4%,6.4%,6.9%,Tuolumne,2021-04-07,2021-04-06,2021-04-07 16:41:37
0.2%,5.4%,0.9%,26.7%,14.5%,0.3%,33.7%,11.4%,7.0%,Ventura,2021-04-07,2021-04-06,2021-04-07 16:41:39
