0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,37.3%,23.4%,39.0%,Alameda,2021-03-27,2021-03-26,2021-03-28 12:29:08
0.1%,34.7%,33.9%,31.3%,Alpine,2021-03-27,2021-03-25,2021-03-28 12:29:10
0.1%,17.9%,21.6%,60.4%,Amador,2021-03-27,2021-03-26,2021-03-28 12:29:13
0.2%,31.3%,23.9%,44.6%,Butte,2021-03-27,2021-03-26,2021-03-28 12:29:15
0.3%,15.6%,21.8%,62.2%,Calaveras,2021-03-27,2021-03-26,2021-03-28 12:29:18
0.4%,37.3%,23.4%,39.0%,Colusa,2021-03-27,2021-03-26,2021-03-28 12:29:20
0.5%,33.7%,25.8%,40.0%,Contra Costa,2021-03-27,2021-03-26,2021-03-28 12:29:23
0.1%,24.1%,25.3%,50.4%,Del Norte,2021-03-27,2021-03-26,2021-03-28 12:29:26
0.4%,37.3%,23.4%,39.0%,El Dorado,2021-03-27,2021-03-26,2021-03-28 12:29:28
0.4%,40.0%,25.0%,34.6%,Fresno,2021-03-27,2021-03-26,2021-03-28 12:29:31
0.2%,29.6%,24.3%,45.9%,Glenn,2021-03-27,2021-03-26,2021-03-28 12:29:33
0.1%,33.2%,19.6%,47.0%,Humboldt,2021-03-27,2021-03-26,2021-03-28 12:29:36
0.2%,38.5%,23.0%,38.2%,Imperial,2021-03-27,2021-03-26,2021-03-28 12:29:38
0.3%,27.3%,21.2%,51.3%,Inyo,2021-03-27,2021-03-26,2021-03-28 12:29:41
0.4%,38.4%,24.8%,36.4%,Kern,2021-03-27,2021-03-26,2021-03-28 12:29:43
0.4%,42.1%,27.5%,30.1%,Kings,2021-03-27,2021-03-26,2021-03-28 12:29:46
0.2%,24.1%,23.8%,51.9%,Lake,2021-03-27,2021-03-26,2021-03-28 12:29:48
0.0%,22.9%,25.2%,51.9%,Lassen,2021-03-27,2021-03-26,2021-03-28 12:29:50
0.4%,40.7%,23.8%,35.1%,Los Angeles,2021-03-27,2021-03-26,2021-03-28 12:29:53
0.3%,33.8%,25.1%,40.9%,Madera,2021-03-27,2021-03-26,2021-03-28 12:29:56
0.9%,30.0%,24.8%,44.4%,Marin,2021-03-27,2021-03-26,2021-03-28 12:29:58
0.1%,18.2%,22.9%,58.7%,Mariposa,2021-03-27,2021-03-26,2021-03-28 12:30:01
0.6%,33.3%,24.3%,41.8%,Mendocino,2021-03-27,2021-03-26,2021-03-28 12:30:03
0.5%,38.2%,25.4%,36.0%,Merced,2021-03-27,2021-03-26,2021-03-28 12:30:06
0.1%,19.0%,25.3%,55.5%,Modoc,2021-03-27,2021-03-26,2021-03-28 12:30:08
1.2%,43.9%,28.9%,26.0%,Mono,2021-03-27,2021-03-26,2021-03-28 12:30:11
0.3%,39.6%,22.9%,37.2%,Monterey,2021-03-27,2021-03-26,2021-03-28 12:30:13
0.3%,35.9%,23.2%,40.6%,Napa,2021-03-27,2021-03-26,2021-03-28 12:30:16
0.4%,21.8%,20.2%,57.6%,Nevada,2021-03-27,2021-03-26,2021-03-28 12:30:18
0.3%,36.3%,23.5%,40.0%,Orange,2021-03-27,2021-03-26,2021-03-28 12:30:20
0.4%,28.3%,22.2%,49.1%,Placer,2021-03-27,2021-03-26,2021-03-28 12:30:23
0.1%,19.9%,19.9%,60.2%,Plumas,2021-03-27,2021-03-26,2021-03-28 12:30:25
0.3%,31.7%,23.8%,44.2%,Riverside,2021-03-27,2021-03-26,2021-03-28 12:30:28
0.4%,37.3%,23.4%,39.0%,Sacramento,2021-03-27,2021-03-26,2021-03-28 12:30:30
0.2%,37.8%,24.1%,37.8%,San Benito,2021-03-27,2021-03-26,2021-03-28 12:30:33
0.4%,36.9%,24.6%,38.0%,San Bernardino,2021-03-27,2021-03-26,2021-03-28 12:30:35
0.3%,35.6%,20.7%,43.4%,San Diego,2021-03-27,2021-03-26,2021-03-28 12:30:38
0.3%,44.6%,22.4%,32.7%,San Francisco,2021-03-27,2021-03-26,2021-03-28 12:30:40
