0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,39.9%,21.4%,38.3%,Alameda,2021-03-22,2021-03-21,2021-03-23 02:35:57
0.2%,33%,33.4%,33.4%,Alpine,2021-03-22,2021-03-19,2021-03-23 02:36:00
0.1%,17.1%,19.4%,63.4%,Amador,2021-03-22,2021-03-21,2021-03-23 02:36:03
0.2%,31.2%,20.3%,48.3%,Butte,2021-03-22,2021-03-21,2021-03-23 02:36:06
0.2%,14.8%,20.1%,64.9%,Calaveras,2021-03-22,2021-03-21,2021-03-23 02:36:10
0.1%,34%,22.8%,43.1%,Colusa,2021-03-22,2021-03-20,2021-03-23 02:36:13
0.4%,32.6%,23%,44%,Contra Costa,2021-03-22,2021-03-21,2021-03-23 02:36:17
0.1%,23.6%,23.3%,53.1%,Del Norte,2021-03-22,2021-03-21,2021-03-23 02:36:22
0.3%,22.6%,22.5%,54.6%,El Dorado,2021-03-22,2021-03-21,2021-03-23 02:36:25
0.3%,38.9%,24.3%,36.5%,Fresno,2021-03-22,2021-03-21,2021-03-23 02:36:28
0.1%,26.7%,21.8%,51.4%,Glenn,2021-03-22,2021-03-20,2021-03-23 02:36:31
0.1%,32%,18.7%,49.2%,Humboldt,2021-03-22,2021-03-21,2021-03-23 02:36:34
0.1%,37.1%,20.8%,42%,Imperial,2021-03-22,2021-03-21,2021-03-23 02:36:37
0.1%,25.9%,19%,54.9%,Inyo,2021-03-22,2021-03-20,2021-03-23 02:36:41
0.3%,37.2%,23.6%,39%,Kern,2021-03-22,2021-03-21,2021-03-23 02:36:44
0.3%,40.3%,26.8%,32.7%,Kings,2021-03-22,2021-03-21,2021-03-23 02:36:47
0.2%,23.6%,22%,54.2%,Lake,2021-03-22,2021-03-21,2021-03-23 02:36:50
0%,20.7%,22%,57.2%,Lassen,2021-03-22,2021-03-21,2021-03-23 02:36:53
0.3%,38.9%,22.4%,38.5%,Los Angeles,2021-03-22,2021-03-21,2021-03-23 02:36:56
0.3%,32.5%,24.1%,43.1%,Madera,2021-03-22,2021-03-21,2021-03-23 02:37:00
0.7%,28.2%,23.4%,47.7%,Marin,2021-03-22,2021-03-21,2021-03-23 02:37:03
0.1%,18%,19.2%,62.7%,Mariposa,2021-03-22,2021-03-21,2021-03-23 02:37:06
0.5%,32.9%,23.6%,42.9%,Mendocino,2021-03-22,2021-03-21,2021-03-23 02:37:09
0.3%,36%,24.3%,39.4%,Merced,2021-03-22,2021-03-21,2021-03-23 02:37:12
0.1%,18.5%,25.1%,56.3%,Modoc,2021-03-22,2021-03-20,2021-03-23 02:37:15
1.2%,43.8%,28.7%,26.3%,Mono,2021-03-22,2021-03-21,2021-03-23 02:37:18
0.2%,37.6%,21.1%,41.1%,Monterey,2021-03-22,2021-03-21,2021-03-23 02:37:21
0.3%,34.6%,22.1%,43.1%,Napa,2021-03-22,2021-03-21,2021-03-23 02:37:25
0.3%,20.3%,17.8%,61.6%,Nevada,2021-03-22,2021-03-21,2021-03-23 02:37:28
