American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Alameda,2021-03-28,2021-03-27,2021-03-28 20:21:39
1.7%,0.6%,0.3%,0.6%,0.3%,0.0%,17.8%,0.9%,77.9%,Alpine,2021-03-28,2021-03-25,2021-03-28 20:21:42
0.8%,1.5%,0.4%,7.3%,3.8%,0.3%,67.6%,8.7%,9.7%,Amador,2021-03-28,2021-03-27,2021-03-28 20:21:44
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Butte,2021-03-28,2021-03-27,2021-03-28 20:21:47
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Calaveras,2021-03-28,2021-03-27,2021-03-28 20:21:50
1.1%,0.7%,0.4%,27.1%,5.5%,0.1%,32.1%,5.6%,27.3%,Colusa,2021-03-28,2021-03-27,2021-03-28 20:21:52
0.2%,10.8%,4.4%,12.5%,10.8%,0.5%,34.0%,7.7%,19.0%,Contra Costa,2021-03-28,2021-03-27,2021-03-28 20:21:55
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Del Norte,2021-03-28,2021-03-27,2021-03-28 20:21:58
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,El Dorado,2021-03-28,2021-03-27,2021-03-28 20:22:00
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Fresno,2021-03-28,2021-03-27,2021-03-28 20:22:03
2.0%,1.2%,0.2%,21.6%,7.9%,0.1%,42.5%,10.5%,13.9%,Glenn,2021-03-28,2021-03-27,2021-03-28 20:22:05
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Humboldt,2021-03-28,2021-03-27,2021-03-28 20:22:08
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Imperial,2021-03-28,2021-03-27,2021-03-28 20:22:10
1.0%,1.0%,0.2%,9.1%,20.8%,0.2%,53.4%,5.3%,9.0%,Inyo,2021-03-28,2021-03-27,2021-03-28 20:22:13
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Kern,2021-03-28,2021-03-27,2021-03-28 20:22:16
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Kings,2021-03-28,2021-03-27,2021-03-28 20:22:18
1.7%,1.1%,1.2%,16.1%,14.6%,0.1%,55.4%,3.5%,6.4%,Lake,2021-03-28,2021-03-27,2021-03-28 20:22:21
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Lassen,2021-03-28,2021-03-27,2021-03-28 20:22:23
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Los Angeles,2021-03-28,2021-03-27,2021-03-28 20:22:26
0.9%,1.8%,1.5%,32.9%,6.3%,0.1%,33.4%,8.4%,14.6%,Madera,2021-03-28,2021-03-27,2021-03-28 20:22:28
0.1%,3.9%,1.0%,9.7%,11.0%,0.2%,48.8%,6.3%,19.1%,Marin,2021-03-28,2021-03-27,2021-03-28 20:22:31
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Mariposa,2021-03-28,2021-03-27,2021-03-28 20:22:34
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Mendocino,2021-03-28,2021-03-27,2021-03-28 20:22:36
0.4%,5.9%,1.6%,33.5%,0.4%,0.3%,25.6%,8.5%,23.8%,Merced,2021-03-28,2021-03-27,2021-03-28 20:22:39
2.2%,1.5%,1.0%,7.5%,4.6%,0.1%,71.0%,1.9%,10.0%,Modoc,2021-03-28,2021-03-26,2021-03-28 20:22:42
0.4%,1.3%,0.3%,21.5%,10.4%,0.1%,57.8%,1.7%,6.5%,Mono,2021-03-28,2021-03-27,2021-03-28 20:22:44
0.2%,4.1%,1.1%,36.0%,10.0%,0.5%,26.4%,7.3%,14.3%,Monterey,2021-03-28,2021-03-27,2021-03-28 20:22:47
0.2%,4.1%,0.9%,17.8%,6.7%,0.4%,40.2%,6.2%,23.6%,Napa,2021-03-28,2021-03-27,2021-03-28 20:22:49
0.8%,0.7%,0.3%,5.2%,16.1%,0.1%,61.7%,6.3%,8.9%,Nevada,2021-03-28,2021-03-27,2021-03-28 20:22:52
0.1%,18.2%,0.9%,12.8%,14.2%,0.3%,31.3%,10.8%,11.5%,Orange,2021-03-28,2021-03-27,2021-03-28 20:22:55
0.4%,5.3%,0.9%,8.9%,12.1%,0.4%,45.4%,7.9%,18.8%,Placer,2021-03-28,2021-03-27,2021-03-28 20:22:57
0.8%,0.6%,0.4%,2.1%,6.3%,0.0%,73.6%,3.6%,12.5%,Plumas,2021-03-28,2021-03-27,2021-03-28 20:23:00
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Riverside,2021-03-28,2021-03-27,2021-03-28 20:23:03
0.4%,10.5%,3.9%,8.1%,8.8%,0.9%,29.4%,10.8%,27.2%,Sacramento,2021-03-28,2021-03-27,2021-03-28 20:23:05
0.2%,2.1%,0.6%,28.9%,4.5%,0.2%,21.9%,10.4%,31.2%,San Benito,2021-03-28,2021-03-27,2021-03-28 20:23:08
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,San Bernardino,2021-03-28,2021-03-27,2021-03-28 20:23:11
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,San Diego,2021-03-28,2021-03-27,2021-03-28 20:23:13
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,San Francisco,2021-03-28,2021-03-27,2021-03-28 20:23:16
