American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Alameda,2021-03-20,2021-03-19,2021-03-20 20:18:47
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Alpine,2021-03-20,2021-03-18,2021-03-20 20:18:50
0.9%,1.4%,0.3%,7.1%,4.5%,0.3%,66.9%,9.1%,9.6%,Amador,2021-03-20,2021-03-19,2021-03-20 20:18:54
1.2%,2.1%,0.7%,7.3%,17%,0.1%,57%,7.9%,6.7%,Butte,2021-03-20,2021-03-19,2021-03-20 20:18:57
0.4%,1%,0.4%,4.5%,1.6%,0.1%,51.5%,8.8%,31.6%,Calaveras,2021-03-20,2021-03-19,2021-03-20 20:19:01
1.1%,0.7%,0.5%,27.1%,5.8%,0.1%,33.5%,5.4%,26%,Colusa,2021-03-20,2021-03-19,2021-03-20 20:19:04
0.2%,11.2%,4.6%,12.2%,12.2%,0.5%,35.7%,7.9%,15.6%,Contra Costa,2021-03-20,2021-03-19,2021-03-20 20:19:08
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Del Norte,2021-03-20,2021-03-19,2021-03-20 20:19:12
0.3%,2.8%,0.5%,5%,14.2%,0.3%,51.4%,8%,17.6%,El Dorado,2021-03-20,2021-03-19,2021-03-20 20:19:15
0.5%,7.1%,2.1%,31.5%,10.1%,0.2%,29.2%,7.7%,11.7%,Fresno,2021-03-20,2021-03-19,2021-03-20 20:19:19
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Glenn,2021-03-20,2021-03-19,2021-03-20 20:19:23
3.4%,1.3%,0.6%,5.8%,14.5%,0.2%,64.3%,3.1%,6.8%,Humboldt,2021-03-20,2021-03-19,2021-03-20 20:19:26
0.1%,0.7%,0.5%,68.9%,2.5%,0.1%,9.8%,5.9%,11.6%,Imperial,2021-03-20,2021-03-19,2021-03-20 20:19:30
1.1%,0.8%,0.2%,8.8%,22.3%,0.1%,54.2%,5%,7.5%,Inyo,2021-03-20,2021-03-19,2021-03-20 20:19:33
0.4%,4.1%,2.3%,30.2%,12.3%,0.2%,29.9%,11.1%,9.5%,Kern,2021-03-20,2021-03-19,2021-03-20 20:19:37
0.8%,2.7%,2%,41.3%,7.4%,0.2%,27.5%,5.8%,12.4%,Kings,2021-03-20,2021-03-19,2021-03-20 20:19:40
1.8%,1%,1.1%,16.1%,15.5%,0.1%,55.9%,3.2%,5.3%,Lake,2021-03-20,2021-03-19,2021-03-20 20:19:44
