0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.7%,44.7%,27.1%,27.4%,Alameda,2021-04-13,2021-04-12,2021-04-14 06:24:04
0.1%,36.3%,35.3%,28.2%,Alpine,2021-04-13,2021-04-09,2021-04-14 06:24:07
0.1%,20.2%,26.5%,53.2%,Amador,2021-04-13,2021-04-12,2021-04-14 06:24:10
0.7%,35.5%,24.9%,38.9%,Butte,2021-04-13,2021-04-12,2021-04-14 06:24:13
0.4%,17.1%,27.8%,54.8%,Calaveras,2021-04-13,2021-04-12,2021-04-14 06:24:15
0.2%,38.2%,27.7%,33.9%,Colusa,2021-04-13,2021-04-12,2021-04-14 06:24:18
1.2%,39.8%,28.9%,30.1%,Contra Costa,2021-04-13,2021-04-12,2021-04-14 06:24:21
0.2%,27.1%,28.8%,43.9%,Del Norte,2021-04-13,2021-04-12,2021-04-14 06:24:24
0.6%,25.9%,29.6%,44.0%,El Dorado,2021-04-13,2021-04-12,2021-04-14 06:24:27
0.7%,42.6%,26.8%,29.9%,Fresno,2021-04-13,2021-04-12,2021-04-14 06:24:29
0.4%,32.3%,27.4%,39.9%,Glenn,2021-04-13,2021-04-12,2021-04-14 06:24:32
0.4%,37.5%,23.9%,38.2%,Humboldt,2021-04-13,2021-04-12,2021-04-14 06:24:35
0.4%,42.4%,26.3%,30.9%,Imperial,2021-04-13,2021-04-12,2021-04-14 06:24:38
0.3%,29.2%,26.0%,44.5%,Inyo,2021-04-13,2021-04-12,2021-04-14 06:24:41
1.1%,42.0%,27.3%,29.7%,Kern,2021-04-13,2021-04-12,2021-04-14 06:24:43
0.6%,44.2%,29.0%,26.2%,Kings,2021-04-13,2021-04-12,2021-04-14 06:24:46
0.2%,25.5%,28.9%,45.3%,Lake,2021-04-13,2021-04-12,2021-04-14 06:24:49
0.1%,24.5%,28.0%,47.5%,Lassen,2021-04-13,2021-04-12,2021-04-14 06:24:52
0.7%,43.6%,27.9%,27.8%,Los Angeles,2021-04-13,2021-04-12,2021-04-14 06:24:55
0.5%,36.5%,27.0%,35.9%,Madera,2021-04-13,2021-04-12,2021-04-14 06:24:58
1.4%,33.9%,29.7%,35.1%,Marin,2021-04-13,2021-04-12,2021-04-14 06:25:00
0.2%,19.9%,25.5%,54.4%,Mariposa,2021-04-13,2021-04-12,2021-04-14 06:25:03
0.7%,32.8%,25.6%,41.0%,Mendocino,2021-04-13,2021-04-12,2021-04-14 06:25:06
0.6%,42.2%,26.6%,30.6%,Merced,2021-04-13,2021-04-12,2021-04-14 06:25:09
0.1%,20.8%,26.8%,52.3%,Modoc,2021-04-13,2021-04-12,2021-04-14 06:25:12
1.4%,46.6%,29.3%,22.6%,Mono,2021-04-13,2021-04-10,2021-04-14 06:25:17
0.9%,44.8%,26.2%,28.1%,Monterey,2021-04-13,2021-04-12,2021-04-14 06:25:21
0.6%,38.0%,26.6%,34.9%,Napa,2021-04-13,2021-04-12,2021-04-14 06:25:24
0.8%,25.3%,25.8%,48.1%,Nevada,2021-04-13,2021-04-12,2021-04-14 06:25:26
0.8%,39.9%,28.0%,31.3%,Orange,2021-04-13,2021-04-12,2021-04-14 06:25:29
0.8%,30.2%,27.0%,42.1%,Placer,2021-04-13,2021-04-12,2021-04-14 06:25:32
0.2%,22.5%,25.7%,51.6%,Plumas,2021-04-13,2021-04-10,2021-04-14 06:25:34
0.9%,35.8%,28.0%,35.3%,Riverside,2021-04-13,2021-04-12,2021-04-14 06:25:37
0.7%,39.1%,27.5%,32.7%,Sacramento,2021-04-13,2021-04-12,2021-04-14 06:25:40
0.4%,40.6%,28.8%,30.2%,San Benito,2021-04-13,2021-04-12,2021-04-14 06:25:43
0.9%,39.6%,29.0%,30.5%,San Bernardino,2021-04-13,2021-04-12,2021-04-14 06:25:46
0.7%,39.8%,25.2%,34.4%,San Diego,2021-04-13,2021-04-12,2021-04-14 06:25:48
0.5%,48.7%,25.4%,25.5%,San Francisco,2021-04-13,2021-04-12,2021-04-14 06:25:51
0.6%,38.8%,28.7%,31.9%,San Joaquin,2021-04-13,2021-04-12,2021-04-14 06:25:54
0.4%,31.6%,25.4%,42.6%,San Luis Obispo,2021-04-13,2021-04-12,2021-04-14 06:25:56
0.8%,41.0%,28.1%,30.0%,San Mateo,2021-04-13,2021-04-12,2021-04-14 06:25:59
0.8%,40.2%,25.7%,33.4%,Santa Barbara,2021-04-13,2021-04-12,2021-04-14 06:26:02
0.9%,42.0%,29.3%,27.8%,Santa Clara,2021-04-13,2021-04-12,2021-04-14 06:26:05
0.7%,37.8%,27.7%,33.8%,Santa Cruz,2021-04-13,2021-04-12,2021-04-14 06:26:07
0.5%,24.6%,25.5%,49.3%,Shasta,2021-04-13,2021-04-12,2021-04-14 06:26:10
0.000%,24.1%,29.0%,46.9%,Sierra,2021-04-13,2021-04-12,2021-04-14 06:26:13
0.5%,22.8%,25.1%,51.7%,Siskiyou,2021-04-13,2021-04-12,2021-04-14 06:26:16
0.7%,40.8%,27.5%,31.0%,Solano,2021-04-13,2021-04-12,2021-04-14 06:26:19
0.7%,35.1%,27.3%,36.9%,Sonoma,2021-04-13,2021-04-12,2021-04-14 06:26:22
