0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.3%,25.7%,30.4%,0.000%,Alameda,2021-04-06,2021-04-05,2021-04-07 14:21:00
0.1%,35.9%,34.1%,29.8%,0.000%,Alpine,2021-04-06,2021-04-02,2021-04-07 14:21:02
0.1%,19.1%,24.9%,55.8%,0.000%,Amador,2021-04-06,2021-04-05,2021-04-07 14:21:05
0.6%,34.0%,24.6%,40.9%,0.000%,Butte,2021-04-06,2021-04-05,2021-04-07 14:21:07
0.3%,16.7%,23.7%,59.2%,0.000%,Calaveras,2021-04-06,2021-04-05,2021-04-07 14:21:10
0.2%,37.5%,26.0%,36.3%,0.000%,Colusa,2021-04-06,2021-04-05,2021-04-07 14:21:12
0.7%,35.9%,29.3%,34.0%,0.000%,Contra Costa,2021-04-06,2021-04-05,2021-04-07 14:21:15
0.1%,25.5%,26.7%,47.7%,0.000%,Del Norte,2021-04-06,2021-04-05,2021-04-07 14:21:18
0.5%,24.9%,27.2%,47.4%,0.000%,El Dorado,2021-04-06,2021-04-05,2021-04-07 14:21:20
0.6%,41.4%,26.1%,31.8%,0.000%,Fresno,2021-04-06,2021-04-05,2021-04-07 14:21:23
0.3%,31.4%,26.5%,41.8%,0.000%,Glenn,2021-04-06,2021-04-05,2021-04-07 14:21:25
0.3%,36.4%,22.2%,41.2%,0.000%,Humboldt,2021-04-06,2021-04-05,2021-04-07 14:21:28
0.3%,40.9%,24.9%,33.9%,0.000%,Imperial,2021-04-06,2021-04-05,2021-04-07 14:21:30
0.3%,27.9%,24.4%,47.4%,0.000%,Inyo,2021-04-06,2021-04-05,2021-04-07 14:21:33
0.8%,40.6%,26.5%,32.0%,0.000%,Kern,2021-04-06,2021-04-05,2021-04-07 14:21:35
0.5%,43.4%,28.5%,27.6%,0.000%,Kings,2021-04-06,2021-04-05,2021-04-07 14:21:38
0.2%,24.4%,26.6%,48.7%,0.000%,Lake,2021-04-06,2021-04-05,2021-04-07 14:21:40
0.1%,23.1%,26.5%,50.3%,0.000%,Lassen,2021-04-06,2021-04-05,2021-04-07 14:21:43
0.6%,42.4%,26.6%,30.4%,0.000%,Los Angeles,2021-04-06,2021-04-05,2021-04-07 14:21:45
0.4%,35.3%,26.2%,38.1%,0.000%,Madera,2021-04-06,2021-04-05,2021-04-07 14:21:48
1.2%,32.2%,28.3%,38.4%,0.000%,Marin,2021-04-06,2021-04-05,2021-04-07 14:21:50
0.2%,19.5%,25.4%,54.9%,0.02%,Mariposa,2021-04-06,2021-04-05,2021-04-07 14:21:53
0.6%,32.0%,24.4%,43.0%,0.000%,Mendocino,2021-04-06,2021-04-05,2021-04-07 14:21:55
0.6%,40.5%,25.9%,33.0%,0.000%,Merced,2021-04-06,2021-04-05,2021-04-07 14:21:58
0.1%,19.9%,26.3%,53.7%,0.000%,Modoc,2021-04-06,2021-04-01,2021-04-07 14:22:00
1.5%,45.5%,28.8%,24.2%,0.000%,Mono,2021-04-06,2021-04-05,2021-04-07 14:22:03
0.5%,42.0%,25.2%,32.4%,0.000%,Monterey,2021-04-06,2021-04-05,2021-04-07 14:22:05
0.4%,37.3%,24.8%,37.5%,0.000%,Napa,2021-04-06,2021-04-05,2021-04-07 14:22:08
0.6%,23.3%,23.5%,52.6%,0.000%,Nevada,2021-04-06,2021-04-05,2021-04-07 14:22:10
0.6%,39.1%,25.9%,34.3%,0.000%,Orange,2021-04-06,2021-04-05,2021-04-07 14:22:13
0.6%,29.0%,24.7%,45.8%,0.000%,Placer,2021-04-06,2021-04-05,2021-04-07 14:22:15
0.1%,20.4%,22.1%,57.4%,0.000%,Plumas,2021-04-06,2021-04-05,2021-04-07 14:22:18
0.5%,33.4%,26.7%,39.4%,0.000%,Riverside,2021-04-06,2021-04-05,2021-04-07 14:22:20
0.6%,38.0%,25.9%,35.6%,0.000%,Sacramento,2021-04-06,2021-04-05,2021-04-07 14:22:23
0.3%,39.9%,26.7%,33.0%,0.000%,San Benito,2021-04-06,2021-04-05,2021-04-07 14:22:26
0.6%,38.4%,27.4%,33.6%,0.000%,San Bernardino,2021-04-06,2021-04-05,2021-04-07 14:22:28
0.5%,38.1%,23.7%,37.6%,0.000%,San Diego,2021-04-06,2021-04-05,2021-04-07 14:22:31
0.4%,46.6%,24.7%,28.3%,0.000%,San Francisco,2021-04-06,2021-04-05,2021-04-07 14:22:33
0.6%,37.6%,27.0%,34.8%,0.004%,San Joaquin,2021-04-06,2021-04-05,2021-04-07 14:22:36
0.4%,29.3%,22.8%,47.5%,0.000%,San Luis Obispo,2021-04-06,2021-04-05,2021-04-07 14:22:38
0.7%,39.9%,26.2%,33.2%,0.000%,San Mateo,2021-04-06,2021-04-05,2021-04-07 14:22:41
0.4%,36.6%,24.4%,38.6%,0.000%,Santa Barbara,2021-04-06,2021-04-05,2021-04-07 14:22:43
0.7%,40.0%,26.8%,32.6%,0.000%,Santa Clara,2021-04-06,2021-04-05,2021-04-07 14:22:46
0.5%,36.7%,25.3%,37.5%,0.000%,Santa Cruz,2021-04-06,2021-04-05,2021-04-07 14:22:48
0.3%,24.0%,24.3%,51.4%,0.000%,Shasta,2021-04-06,2021-04-05,2021-04-07 14:22:51
0.000%,21.2%,28.0%,50.8%,0.000%,Sierra,2021-04-06,2021-04-05,2021-04-07 14:22:53
0.4%,22.3%,23.6%,53.7%,0.000%,Siskiyou,2021-04-06,2021-04-05,2021-04-07 14:22:56
0.4%,35.0%,27.5%,37.2%,0.000%,Solano,2021-04-06,2021-04-05,2021-04-07 14:22:58
0.5%,33.9%,25.5%,40.1%,0.000%,Sonoma,2021-04-06,2021-04-05,2021-04-07 14:23:01
0.9%,37.1%,26.8%,35.2%,0.005%,Stanislaus,2021-04-06,2021-04-05,2021-04-07 14:23:04
0.2%,33.2%,27.0%,39.6%,0.000%,Sutter,2021-04-06,2021-04-05,2021-04-07 14:23:06
