Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
56.5%,43.1%,0.3%,Alameda,2021-03-31,2021-03-30,2021-03-31 20:22:35
46.8%,52.8%,0.4%,Alpine,2021-03-31,2021-03-29,2021-03-31 20:22:37
55.8%,44.0%,0.1%,Amador,2021-03-31,2021-03-30,2021-03-31 20:22:40
56.4%,43.5%,0.1%,Butte,2021-03-31,2021-03-30,2021-03-31 20:22:43
54.6%,44.6%,0.8%,Calaveras,2021-03-31,2021-03-30,2021-03-31 20:22:45
51.3%,46.9%,1.7%,Colusa,2021-03-31,2021-03-30,2021-03-31 20:22:48
56.6%,43.3%,0.1%,Contra Costa,2021-03-31,2021-03-30,2021-03-31 20:22:50
53.9%,46.0%,0.1%,Del Norte,2021-03-31,2021-03-30,2021-03-31 20:22:53
55.3%,44.6%,0.1%,El Dorado,2021-03-31,2021-03-30,2021-03-31 20:22:55
55.5%,44.4%,0.1%,Fresno,2021-03-31,2021-03-30,2021-03-31 20:22:58
55.1%,44.7%,0.1%,Glenn,2021-03-31,2021-03-30,2021-03-31 20:23:01
57.4%,42.5%,0.1%,Humboldt,2021-03-31,2021-03-30,2021-03-31 20:23:03
53.9%,46.0%,0.0%,Imperial,2021-03-31,2021-03-30,2021-03-31 20:23:06
52.7%,47.2%,0.1%,Inyo,2021-03-31,2021-03-30,2021-03-31 20:23:08
55.1%,44.3%,0.6%,Kern,2021-03-31,2021-03-30,2021-03-31 20:23:11
54.5%,45.1%,0.3%,Kings,2021-03-31,2021-03-30,2021-03-31 20:23:13
54.2%,45.7%,0.1%,Lake,2021-03-31,2021-03-30,2021-03-31 20:23:16
52.4%,47.4%,0.2%,Lassen,2021-03-31,2021-03-30,2021-03-31 20:23:18
55.7%,44.1%,0.2%,Los Angeles,2021-03-31,2021-03-30,2021-03-31 20:23:21
54.8%,45.1%,0.1%,Madera,2021-03-31,2021-03-30,2021-03-31 20:23:23
56.2%,43.7%,0.1%,Marin,2021-03-31,2021-03-30,2021-03-31 20:23:26
55.6%,44.0%,0.4%,Mariposa,2021-03-31,2021-03-30,2021-03-31 20:23:28
53.9%,45.4%,0.8%,Mendocino,2021-03-31,2021-03-30,2021-03-31 20:23:31
55.0%,44.6%,0.4%,Merced,2021-03-31,2021-03-30,2021-03-31 20:23:33
52.7%,47.3%,0.0%,Modoc,2021-03-31,2021-03-30,2021-03-31 20:23:36
47.3%,52.6%,0.0%,Mono,2021-03-31,2021-03-30,2021-03-31 20:23:39
55.6%,44.0%,0.4%,Monterey,2021-03-31,2021-03-30,2021-03-31 20:23:41
53.3%,46.6%,0.1%,Napa,2021-03-31,2021-03-30,2021-03-31 20:23:44
55.6%,44.0%,0.4%,Nevada,2021-03-31,2021-03-30,2021-03-31 20:23:46
55.3%,43.8%,0.9%,Orange,2021-03-31,2021-03-30,2021-03-31 20:23:49
56.9%,43.1%,0.1%,Placer,2021-03-31,2021-03-30,2021-03-31 20:23:52
54.0%,46.0%,0.0%,Plumas,2021-03-31,2021-03-30,2021-03-31 20:23:54
55.2%,44.7%,0.1%,Riverside,2021-03-31,2021-03-30,2021-03-31 20:23:57
57.0%,42.8%,0.2%,Sacramento,2021-03-31,2021-03-30,2021-03-31 20:24:00
56.1%,43.6%,0.3%,San Benito,2021-03-31,2021-03-30,2021-03-31 20:24:02
56.7%,43.2%,0.1%,San Bernardino,2021-03-31,2021-03-30,2021-03-31 20:24:05
56.9%,42.4%,0.8%,San Diego,2021-03-31,2021-03-30,2021-03-31 20:24:07
52.6%,47.1%,0.3%,San Francisco,2021-03-31,2021-03-30,2021-03-31 20:24:10
55.6%,44.0%,0.4%,San Joaquin,2021-03-31,2021-03-30,2021-03-31 20:24:12
56.0%,43.8%,0.1%,San Luis Obispo,2021-03-31,2021-03-30,2021-03-31 20:24:15
56.4%,43.5%,0.1%,San Mateo,2021-03-31,2021-03-30,2021-03-31 20:24:19
55.7%,44.1%,0.1%,Santa Barbara,2021-03-31,2021-03-30,2021-03-31 20:24:21
55.6%,44.0%,0.4%,Santa Clara,2021-03-31,2021-03-30,2021-03-31 20:24:24
56.6%,43.0%,0.4%,Santa Cruz,2021-03-31,2021-03-30,2021-03-31 20:24:26
57.1%,42.8%,0.1%,Shasta,2021-03-31,2021-03-30,2021-03-31 20:24:29
52.2%,47.7%,0.2%,Sierra,2021-03-31,2021-03-30,2021-03-31 20:24:31
54.6%,45.4%,0.1%,Siskiyou,2021-03-31,2021-03-30,2021-03-31 20:24:34
55.6%,44.0%,0.4%,Solano,2021-03-31,2021-03-30,2021-03-31 20:24:36
56.4%,43.6%,0.1%,Sonoma,2021-03-31,2021-03-30,2021-03-31 20:24:39
56.1%,43.5%,0.4%,Stanislaus,2021-03-31,2021-03-30,2021-03-31 20:24:42
55.4%,44.2%,0.4%,Sutter,2021-03-31,2021-03-30,2021-03-31 20:24:45
55.4%,44.5%,0.1%,Tehama,2021-03-31,2021-03-30,2021-03-31 20:24:47
50.5%,49.4%,0.2%,Trinity,2021-03-31,2021-03-30,2021-03-31 20:24:50
54.8%,45.2%,0.0%,Tulare,2021-03-31,2021-03-30,2021-03-31 20:24:52
54.7%,45.2%,0.1%,Tuolumne,2021-03-31,2021-03-30,2021-03-31 20:24:55
55.7%,44.3%,0.0%,Ventura,2021-03-31,2021-03-30,2021-03-31 20:24:57
55.1%,41.4%,3.6%,Yolo,2021-03-31,2021-03-30,2021-03-31 20:25:00
57.1%,42.6%,0.3%,Yuba,2021-03-31,2021-03-30,2021-03-31 20:25:03
