American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Alameda,2021-04-03,2021-04-02,2021-04-03 16:36:15
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Alpine,2021-04-03,2021-04-02,2021-04-03 16:36:17
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Amador,2021-04-03,2021-04-02,2021-04-03 16:36:20
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Butte,2021-04-03,2021-04-02,2021-04-03 16:36:22
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Calaveras,2021-04-03,2021-04-02,2021-04-03 16:36:25
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Colusa,2021-04-03,2021-04-02,2021-04-03 16:36:29
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Contra Costa,2021-04-03,2021-04-02,2021-04-03 16:36:31
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Del Norte,2021-04-03,2021-04-02,2021-04-03 16:36:34
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,El Dorado,2021-04-03,2021-04-02,2021-04-03 16:36:37
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Fresno,2021-04-03,2021-04-02,2021-04-03 16:36:40
1.9%,1.2%,0.2%,22.1%,7.5%,0.1%,41.9%,10.4%,14.7%,Glenn,2021-04-03,2021-04-02,2021-04-03 16:36:43
3.2%,1.4%,0.7%,7.0%,12.2%,0.2%,63.4%,3.4%,8.6%,Humboldt,2021-04-03,2021-04-02,2021-04-03 16:36:45
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Imperial,2021-04-03,2021-04-02,2021-04-03 16:36:48
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Inyo,2021-04-03,2021-04-02,2021-04-03 16:36:51
0.3%,4.1%,2.4%,31.4%,10.1%,0.3%,28.5%,11.6%,11.3%,Kern,2021-04-03,2021-04-02,2021-04-03 16:36:53
0.7%,2.6%,2.1%,41.0%,5.9%,0.2%,26.6%,6.2%,14.7%,Kings,2021-04-03,2021-04-02,2021-04-03 16:36:56
1.6%,1.1%,1.2%,16.0%,14.0%,0.1%,55.0%,3.7%,7.2%,Lake,2021-04-03,2021-04-02,2021-04-03 16:36:59
1.2%,1.4%,0.7%,7.0%,7.1%,0.3%,59.5%,3.6%,19.2%,Lassen,2021-04-03,2021-04-02,2021-04-03 16:37:02
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Los Angeles,2021-04-03,2021-04-02,2021-04-03 16:37:04
0.9%,1.9%,1.4%,32.8%,6.1%,0.1%,32.6%,8.6%,15.6%,Madera,2021-04-03,2021-04-02,2021-04-03 16:37:07
0.1%,3.8%,0.9%,9.8%,10.4%,0.2%,47.8%,6.3%,20.7%,Marin,2021-04-03,2021-04-02,2021-04-03 16:37:10
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Mariposa,2021-04-03,2021-04-02,2021-04-03 16:37:12
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Mendocino,2021-04-03,2021-04-02,2021-04-03 16:37:15
0.3%,6.0%,1.6%,34.3%,0.4%,0.3%,25.3%,8.4%,23.4%,Merced,2021-04-03,2021-04-02,2021-04-03 16:37:18
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Modoc,2021-04-03,2021-04-02,2021-04-03 16:37:21
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Mono,2021-04-03,2021-04-01,2021-04-03 16:37:23
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Monterey,2021-04-03,2021-04-02,2021-04-03 16:37:26
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Napa,2021-04-03,2021-04-02,2021-04-03 16:37:29
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Nevada,2021-04-03,2021-04-02,2021-04-03 16:37:31
0.1%,17.8%,0.9%,12.9%,13.0%,0.3%,31.0%,11.2%,12.7%,Orange,2021-04-03,2021-04-02,2021-04-03 16:37:34
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Placer,2021-04-03,2021-04-02,2021-04-03 16:37:37
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Plumas,2021-04-03,2021-04-02,2021-04-03 16:37:39
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Riverside,2021-04-03,2021-04-02,2021-04-03 16:37:42
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Sacramento,2021-04-03,2021-04-02,2021-04-03 16:37:45
0.2%,2.1%,0.6%,28.5%,4.1%,0.2%,21.1%,10.1%,33.0%,San Benito,2021-04-03,2021-04-02,2021-04-03 16:37:48
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,San Bernardino,2021-04-03,2021-04-02,2021-04-03 16:37:50
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,San Diego,2021-04-03,2021-04-02,2021-04-03 16:37:53
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,San Francisco,2021-04-03,2021-04-02,2021-04-03 16:37:56
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,San Joaquin,2021-04-03,2021-04-02,2021-04-03 16:37:59
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,San Luis Obispo,2021-04-03,2021-04-02,2021-04-03 16:38:02
0.2%,17.8%,1.1%,10.0%,12.4%,0.5%,28.0%,10.0%,20.0%,San Mateo,2021-04-03,2021-04-02,2021-04-03 16:38:04
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Santa Barbara,2021-04-03,2021-04-02,2021-04-03 16:38:07
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Santa Clara,2021-04-03,2021-04-02,2021-04-03 16:38:10
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Santa Cruz,2021-04-03,2021-04-02,2021-04-03 16:38:12
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Shasta,2021-04-03,2021-04-02,2021-04-03 16:38:15
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Sierra,2021-04-03,2021-04-01,2021-04-03 16:38:18
