0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.4%,26.0%,30.0%,0.000%,Alameda,2021-04-07,2021-04-06,2021-04-07 16:39:17
0.1%,35.9%,34.1%,29.8%,0.000%,Alpine,2021-04-07,2021-04-02,2021-04-07 16:39:19
0.1%,19.1%,25.0%,55.7%,0.000%,Amador,2021-04-07,2021-04-06,2021-04-07 16:39:22
0.6%,34.3%,24.6%,40.5%,0.000%,Butte,2021-04-07,2021-04-06,2021-04-07 16:39:25
0.4%,16.9%,24.6%,58.1%,0.000%,Calaveras,2021-04-07,2021-04-06,2021-04-07 16:39:27
0.2%,37.5%,26.2%,36.1%,0.000%,Colusa,2021-04-07,2021-04-06,2021-04-07 16:39:30
0.8%,36.5%,29.3%,33.4%,0.000%,Contra Costa,2021-04-07,2021-04-06,2021-04-07 16:39:32
0.6%,39.4%,26.3%,33.7%,0.005%,Del Norte,2021-04-07,2021-04-06,2021-04-07 16:39:35
0.5%,24.9%,27.5%,47.2%,0.000%,El Dorado,2021-04-07,2021-04-06,2021-04-07 16:39:37
0.6%,41.5%,26.3%,31.6%,0.000%,Fresno,2021-04-07,2021-04-06,2021-04-07 16:39:40
0.3%,31.5%,26.7%,41.5%,0.000%,Glenn,2021-04-07,2021-04-06,2021-04-07 16:39:42
0.3%,36.3%,22.7%,40.6%,0.000%,Humboldt,2021-04-07,2021-04-06,2021-04-07 16:39:45
0.3%,41.2%,25.1%,33.5%,0.000%,Imperial,2021-04-07,2021-04-06,2021-04-07 16:39:47
0.3%,27.9%,25.0%,46.8%,0.000%,Inyo,2021-04-07,2021-04-06,2021-04-07 16:39:50
0.9%,40.8%,26.6%,31.7%,0.000%,Kern,2021-04-07,2021-04-06,2021-04-07 16:39:53
0.5%,43.4%,28.7%,27.4%,0.000%,Kings,2021-04-07,2021-04-06,2021-04-07 16:39:55
0.2%,24.4%,27.2%,48.2%,0.000%,Lake,2021-04-07,2021-04-06,2021-04-07 16:39:58
0.1%,23.1%,26.6%,50.2%,0.000%,Lassen,2021-04-07,2021-04-06,2021-04-07 16:40:00
0.6%,42.5%,26.9%,30.0%,0.000%,Los Angeles,2021-04-07,2021-04-06,2021-04-07 16:40:03
0.6%,39.4%,26.3%,33.7%,0.005%,Madera,2021-04-07,2021-04-06,2021-04-07 16:40:05
1.2%,32.3%,28.6%,37.9%,0.000%,Marin,2021-04-07,2021-04-06,2021-04-07 16:40:08
0.2%,19.5%,25.4%,54.9%,0.02%,Mariposa,2021-04-07,2021-04-06,2021-04-07 16:40:11
0.6%,32.0%,24.4%,42.9%,0.000%,Mendocino,2021-04-07,2021-04-06,2021-04-07 16:40:13
0.6%,40.5%,25.9%,33.0%,0.000%,Merced,2021-04-07,2021-04-06,2021-04-07 16:40:16
0.1%,19.9%,26.4%,53.7%,0.000%,Modoc,2021-04-07,2021-04-06,2021-04-07 16:40:18
1.4%,45.5%,28.9%,24.1%,0.000%,Mono,2021-04-07,2021-04-05,2021-04-07 16:40:21
0.5%,42.1%,25.3%,32.1%,0.000%,Monterey,2021-04-07,2021-04-06,2021-04-07 16:40:23
0.5%,37.5%,25.3%,36.8%,0.000%,Napa,2021-04-07,2021-04-06,2021-04-07 16:40:26
0.6%,23.6%,23.8%,52.1%,0.000%,Nevada,2021-04-07,2021-04-06,2021-04-07 16:40:28
0.6%,39.1%,26.3%,34.0%,0.000%,Orange,2021-04-07,2021-04-06,2021-04-07 16:40:31
0.6%,29.1%,25.1%,45.3%,0.000%,Placer,2021-04-07,2021-04-06,2021-04-07 16:40:34
0.1%,20.4%,22.1%,57.4%,0.000%,Plumas,2021-04-07,2021-04-06,2021-04-07 16:40:36
