American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Alameda,2021-04-08,2021-04-07,2021-04-09 10:23:23
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Alpine,2021-04-08,2021-04-06,2021-04-09 10:23:25
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Amador,2021-04-08,2021-04-07,2021-04-09 10:23:28
1.1%,2.8%,0.8%,9.5%,17.3%,0.1%,58.0%,6.6%,3.7%,Butte,2021-04-08,2021-04-07,2021-04-09 10:23:31
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Calaveras,2021-04-08,2021-04-07,2021-04-09 10:23:33
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Colusa,2021-04-08,2021-04-07,2021-04-09 10:23:36
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Contra Costa,2021-04-08,2021-04-07,2021-04-09 10:23:38
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Del Norte,2021-04-08,2021-04-07,2021-04-09 10:23:41
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,El Dorado,2021-04-08,2021-04-07,2021-04-09 10:23:43
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Fresno,2021-04-08,2021-04-07,2021-04-09 10:23:46
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Glenn,2021-04-08,2021-04-07,2021-04-09 10:23:48
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Humboldt,2021-04-08,2021-04-07,2021-04-09 10:23:51
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Imperial,2021-04-08,2021-04-07,2021-04-09 10:23:54
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Inyo,2021-04-08,2021-04-07,2021-04-09 10:23:56
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Kern,2021-04-08,2021-04-07,2021-04-09 10:23:59
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Kings,2021-04-08,2021-04-07,2021-04-09 10:24:01
1.8%,1.2%,1.3%,16.8%,15.9%,0.2%,57.7%,2.6%,2.6%,Lake,2021-04-08,2021-04-07,2021-04-09 10:24:04
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Lassen,2021-04-08,2021-04-07,2021-04-09 10:24:06
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Los Angeles,2021-04-08,2021-04-07,2021-04-09 10:24:09
0.9%,2.1%,1.6%,37.5%,7.9%,0.1%,34.7%,9.6%,5.7%,Madera,2021-04-08,2021-04-07,2021-04-09 10:24:12
0.1%,4.9%,1.1%,11.6%,13.0%,0.2%,58.7%,6.8%,3.4%,Marin,2021-04-08,2021-04-07,2021-04-09 10:24:14
1.7%,1.0%,0.4%,7.9%,3.3%,0.1%,65.3%,4.5%,15.8%,Mariposa,2021-04-08,2021-04-07,2021-04-09 10:24:17
0.8%,1.4%,0.3%,16.4%,16.7%,0.2%,51.2%,5.6%,7.5%,Mendocino,2021-04-08,2021-04-07,2021-04-09 10:24:19
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Merced,2021-04-08,2021-04-07,2021-04-09 10:24:22
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Modoc,2021-04-08,2021-04-06,2021-04-09 10:24:24
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Mono,2021-04-08,2021-04-07,2021-04-09 10:24:27
0.2%,4.3%,1.1%,45.0%,11.1%,0.5%,27.1%,5.1%,5.6%,Monterey,2021-04-08,2021-04-07,2021-04-09 10:24:30
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Napa,2021-04-08,2021-04-07,2021-04-09 10:24:32
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Nevada,2021-04-08,2021-04-07,2021-04-09 10:24:35
0.1%,19.2%,1.0%,14.9%,16.3%,0.3%,32.5%,8.9%,6.9%,Orange,2021-04-08,2021-04-07,2021-04-09 10:24:37
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Placer,2021-04-08,2021-04-07,2021-04-09 10:24:40
0.9%,0.7%,0.4%,2.8%,6.7%,0.1%,75.2%,3.6%,9.5%,Plumas,2021-04-08,2021-04-07,2021-04-09 10:24:43
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Riverside,2021-04-08,2021-04-07,2021-04-09 10:24:46
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Sacramento,2021-04-08,2021-04-07,2021-04-09 10:24:48
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,San Benito,2021-04-08,2021-04-07,2021-04-09 10:24:51
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,San Bernardino,2021-04-08,2021-04-07,2021-04-09 10:24:53
0.4%,12.3%,2.5%,21.4%,0.6%,0.6%,45.3%,8.9%,8.0%,San Diego,2021-04-08,2021-04-07,2021-04-09 10:24:56
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,San Francisco,2021-04-08,2021-04-07,2021-04-09 10:24:58
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,San Joaquin,2021-04-08,2021-04-07,2021-04-09 10:25:01
0.2%,1.7%,0.5%,10.0%,14.1%,0.2%,39.6%,11.0%,22.8%,San Luis Obispo,2021-04-08,2021-04-07,2021-04-09 10:25:03
0.2%,20.0%,1.3%,10.6%,20.0%,0.7%,29.6%,11.9%,5.7%,San Mateo,2021-04-08,2021-04-07,2021-04-09 10:25:06
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Santa Barbara,2021-04-08,2021-04-07,2021-04-09 10:25:09
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Santa Clara,2021-04-08,2021-04-07,2021-04-09 10:25:11
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Santa Cruz,2021-04-08,2021-04-07,2021-04-09 10:25:14
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Shasta,2021-04-08,2021-04-07,2021-04-09 10:25:17
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Sierra,2021-04-08,2021-04-07,2021-04-09 10:25:19
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Siskiyou,2021-04-08,2021-04-07,2021-04-09 10:25:22
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Solano,2021-04-08,2021-04-07,2021-04-09 10:25:24
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Sonoma,2021-04-08,2021-04-07,2021-04-09 10:25:27
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Stanislaus,2021-04-08,2021-04-07,2021-04-09 10:25:30
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Sutter,2021-04-08,2021-04-07,2021-04-09 10:25:32
1.0%,0.9%,0.3%,13.4%,10.0%,0.2%,54.1%,8.6%,11.4%,Tehama,2021-04-08,2021-04-07,2021-04-09 10:25:35
1.8%,1.4%,0.2%,3.4%,10.7%,0.2%,75.5%,1.2%,5.5%,Trinity,2021-04-08,2021-04-07,2021-04-09 10:25:38
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Tulare,2021-04-08,2021-04-07,2021-04-09 10:25:41
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Tuolumne,2021-04-08,2021-04-07,2021-04-09 10:25:43
0.3%,13.3%,3.3%,22.3%,12.9%,0.4%,31.6%,9.9%,6.1%,Ventura,2021-04-08,2021-04-07,2021-04-09 10:25:46
0.5%,8.0%,1.3%,15.9%,9.5%,0.4%,35.7%,11.0%,17.7%,Yolo,2021-04-08,2021-04-07,2021-04-09 10:25:48
1.2%,5.4%,2.3%,19.5%,11.3%,0.4%,52.3%,4.6%,3.0%,Yuba,2021-04-08,2021-04-07,2021-04-09 10:25:51
