American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.5%,5.5%,10.3%,10.0%,0.5%,24.7%,8.8%,19.4%,Alameda,2021-03-28,2021-03-27,2021-03-29 04:28:04
1.7%,0.6%,0.3%,0.6%,0.3%,0.0%,17.8%,0.9%,77.9%,Alpine,2021-03-28,2021-03-25,2021-03-29 04:28:07
0.8%,1.5%,0.4%,7.3%,3.8%,0.3%,67.6%,8.7%,9.7%,Amador,2021-03-28,2021-03-27,2021-03-29 04:28:09
1.1%,2.2%,0.7%,7.5%,15.6%,0.1%,56.5%,8.1%,8.2%,Butte,2021-03-28,2021-03-27,2021-03-29 04:28:12
0.4%,1.1%,0.4%,4.8%,1.4%,0.2%,54.4%,8.6%,28.8%,Calaveras,2021-03-28,2021-03-27,2021-03-29 04:28:14
1.1%,0.7%,0.4%,27.1%,5.5%,0.1%,32.1%,5.6%,27.3%,Colusa,2021-03-28,2021-03-27,2021-03-29 04:28:17
0.2%,10.8%,4.4%,12.5%,10.8%,0.5%,34.0%,7.7%,19.0%,Contra Costa,2021-03-28,2021-03-27,2021-03-29 04:28:19
6.6%,1.7%,0.5%,5.1%,7.6%,0.1%,60.8%,3.0%,14.5%,Del Norte,2021-03-28,2021-03-27,2021-03-29 04:28:23
0.2%,2.8%,0.5%,5.4%,12.4%,0.3%,49.3%,7.9%,21.2%,El Dorado,2021-03-28,2021-03-27,2021-03-29 04:28:25
0.5%,6.9%,2.1%,31.5%,8.8%,0.2%,28.6%,7.8%,13.6%,Fresno,2021-03-28,2021-03-27,2021-03-29 04:28:28
2.0%,1.2%,0.2%,21.6%,7.9%,0.1%,42.5%,10.5%,13.9%,Glenn,2021-03-28,2021-03-27,2021-03-29 04:28:30
3.3%,1.3%,0.7%,6.3%,13.3%,0.2%,64.0%,3.1%,7.7%,Humboldt,2021-03-28,2021-03-27,2021-03-29 04:28:33
0.1%,0.7%,0.4%,65.1%,2.1%,0.1%,9.7%,7.1%,14.8%,Imperial,2021-03-28,2021-03-27,2021-03-29 04:28:35
1.0%,1.0%,0.2%,9.1%,20.8%,0.2%,53.4%,5.3%,9.0%,Inyo,2021-03-28,2021-03-27,2021-03-29 04:28:38
0.3%,4.1%,2.4%,31.2%,10.9%,0.3%,28.8%,11.5%,10.6%,Kern,2021-03-28,2021-03-27,2021-03-29 04:28:40
0.7%,2.6%,2.0%,40.9%,6.4%,0.2%,27.1%,6.3%,13.7%,Kings,2021-03-28,2021-03-27,2021-03-29 04:28:43
1.7%,1.1%,1.2%,16.1%,14.6%,0.1%,55.4%,3.5%,6.4%,Lake,2021-03-28,2021-03-27,2021-03-29 04:28:45
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Lassen,2021-03-28,2021-03-26,2021-03-29 04:28:48
0.2%,12.4%,4.4%,24.8%,15.9%,0.4%,19.6%,14.5%,7.8%,Los Angeles,2021-03-28,2021-03-27,2021-03-29 04:28:50
0.9%,1.8%,1.5%,32.9%,6.3%,0.1%,33.4%,8.4%,14.6%,Madera,2021-03-28,2021-03-27,2021-03-29 04:28:53
0.1%,3.9%,1.0%,9.7%,11.0%,0.2%,48.8%,6.3%,19.1%,Marin,2021-03-28,2021-03-27,2021-03-29 04:28:55
1.8%,0.8%,0.3%,7.4%,2.3%,0.1%,61.9%,5.2%,20.1%,Mariposa,2021-03-28,2021-03-27,2021-03-29 04:28:58
0.8%,1.3%,0.3%,16.7%,13.5%,0.2%,50.2%,5.7%,11.3%,Mendocino,2021-03-28,2021-03-27,2021-03-29 04:29:00
0.4%,5.9%,1.6%,33.5%,0.4%,0.3%,25.6%,8.5%,23.8%,Merced,2021-03-28,2021-03-27,2021-03-29 04:29:02
2.2%,1.5%,1.0%,7.5%,4.6%,0.1%,71.0%,1.9%,10.0%,Modoc,2021-03-28,2021-03-26,2021-03-29 04:29:05
0.4%,1.3%,0.3%,21.5%,10.4%,0.1%,57.8%,1.7%,6.5%,Mono,2021-03-28,2021-03-27,2021-03-29 04:29:07
0.2%,4.1%,1.1%,36.0%,10.0%,0.5%,26.4%,7.3%,14.3%,Monterey,2021-03-28,2021-03-27,2021-03-29 04:29:10
0.2%,4.1%,0.9%,17.8%,6.7%,0.4%,40.2%,6.2%,23.6%,Napa,2021-03-28,2021-03-27,2021-03-29 04:29:12
0.8%,0.7%,0.3%,5.2%,16.1%,0.1%,61.7%,6.3%,8.9%,Nevada,2021-03-28,2021-03-27,2021-03-29 04:29:15
0.1%,18.2%,0.9%,12.8%,14.2%,0.3%,31.3%,10.8%,11.5%,Orange,2021-03-28,2021-03-27,2021-03-29 04:29:17
0.4%,5.3%,0.9%,8.9%,12.1%,0.4%,45.4%,7.9%,18.8%,Placer,2021-03-28,2021-03-27,2021-03-29 04:29:20
0.8%,0.6%,0.4%,2.1%,6.3%,0.0%,73.6%,3.6%,12.5%,Plumas,2021-03-28,2021-03-27,2021-03-29 04:29:22
0.3%,5.7%,3.7%,24.0%,12.9%,0.3%,32.1%,12.6%,8.4%,Riverside,2021-03-28,2021-03-27,2021-03-29 04:29:25
0.4%,10.5%,3.9%,8.1%,8.8%,0.9%,29.4%,10.8%,27.2%,Sacramento,2021-03-28,2021-03-27,2021-03-29 04:29:27
0.2%,2.1%,0.6%,28.9%,4.5%,0.2%,21.9%,10.4%,31.2%,San Benito,2021-03-28,2021-03-27,2021-03-29 04:29:30
0.2%,8.9%,4.8%,27.3%,12.3%,0.4%,25.2%,12.5%,8.4%,San Bernardino,2021-03-28,2021-03-27,2021-03-29 04:29:32
0.4%,11.8%,2.4%,20.3%,0.5%,0.6%,46.0%,9.4%,8.6%,San Diego,2021-03-28,2021-03-27,2021-03-29 04:29:35
0.2%,28.5%,3.0%,10.8%,7.3%,0.3%,26.1%,5.9%,17.9%,San Francisco,2021-03-28,2021-03-27,2021-03-29 04:29:38
0.4%,10.6%,3.6%,15.2%,1.9%,0.9%,23.9%,15.3%,28.3%,San Joaquin,2021-03-28,2021-03-27,2021-03-29 04:29:40
0.2%,1.2%,0.4%,6.9%,11.4%,0.1%,30.9%,14.7%,34.2%,San Luis Obispo,2021-03-28,2021-03-27,2021-03-29 04:29:43
0.2%,18.2%,1.1%,10.0%,13.3%,0.6%,28.6%,10.0%,18.1%,San Mateo,2021-03-28,2021-03-27,2021-03-29 04:29:45
0.3%,2.7%,0.8%,21.1%,16.8%,0.2%,34.4%,14.1%,9.5%,Santa Barbara,2021-03-28,2021-03-27,2021-03-29 04:29:48
0.1%,24.8%,1.4%,11.4%,12.1%,0.4%,23.8%,8.4%,17.7%,Santa Clara,2021-03-28,2021-03-27,2021-03-29 04:29:50
0.2%,2.0%,0.4%,20.1%,14.9%,0.1%,40.4%,10.0%,11.9%,Santa Cruz,2021-03-28,2021-03-27,2021-03-29 04:29:53
0.7%,1.3%,0.4%,3.2%,20.0%,0.1%,45.1%,13.3%,15.8%,Shasta,2021-03-28,2021-03-27,2021-03-29 04:29:55
0.5%,0.8%,0.1%,8.2%,8.9%,0.0%,73.0%,3.2%,5.3%,Sierra,2021-03-28,2021-03-26,2021-03-29 04:29:58
1.6%,0.8%,0.5%,6.3%,8.3%,0.0%,58.9%,4.4%,19.1%,Siskiyou,2021-03-28,2021-03-27,2021-03-29 04:30:01
0.3%,10.7%,6.4%,8.8%,6.8%,0.9%,26.6%,11.2%,28.3%,Solano,2021-03-28,2021-03-27,2021-03-29 04:30:03
0.5%,2.1%,0.7%,13.6%,10.8%,0.2%,43.3%,8.5%,20.4%,Sonoma,2021-03-28,2021-03-27,2021-03-29 04:30:06
0.5%,5.2%,1.7%,25.5%,0.6%,0.7%,36.3%,9.5%,20.2%,Stanislaus,2021-03-28,2021-03-27,2021-03-29 04:30:08
0.7%,13.6%,1.0%,16.5%,12.1%,0.3%,38.7%,7.5%,9.6%,Sutter,2021-03-28,2021-03-27,2021-03-29 04:30:11
1.0%,0.6%,0.2%,10.8%,8.5%,0.1%,48.8%,9.9%,20.0%,Tehama,2021-03-28,2021-03-27,2021-03-29 04:30:13
1.3%,1.1%,0.2%,2.3%,8.8%,0.3%,62.6%,3.2%,20.2%,Trinity,2021-03-28,2021-03-26,2021-03-29 04:30:15
0.3%,2.6%,0.7%,43.5%,5.9%,0.2%,30.0%,6.0%,10.8%,Tulare,2021-03-28,2021-03-27,2021-03-29 04:30:18
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Tuolumne,2021-03-28,2021-03-27,2021-03-29 04:30:20
0.2%,5.2%,0.9%,27.6%,16.1%,0.3%,33.6%,10.7%,5.4%,Ventura,2021-03-28,2021-03-27,2021-03-29 04:30:23
0.4%,6.3%,1.0%,13.0%,7.5%,0.3%,30.7%,9.4%,31.4%,Yolo,2021-03-28,2021-03-27,2021-03-29 04:30:26
1.1%,4.2%,2.0%,17.2%,9.4%,0.3%,48.9%,4.8%,12.2%,Yuba,2021-03-28,2021-03-27,2021-03-29 04:30:28
