0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,41.0%,22.5%,36.1%,Alameda,2021-03-26,2021-03-25,2021-03-26 22:20:51
0.1%,34.7%,33.9%,31.3%,Alpine,2021-03-26,2021-03-25,2021-03-26 22:20:54
0.1%,17.8%,21.5%,60.6%,Amador,2021-03-26,2021-03-25,2021-03-26 22:20:56
0.2%,31.2%,23.7%,44.8%,Butte,2021-03-26,2021-03-25,2021-03-26 22:20:58
0.3%,15.6%,21.7%,62.4%,Calaveras,2021-03-26,2021-03-25,2021-03-26 22:21:01
0.4%,36.9%,23.1%,39.6%,Colusa,2021-03-26,2021-03-25,2021-03-26 22:21:04
0.5%,33.6%,25.1%,40.8%,Contra Costa,2021-03-26,2021-03-25,2021-03-26 22:21:06
0.1%,24.0%,24.6%,51.3%,Del Norte,2021-03-26,2021-03-25,2021-03-26 22:21:09
0.3%,23.7%,24.2%,51.8%,El Dorado,2021-03-26,2021-03-25,2021-03-26 22:21:11
0.4%,39.7%,24.8%,35.1%,Fresno,2021-03-26,2021-03-25,2021-03-26 22:21:14
0.2%,28.8%,23.5%,47.6%,Glenn,2021-03-26,2021-03-25,2021-03-26 22:21:17
0.1%,32.9%,19.2%,47.8%,Humboldt,2021-03-26,2021-03-25,2021-03-26 22:21:19
0.2%,38.2%,22.5%,39.2%,Imperial,2021-03-26,2021-03-25,2021-03-26 22:21:22
0.3%,26.8%,20.6%,52.3%,Inyo,2021-03-26,2021-03-25,2021-03-26 22:21:24
0.4%,36.9%,23.1%,39.6%,Kern,2021-03-26,2021-03-25,2021-03-26 22:21:27
0.3%,41.8%,27.4%,30.4%,Kings,2021-03-26,2021-03-25,2021-03-26 22:21:29
0.4%,36.9%,23.1%,39.6%,Lake,2021-03-26,2021-03-25,2021-03-26 22:21:32
0.0%,22.8%,24.9%,52.3%,Lassen,2021-03-26,2021-03-25,2021-03-26 22:21:34
0.3%,40.4%,23.6%,35.7%,Los Angeles,2021-03-26,2021-03-25,2021-03-26 22:21:37
0.3%,33.3%,24.9%,41.5%,Madera,2021-03-26,2021-03-25,2021-03-26 22:21:39
0.9%,29.6%,24.5%,45.1%,Marin,2021-03-26,2021-03-25,2021-03-26 22:21:42
0.1%,18.2%,22.8%,58.9%,Mariposa,2021-03-26,2021-03-25,2021-03-26 22:21:44
0.6%,33.2%,24.2%,42.0%,Mendocino,2021-03-26,2021-03-25,2021-03-26 22:21:47
0.4%,37.8%,25.1%,36.6%,Merced,2021-03-26,2021-03-25,2021-03-26 22:21:49
0.1%,19.0%,25.3%,55.6%,Modoc,2021-03-26,2021-03-25,2021-03-26 22:21:52
1.2%,43.9%,28.8%,26.1%,Mono,2021-03-26,2021-03-25,2021-03-26 22:21:54
0.2%,39.2%,22.7%,37.9%,Monterey,2021-03-26,2021-03-25,2021-03-26 22:21:57
0.3%,35.7%,23.0%,41.0%,Napa,2021-03-26,2021-03-25,2021-03-26 22:21:59
0.4%,21.2%,19.6%,58.8%,Nevada,2021-03-26,2021-03-25,2021-03-26 22:22:01
0.3%,35.7%,23.1%,40.9%,Orange,2021-03-26,2021-03-25,2021-03-26 22:22:04
0.4%,28.1%,22.0%,49.5%,Placer,2021-03-26,2021-03-25,2021-03-26 22:22:07
0.1%,19.9%,19.5%,60.5%,Plumas,2021-03-26,2021-03-25,2021-03-26 22:22:09
0.3%,31.3%,23.4%,45.0%,Riverside,2021-03-26,2021-03-25,2021-03-26 22:22:12
0.4%,36.5%,23.8%,39.3%,Sacramento,2021-03-26,2021-03-25,2021-03-26 22:22:14
0.2%,37.6%,23.9%,38.3%,San Benito,2021-03-26,2021-03-25,2021-03-26 22:22:17
0.4%,36.6%,24.3%,38.7%,San Bernardino,2021-03-26,2021-03-25,2021-03-26 22:22:19
0.3%,35.4%,20.6%,43.7%,San Diego,2021-03-26,2021-03-25,2021-03-26 22:22:22
0.3%,44.3%,22.3%,33.2%,San Francisco,2021-03-26,2021-03-25,2021-03-26 22:22:24
0.4%,35.5%,25.5%,38.6%,San Joaquin,2021-03-26,2021-03-25,2021-03-26 22:22:27
0.2%,26.3%,18.4%,55.1%,San Luis Obispo,2021-03-26,2021-03-25,2021-03-26 22:22:29
0.5%,37.7%,23.0%,38.9%,San Mateo,2021-03-26,2021-03-25,2021-03-26 22:22:32
0.2%,33.5%,19.3%,47.0%,Santa Barbara,2021-03-26,2021-03-25,2021-03-26 22:22:34
0.4%,36.4%,22.8%,40.4%,Santa Clara,2021-03-26,2021-03-25,2021-03-26 22:22:37
0.3%,34.8%,21.9%,42.9%,Santa Cruz,2021-03-26,2021-03-25,2021-03-26 22:22:39
0.4%,36.9%,23.1%,39.6%,Shasta,2021-03-26,2021-03-25,2021-03-26 22:22:41
0.0%,20.1%,27.6%,52.4%,Sierra,2021-03-26,2021-03-25,2021-03-26 22:22:44
0.4%,21.5%,22.9%,55.3%,Siskiyou,2021-03-26,2021-03-25,2021-03-26 22:22:46
0.3%,33.0%,25.7%,41.0%,Solano,2021-03-26,2021-03-25,2021-03-26 22:22:48
0.3%,32.0%,23.2%,44.5%,Sonoma,2021-03-26,2021-03-25,2021-03-26 22:22:51
0.5%,34.4%,25.6%,39.4%,Stanislaus,2021-03-26,2021-03-25,2021-03-26 22:22:53
0.2%,30.8%,24.9%,44.1%,Sutter,2021-03-26,2021-03-25,2021-03-26 22:22:56
0.0%,24.3%,23.9%,51.8%,Tehama,2021-03-26,2021-03-25,2021-03-26 22:22:58
0.1%,19.2%,21.8%,58.9%,Trinity,2021-03-26,2021-03-25,2021-03-26 22:23:01
0.5%,41.2%,25.5%,32.9%,Tulare,2021-03-26,2021-03-25,2021-03-26 22:23:04
0.1%,18.4%,24.3%,57.2%,Tuolumne,2021-03-26,2021-03-25,2021-03-26 22:23:06
0.4%,35.1%,22.8%,41.8%,Ventura,2021-03-26,2021-03-25,2021-03-26 22:23:09
0.5%,42.5%,21.6%,35.4%,Yolo,2021-03-26,2021-03-25,2021-03-26 22:23:11
0.1%,28.8%,23.8%,47.2%,Yuba,2021-03-26,2021-03-25,2021-03-26 22:23:14
