American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Alameda,2021-04-02,2021-04-01,2021-04-03 00:58:00
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Alpine,2021-04-02,2021-04-01,2021-04-03 00:58:03
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Amador,2021-04-02,2021-04-01,2021-04-03 00:58:05
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Butte,2021-04-02,2021-04-01,2021-04-03 00:58:07
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Calaveras,2021-04-02,2021-04-01,2021-04-03 00:58:10
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Colusa,2021-04-02,2021-04-01,2021-04-03 00:58:12
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Contra Costa,2021-04-02,2021-04-01,2021-04-03 00:58:15
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Del Norte,2021-04-02,2021-04-01,2021-04-03 00:58:18
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,El Dorado,2021-04-02,2021-04-01,2021-04-03 00:58:21
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Fresno,2021-04-02,2021-04-01,2021-04-03 00:58:23
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Glenn,2021-04-02,2021-04-01,2021-04-03 00:58:25
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Humboldt,2021-04-02,2021-04-01,2021-04-03 00:58:28
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Imperial,2021-04-02,2021-04-01,2021-04-03 00:58:30
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Inyo,2021-04-02,2021-04-01,2021-04-03 00:58:33
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Kern,2021-04-02,2021-04-01,2021-04-03 00:58:35
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Kings,2021-04-02,2021-04-01,2021-04-03 00:58:37
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Lake,2021-04-02,2021-04-01,2021-04-03 00:58:40
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Lassen,2021-04-02,2021-04-01,2021-04-03 00:58:42
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Los Angeles,2021-04-02,2021-04-01,2021-04-03 00:58:45
0.9%,1.9%,1.4%,32.8%,6.2%,0.1%,32.8%,8.5%,15.3%,Madera,2021-04-02,2021-04-01,2021-04-03 00:58:47
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Marin,2021-04-02,2021-04-01,2021-04-03 00:58:50
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Mariposa,2021-04-02,2021-04-01,2021-04-03 00:58:52
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Mendocino,2021-04-02,2021-04-01,2021-04-03 00:58:55
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Merced,2021-04-02,2021-04-01,2021-04-03 00:58:57
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Modoc,2021-04-02,2021-04-01,2021-04-03 00:58:59
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Mono,2021-04-02,2021-03-31,2021-04-03 00:59:02
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Monterey,2021-04-02,2021-04-01,2021-04-03 00:59:04
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Napa,2021-04-02,2021-04-01,2021-04-03 00:59:06
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Nevada,2021-04-02,2021-04-01,2021-04-03 00:59:09
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Orange,2021-04-02,2021-04-01,2021-04-03 00:59:12
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Placer,2021-04-02,2021-04-01,2021-04-03 00:59:14
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Plumas,2021-04-02,2021-04-01,2021-04-03 00:59:17
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Riverside,2021-04-02,2021-04-01,2021-04-03 00:59:19
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Sacramento,2021-04-02,2021-04-01,2021-04-03 00:59:22
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,San Benito,2021-04-02,2021-04-01,2021-04-03 00:59:25
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,San Bernardino,2021-04-02,2021-04-01,2021-04-03 00:59:27
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,San Diego,2021-04-02,2021-04-01,2021-04-03 00:59:30
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,San Francisco,2021-04-02,2021-04-01,2021-04-03 00:59:32
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,San Joaquin,2021-04-02,2021-04-01,2021-04-03 00:59:35
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,San Luis Obispo,2021-04-02,2021-04-01,2021-04-03 00:59:37
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,San Mateo,2021-04-02,2021-04-01,2021-04-03 00:59:39
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Santa Barbara,2021-04-02,2021-04-01,2021-04-03 00:59:42
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Santa Clara,2021-04-02,2021-04-01,2021-04-03 00:59:44
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Santa Cruz,2021-04-02,2021-04-01,2021-04-03 00:59:47
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Shasta,2021-04-02,2021-04-01,2021-04-03 00:59:49
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Sierra,2021-04-02,2021-04-01,2021-04-03 00:59:52
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Siskiyou,2021-04-02,2021-04-01,2021-04-03 00:59:54
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Solano,2021-04-02,2021-04-01,2021-04-03 00:59:56
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Sonoma,2021-04-02,2021-04-01,2021-04-03 00:59:59
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Stanislaus,2021-04-02,2021-04-01,2021-04-03 01:00:02
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Sutter,2021-04-02,2021-04-01,2021-04-03 01:00:04
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Tehama,2021-04-02,2021-04-01,2021-04-03 01:00:07
0.3%,11.8%,3.0%,19.5%,10.3%,0.4%,29.6%,11.1%,14.1%,Trinity,2021-04-02,2021-04-01,2021-04-03 01:00:09
