0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.2%,34.4%,20.9%,44.5%,Alameda,2021-03-19,2021-03-18,2021-03-20 10:19:30
0.2%,32.7%,33.5%,33.5%,Alpine,2021-03-19,2021-03-18,2021-03-20 10:19:34
0%,16.9%,18.8%,64.2%,Amador,2021-03-19,2021-03-18,2021-03-20 10:19:37
0.1%,30.9%,20%,49%,Butte,2021-03-19,2021-03-18,2021-03-20 10:19:41
0.2%,14.3%,19.4%,66%,Calaveras,2021-03-19,2021-03-18,2021-03-20 10:19:43
0.1%,32.9%,22.1%,44.9%,Colusa,2021-03-19,2021-03-18,2021-03-20 10:19:48
0.2%,34.4%,20.9%,44.5%,Contra Costa,2021-03-19,2021-03-18,2021-03-20 10:19:52
0.1%,24.1%,23.5%,52.3%,Del Norte,2021-03-19,2021-03-17,2021-03-20 10:19:55
0.2%,34.4%,20.9%,44.5%,El Dorado,2021-03-19,2021-03-18,2021-03-20 10:19:59
0.2%,34.4%,20.9%,44.5%,Fresno,2021-03-19,2021-03-18,2021-03-20 10:20:02
0.1%,25.9%,21.1%,52.9%,Glenn,2021-03-19,2021-03-18,2021-03-20 10:20:06
0.1%,31.7%,18.8%,49.4%,Humboldt,2021-03-19,2021-03-18,2021-03-20 10:20:09
0.1%,35.2%,19.5%,45.3%,Imperial,2021-03-19,2021-03-18,2021-03-20 10:20:13
0.1%,24.9%,18%,56.9%,Inyo,2021-03-19,2021-03-18,2021-03-20 10:20:17
0.2%,36.3%,22.7%,40.7%,Kern,2021-03-19,2021-03-18,2021-03-20 10:20:20
0.2%,38.9%,26%,34.9%,Kings,2021-03-19,2021-03-18,2021-03-20 10:20:24
0.1%,22.6%,19.9%,57.4%,Lake,2021-03-19,2021-03-18,2021-03-20 10:20:27
0%,20.6%,21.5%,57.9%,Lassen,2021-03-19,2021-03-18,2021-03-20 10:20:31
0.2%,37.6%,21.4%,40.8%,Los Angeles,2021-03-19,2021-03-18,2021-03-20 10:20:35
0.2%,31.1%,23.1%,45.6%,Madera,2021-03-19,2021-03-18,2021-03-20 10:20:38
0.7%,26.4%,22.2%,50.8%,Marin,2021-03-19,2021-03-18,2021-03-20 10:20:42
0.1%,18.1%,18.3%,63.5%,Mariposa,2021-03-19,2021-03-18,2021-03-20 10:20:45
0.5%,32.7%,23.4%,43.3%,Mendocino,2021-03-19,2021-03-18,2021-03-20 10:20:48
0.3%,34.6%,23.7%,41.4%,Merced,2021-03-19,2021-03-18,2021-03-20 10:20:52
0.1%,18.6%,24.7%,56.6%,Modoc,2021-03-19,2021-03-18,2021-03-20 10:20:56
0.6%,39.2%,30.6%,29.6%,Mono,2021-03-19,2021-03-18,2021-03-20 10:20:59
0.1%,34.9%,19.9%,45.1%,Monterey,2021-03-19,2021-03-18,2021-03-20 10:21:03
0.2%,33%,21.3%,45.5%,Napa,2021-03-19,2021-03-18,2021-03-20 10:21:06
0.2%,19.2%,16.8%,63.8%,Nevada,2021-03-19,2021-03-18,2021-03-20 10:21:10
0.2%,32.4%,19.8%,47.6%,Orange,2021-03-19,2021-03-18,2021-03-20 10:21:13
0.2%,34.4%,20.9%,44.5%,Placer,2021-03-19,2021-03-18,2021-03-20 10:21:17
0.1%,19%,16.7%,64.2%,Plumas,2021-03-19,2021-03-18,2021-03-20 10:21:20
0.2%,29.3%,20.6%,50%,Riverside,2021-03-19,2021-03-18,2021-03-20 10:21:23
0.2%,34.5%,21.9%,43.4%,Sacramento,2021-03-19,2021-03-18,2021-03-20 10:21:26
0.1%,35.2%,21.4%,43.3%,San Benito,2021-03-19,2021-03-18,2021-03-20 10:21:30
0.2%,34.7%,22.1%,42.9%,San Bernardino,2021-03-19,2021-03-18,2021-03-20 10:21:33
0.2%,33%,18.7%,48.1%,San Diego,2021-03-19,2021-03-18,2021-03-20 10:21:37
0.2%,41.9%,20.9%,37%,San Francisco,2021-03-19,2021-03-18,2021-03-20 10:21:40
0.3%,33.2%,23.3%,43.2%,San Joaquin,2021-03-19,2021-03-18,2021-03-20 10:21:44
0.1%,23.1%,15.5%,61.3%,San Luis Obispo,2021-03-19,2021-03-18,2021-03-20 10:21:47
