0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.3%,39.2%,20.7%,39.7%,Alameda,2021-03-19,2021-03-18,2021-03-19 22:19:18
0.2%,32.7%,33.5%,33.5%,Alpine,2021-03-19,2021-03-18,2021-03-19 22:19:21
0%,16.9%,18.8%,64.2%,Amador,2021-03-19,2021-03-18,2021-03-19 22:19:24
0.1%,30.9%,20%,49%,Butte,2021-03-19,2021-03-18,2021-03-19 22:19:27
0.2%,14.3%,19.4%,66%,Calaveras,2021-03-19,2021-03-18,2021-03-19 22:19:31
0.1%,32.9%,22.1%,44.9%,Colusa,2021-03-19,2021-03-18,2021-03-19 22:19:34
0.4%,31.7%,22.1%,45.9%,Contra Costa,2021-03-19,2021-03-18,2021-03-19 22:19:37
0.1%,24.1%,23.5%,52.3%,Del Norte,2021-03-19,2021-03-17,2021-03-19 22:19:40
0.2%,22%,21.5%,56.3%,El Dorado,2021-03-19,2021-03-18,2021-03-19 22:19:44
0.3%,38.2%,23.7%,37.9%,Fresno,2021-03-19,2021-03-18,2021-03-19 22:19:47
0.1%,25.9%,21.1%,52.9%,Glenn,2021-03-19,2021-03-18,2021-03-19 22:19:50
0.1%,31.7%,18.8%,49.4%,Humboldt,2021-03-19,2021-03-18,2021-03-19 22:19:54
0.1%,35.2%,19.5%,45.3%,Imperial,2021-03-19,2021-03-18,2021-03-19 22:19:57
0.1%,24.9%,18%,56.9%,Inyo,2021-03-19,2021-03-18,2021-03-19 22:20:00
0.2%,36.3%,22.7%,40.7%,Kern,2021-03-19,2021-03-18,2021-03-19 22:20:04
0.2%,38.9%,26%,34.9%,Kings,2021-03-19,2021-03-18,2021-03-19 22:20:07
0.1%,22.6%,19.9%,57.4%,Lake,2021-03-19,2021-03-18,2021-03-19 22:20:10
0%,20.6%,21.5%,57.9%,Lassen,2021-03-19,2021-03-18,2021-03-19 22:20:13
0.2%,37.6%,21.4%,40.8%,Los Angeles,2021-03-19,2021-03-18,2021-03-19 22:20:16
0.2%,31.1%,23.1%,45.6%,Madera,2021-03-19,2021-03-18,2021-03-19 22:20:20
0.7%,26.4%,22.2%,50.8%,Marin,2021-03-19,2021-03-18,2021-03-19 22:20:23
0.1%,18.1%,18.3%,63.5%,Mariposa,2021-03-19,2021-03-18,2021-03-19 22:20:26
0.5%,32.7%,23.4%,43.3%,Mendocino,2021-03-19,2021-03-18,2021-03-19 22:20:29
0.3%,34.6%,23.7%,41.4%,Merced,2021-03-19,2021-03-18,2021-03-19 22:20:32
0.1%,18.6%,24.7%,56.6%,Modoc,2021-03-19,2021-03-18,2021-03-19 22:20:36
0.6%,39.2%,30.6%,29.6%,Mono,2021-03-19,2021-03-18,2021-03-19 22:20:39
0.1%,34.9%,19.9%,45.1%,Monterey,2021-03-19,2021-03-18,2021-03-19 22:20:42
0.2%,33%,21.3%,45.5%,Napa,2021-03-19,2021-03-18,2021-03-19 22:20:45
0.2%,19.2%,16.8%,63.8%,Nevada,2021-03-19,2021-03-18,2021-03-19 22:20:48
0.2%,32.4%,19.8%,47.6%,Orange,2021-03-19,2021-03-18,2021-03-19 22:20:52
0.3%,26%,19%,54.7%,Placer,2021-03-19,2021-03-18,2021-03-19 22:20:55
0.1%,19%,16.7%,64.2%,Plumas,2021-03-19,2021-03-18,2021-03-19 22:20:58
0.2%,29.3%,20.6%,50%,Riverside,2021-03-19,2021-03-18,2021-03-19 22:21:01
0.2%,34.5%,21.9%,43.4%,Sacramento,2021-03-19,2021-03-18,2021-03-19 22:21:05
0.1%,35.2%,21.4%,43.3%,San Benito,2021-03-19,2021-03-18,2021-03-19 22:21:08
0.2%,34.7%,22.1%,42.9%,San Bernardino,2021-03-19,2021-03-18,2021-03-19 22:21:11
0.2%,33%,18.7%,48.1%,San Diego,2021-03-19,2021-03-18,2021-03-19 22:21:15
0.2%,41.9%,20.9%,37%,San Francisco,2021-03-19,2021-03-18,2021-03-19 22:21:18
0.3%,33.2%,23.3%,43.2%,San Joaquin,2021-03-19,2021-03-18,2021-03-19 22:21:21
0.1%,23.1%,15.5%,61.3%,San Luis Obispo,2021-03-19,2021-03-18,2021-03-19 22:21:24
0.4%,35.6%,21.2%,42.9%,San Mateo,2021-03-19,2021-03-18,2021-03-19 22:21:27
0.1%,29%,16.7%,54.2%,Santa Barbara,2021-03-19,2021-03-18,2021-03-19 22:21:30
0.3%,33.5%,20.3%,46%,Santa Clara,2021-03-19,2021-03-18,2021-03-19 22:21:33
0.2%,33%,19.8%,47%,Santa Cruz,2021-03-19,2021-03-18,2021-03-19 22:21:36
0.1%,22.2%,20.1%,57.6%,Shasta,2021-03-19,2021-03-18,2021-03-19 22:21:40
0%,18%,27.3%,54.7%,Sierra,2021-03-19,2021-03-18,2021-03-19 22:21:43
0.4%,19.9%,22.2%,57.5%,Siskiyou,2021-03-19,2021-03-18,2021-03-19 22:21:46
0.2%,31.9%,23.5%,44.3%,Solano,2021-03-19,2021-03-18,2021-03-19 22:21:49
0.2%,30.1%,20.1%,49.6%,Sonoma,2021-03-19,2021-03-18,2021-03-19 22:21:53
0.4%,30.9%,23.6%,45.1%,Stanislaus,2021-03-19,2021-03-18,2021-03-19 22:21:56
0.2%,29%,22.4%,48.5%,Sutter,2021-03-19,2021-03-18,2021-03-19 22:21:59
0%,23.9%,22.9%,53.1%,Tehama,2021-03-19,2021-03-18,2021-03-19 22:22:02
0%,17.8%,20%,62.2%,Trinity,2021-03-19,2021-03-18,2021-03-19 22:22:06
0.3%,39.8%,24.2%,35.7%,Tulare,2021-03-19,2021-03-18,2021-03-19 22:22:09
0.1%,17.5%,21.9%,60.5%,Tuolumne,2021-03-19,2021-03-18,2021-03-19 22:22:12
0.3%,32.4%,20.1%,47.3%,Ventura,2021-03-19,2021-03-18,2021-03-19 22:22:15
0.4%,40.7%,20.1%,38.8%,Yolo,2021-03-19,2021-03-18,2021-03-19 22:22:18
0.1%,26.6%,20.8%,52.4%,Yuba,2021-03-19,2021-03-18,2021-03-19 22:22:22
