0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.6%,43.6%,26.4%,29.3%,Alameda,2021-04-08,2021-04-07,2021-04-09 12:29:10
0.1%,35.3%,35.1%,29.5%,Alpine,2021-04-08,2021-04-06,2021-04-09 12:29:13
0.1%,19.2%,25.8%,54.9%,Amador,2021-04-08,2021-04-07,2021-04-09 12:29:15
0.7%,35.0%,24.8%,39.6%,Butte,2021-04-08,2021-04-07,2021-04-09 12:29:17
0.4%,17.0%,25.9%,56.7%,Calaveras,2021-04-08,2021-04-07,2021-04-09 12:29:20
0.2%,37.8%,26.8%,35.2%,Colusa,2021-04-08,2021-04-07,2021-04-09 12:29:22
1.0%,37.7%,29.3%,32.0%,Contra Costa,2021-04-08,2021-04-07,2021-04-09 12:29:25
0.1%,25.7%,27.4%,46.7%,Del Norte,2021-04-08,2021-04-07,2021-04-09 12:29:27
0.5%,25.4%,28.2%,45.9%,El Dorado,2021-04-08,2021-04-07,2021-04-09 12:29:30
0.6%,42.0%,26.5%,30.9%,Fresno,2021-04-08,2021-04-07,2021-04-09 12:29:32
0.3%,31.7%,27.0%,41.0%,Glenn,2021-04-08,2021-04-07,2021-04-09 12:29:35
0.3%,36.7%,23.2%,39.8%,Humboldt,2021-04-08,2021-04-07,2021-04-09 12:29:37
0.3%,41.4%,25.8%,32.5%,Imperial,2021-04-08,2021-04-07,2021-04-09 12:29:39
0.3%,28.7%,25.4%,45.6%,Inyo,2021-04-08,2021-04-07,2021-04-09 12:29:42
0.9%,41.3%,26.9%,30.8%,Kern,2021-04-08,2021-04-07,2021-04-09 12:29:44
0.5%,43.6%,29.0%,26.9%,Kings,2021-04-08,2021-04-07,2021-04-09 12:29:47
0.2%,24.7%,28.2%,46.9%,Lake,2021-04-08,2021-04-07,2021-04-09 12:29:49
0.1%,24.0%,27.5%,48.4%,Lassen,2021-04-08,2021-04-07,2021-04-09 12:29:51
0.6%,42.9%,27.3%,29.3%,Los Angeles,2021-04-08,2021-04-07,2021-04-09 12:29:54
0.5%,35.8%,26.6%,37.1%,Madera,2021-04-08,2021-04-07,2021-04-09 12:29:56
1.2%,32.9%,29.0%,36.9%,Marin,2021-04-08,2021-04-07,2021-04-09 12:29:59
0.2%,19.6%,25.3%,54.9%,Mariposa,2021-04-08,2021-04-07,2021-04-09 12:30:01
0.6%,32.3%,24.5%,42.6%,Mendocino,2021-04-08,2021-04-07,2021-04-09 12:30:03
0.6%,41.2%,26.2%,32.0%,Merced,2021-04-08,2021-04-07,2021-04-09 12:30:06
0.1%,20.4%,26.6%,52.8%,Modoc,2021-04-08,2021-04-06,2021-04-09 12:30:08
1.4%,46.4%,29.4%,22.8%,Mono,2021-04-08,2021-04-07,2021-04-09 12:30:11
0.5%,42.8%,25.8%,30.9%,Monterey,2021-04-08,2021-04-07,2021-04-09 12:30:13
0.6%,39.8%,26.8%,32.8%,Napa,2021-04-08,2021-04-07,2021-04-09 12:30:16
0.7%,24.4%,24.5%,50.4%,Nevada,2021-04-08,2021-04-07,2021-04-09 12:30:18
0.7%,39.3%,26.8%,33.2%,Orange,2021-04-08,2021-04-07,2021-04-09 12:30:20
0.6%,29.6%,25.7%,44.1%,Placer,2021-04-08,2021-04-07,2021-04-09 12:30:23
0.1%,20.7%,23.2%,56.0%,Plumas,2021-04-08,2021-04-07,2021-04-09 12:30:25
0.7%,34.3%,27.5%,37.5%,Riverside,2021-04-08,2021-04-07,2021-04-09 12:30:28
0.7%,38.6%,26.6%,34.2%,Sacramento,2021-04-08,2021-04-07,2021-04-09 12:30:30
0.4%,40.2%,27.4%,32.0%,San Benito,2021-04-08,2021-04-07,2021-04-09 12:30:33
0.7%,38.6%,28.4%,32.3%,San Bernardino,2021-04-08,2021-04-07,2021-04-09 12:30:35
0.6%,38.6%,24.5%,36.3%,San Diego,2021-04-08,2021-04-07,2021-04-09 12:30:37
0.4%,47.0%,25.2%,27.4%,San Francisco,2021-04-08,2021-04-07,2021-04-09 12:30:40
0.6%,37.8%,27.6%,34.0%,San Joaquin,2021-04-08,2021-04-07,2021-04-09 12:30:42
0.4%,30.2%,23.7%,45.7%,San Luis Obispo,2021-04-08,2021-04-07,2021-04-09 12:30:45
0.7%,40.0%,27.4%,31.9%,San Mateo,2021-04-08,2021-04-07,2021-04-09 12:30:47
0.4%,37.9%,25.4%,36.3%,Santa Barbara,2021-04-08,2021-04-07,2021-04-09 12:30:50
0.8%,40.3%,28.2%,30.8%,Santa Clara,2021-04-08,2021-04-07,2021-04-09 12:30:52
0.6%,37.1%,26.5%,35.9%,Santa Cruz,2021-04-08,2021-04-07,2021-04-09 12:30:55
0.4%,24.1%,24.9%,50.7%,Shasta,2021-04-08,2021-04-07,2021-04-09 12:30:57
0.000%,23.6%,28.9%,47.5%,Sierra,2021-04-08,2021-04-07,2021-04-09 12:31:00
0.5%,22.6%,24.6%,52.3%,Siskiyou,2021-04-08,2021-04-07,2021-04-09 12:31:02
0.4%,35.4%,28.2%,36.0%,Solano,2021-04-08,2021-04-07,2021-04-09 12:31:04
0.6%,34.4%,26.5%,38.6%,Sonoma,2021-04-08,2021-04-07,2021-04-09 12:31:07
